hybrid_0_0_-20_40_20_80_80_450:gt ['0', '0', '-20', '40', '20']:pred [ 2.1112869  2.5594208 20.        40.        20.       ]
sedan4door_0_40_-20_40_40_160_20_400:gt ['0', '40', '-20', '40', '40']:pred [ 0.      41.97518 20.      43.25471 40.     ]
suv_0_20_-40_0_0_0_20_450:gt ['0', '20', '-40', '0', '0']:pred [ 3.8774564 20.        44.49371    0.         0.       ]
hybrid_0_20_0_0_0_80_60_450:gt ['0', '20', '0', '0', '0']:pred [ 2.8591743 19.220224   0.         0.         1.5419636]
hybrid_-40_20_-40_0_20_0_80_450:gt ['-40', '20', '-40', '0', '20']:pred [40.042557 19.454702 40.        0.       20.247353]
suv_-40_0_-20_40_0_0_60_450:gt ['-40', '0', '-20', '40', '0']:pred [42.03619   0.       18.98893  40.        3.314603]
hybrid_-40_20_-40_20_0_240_40_450:gt ['-40', '20', '-40', '20', '0']:pred [40.        18.468143  40.        20.         2.1941667]
hatchback_0_40_0_40_40_80_80_450:gt ['0', '40', '0', '40', '40']:pred [ 3.4263713 41.887928   4.2536154 39.833256  40.       ]
suv_0_20_-40_40_40_0_20_450:gt ['0', '20', '-40', '40', '40']:pred [ 3.9831743 20.        45.350334  40.        40.       ]
hybrid_0_40_-40_40_20_320_40_450:gt ['0', '40', '-40', '40', '20']:pred [ 2.0002348 40.        40.        40.        23.234642 ]
suv_-20_20_-20_0_20_160_60_450:gt ['-20', '20', '-20', '0', '20']:pred [20.016073  19.854267  20.         1.0477613 21.028103 ]
hybrid_0_20_-40_20_40_320_20_400:gt ['0', '20', '-40', '20', '40']:pred [ 2.0304966 20.        40.        20.        44.714195 ]
hatchback_0_0_-20_40_40_240_60_450:gt ['0', '0', '-20', '40', '40']:pred [ 4.743747  4.169775 18.964308 41.571056 38.229767]
hatchback_0_20_-40_0_40_240_20_400:gt ['0', '20', '-40', '0', '40']:pred [ 0.        15.427279  40.         2.3876622 42.19146  ]
hatchback_-40_20_-40_0_0_80_80_450:gt ['-40', '20', '-40', '0', '0']:pred [41.694023  19.333485  42.95748    3.0485733  0.       ]
hatchback_0_40_-20_40_0_0_60_450:gt ['0', '40', '-20', '40', '0']:pred [ 2.0944357 41.26865   20.806545  40.         2.4321036]
