Sedan2Door_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [26.792864   6.47869    0.        31.790073   6.5915446]
Sedan4Door_-20_20_0_0_0_320_60_450:gt ['-20', '20', '0', '0', '0']:pred [ 5.20733  26.948065  9.590424  0.       25.216063]
Hatchback_0_0_-20_20_0_240_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.       11.726405 20.       21.672821 22.202215]
Hybrid_-20_20_-20_20_20_0_60_450:gt ['-20', '20', '-20', '20', '20']:pred [ 9.602822 33.226494 20.       17.106884 37.04976 ]
Hatchback_-20_0_0_20_20_0_20_450:gt ['-20', '0', '0', '20', '20']:pred [24.031317  0.        2.11172  20.       20.      ]
Hybrid_0_20_0_0_20_80_20_450:gt ['0', '20', '0', '0', '20']:pred [ 1.5869124 20.         0.         0.        20.       ]
Sedan4Door_-20_0_0_20_0_320_20_400:gt ['-20', '0', '0', '20', '0']:pred [10.369349   0.         1.9933043 20.        45.580643 ]
Sedan4Door_0_0_-20_0_20_160_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 5.1550236 11.031139   6.369909  11.941507  19.013887 ]
Hybrid_-20_0_-20_0_0_320_60_450:gt ['-20', '0', '-20', '0', '0']:pred [11.030728 20.245493 20.       14.356461  9.247433]
Sedan2Door_0_20_-20_20_0_80_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.7643204 16.499651   5.1637115  8.105166  16.682785 ]
Suv_0_0_-20_0_20_160_60_450:gt ['0', '0', '-20', '0', '20']:pred [11.313135  11.276747  20.         3.8454204 42.260857 ]
Sedan4Door_-20_0_0_0_20_0_60_400:gt ['-20', '0', '0', '0', '20']:pred [ 4.9455996  8.011618   4.1996684 16.833801  26.576677 ]
Suv_-20_20_0_20_20_80_20_400:gt ['-20', '20', '0', '20', '20']:pred [25.100418 20.        0.       20.       20.      ]
Hybrid_0_20_-20_20_20_80_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.7570349  9.177544   2.1838179 15.274424   6.5783505]
Sedan4Door_0_20_0_20_0_320_20_400:gt ['0', '20', '0', '20', '0']:pred [ 3.331764  20.         1.9620688 20.         8.226953 ]
Hybrid_-20_0_-20_20_20_80_60_400:gt ['-20', '0', '-20', '20', '20']:pred [ 4.403447  11.3758545 20.        20.        20.348875 ]
Sedan2Door_0_0_0_20_0_80_20_400:gt ['0', '0', '0', '20', '0']:pred [ 1.6127831  0.         5.61475   20.         0.       ]
Hatchback_-20_0_-20_20_0_320_60_450:gt ['-20', '0', '-20', '20', '0']:pred [ 7.7401505  9.66387    8.813649  46.292088   8.82631  ]
Hybrid_0_20_-20_0_0_160_60_400:gt ['0', '20', '-20', '0', '0']:pred [20.538136 23.808754 20.       36.637833 11.971087]
Hybrid_0_20_0_20_0_160_60_400:gt ['0', '20', '0', '20', '0']:pred [ 3.7836795 30.283424   6.1697283 20.         8.08892  ]
Hatchback_-20_20_0_20_0_0_20_450:gt ['-20', '20', '0', '20', '0']:pred [15.680229  20.         2.2690115 20.         0.       ]
Suv_0_20_0_20_0_80_60_400:gt ['0', '20', '0', '20', '0']:pred [ 6.336229  13.202068   3.29888   16.655043   7.8228717]
Suv_-20_0_0_20_0_320_20_450:gt ['-20', '0', '0', '20', '0']:pred [20.368319   0.         2.1403244 20.        14.237182 ]
Sedan4Door_0_20_-20_0_20_160_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 2.9279706 27.87508   20.         9.317287  42.89608  ]
Sedan4Door_0_20_0_20_20_160_20_400:gt ['0', '20', '0', '20', '20']:pred [ 0.       22.498829  0.       38.418022 20.      ]
Hatchback_-20_0_-20_20_20_160_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.        9.363326 20.346664 42.408287 20.      ]
Sedan2Door_-20_20_-20_20_0_320_60_450:gt ['-20', '20', '-20', '20', '0']:pred [14.762944  33.32084   20.        45.51787    7.2448072]
Hatchback_-20_0_-20_0_20_240_60_450:gt ['-20', '0', '-20', '0', '20']:pred [ 9.924804  8.001787  9.736347 29.27258  34.644363]
Sedan2Door_0_20_0_0_0_320_20_400:gt ['0', '20', '0', '0', '0']:pred [ 4.4982333 20.         4.522346   0.        14.338635 ]
Hybrid_0_0_0_20_20_320_20_450:gt ['0', '0', '0', '20', '20']:pred [ 6.6720037  0.         0.        20.         9.256633 ]
Suv_-20_20_-20_0_20_0_60_450:gt ['-20', '20', '-20', '0', '20']:pred [20.174318 38.48491  42.121895 19.948217 24.888487]
Suv_-20_20_0_20_20_80_60_450:gt ['-20', '20', '0', '20', '20']:pred [14.907296  10.231741   5.8967485 37.873238  30.002968 ]
Hybrid_0_0_-20_20_0_80_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.9020864  0.        20.        20.         0.       ]
Suv_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.804098 10.31884  23.933842 30.590647 26.08436 ]
Hybrid_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [10.059406  0.        0.        0.       20.      ]
Hybrid_0_20_0_0_20_80_20_400:gt ['0', '20', '0', '0', '20']:pred [ 2.3325818 20.         2.8367014  0.        20.       ]
