hybrid_-17_23_-36_35_15_50_70_420 gt:['-17', '23', '-36', '35', '15'] pred:[18.111662 20.86531  15.695008 15.619887 23.892725]
sedan4door_-17_15_-36_35_46_50_70_420 gt:['-17', '15', '-36', '35', '46'] pred:[18.674994 14.563272 38.176414 14.914773 12.422582]
suv_-17_45_-22_35_15_20_70_420 gt:['-17', '45', '-22', '35', '15'] pred:[26.765865  33.759693  15.786745   2.3853981 11.859645 ]
hybrid_-30_15_-4_48_46_20_30_420 gt:['-30', '15', '-4', '48', '46'] pred:[36.383347  15.        12.922932  48.         4.9704146]
hybrid_-17_15_-36_35_28_140_30_420 gt:['-17', '15', '-36', '35', '28'] pred:[17.       11.304169 36.       12.169721 28.      ]
hatchback_-50_45_-4_35_15_20_70_420 gt:['-50', '45', '-4', '35', '15'] pred:[41.407063 34.196026 12.021484 35.       12.465006]
sedan4door_-30_23_-22_48_46_230_70_420 gt:['-30', '23', '-22', '48', '46'] pred:[39.27407  10.335119 18.224585 24.644949 18.703438]
hybrid_-30_45_-4_48_15_50_30_420 gt:['-30', '45', '-4', '48', '15'] pred:[21.878452 45.       23.267899 48.       15.      ]
sedan2door_-30_15_-4_48_28_50_30_420 gt:['-30', '15', '-4', '48', '28'] pred:[22.738724 15.       14.696052 48.       28.      ]
hybrid_-50_15_-22_10_46_50_70_420 gt:['-50', '15', '-22', '10', '46'] pred:[25.945898 21.628742 11.489046 18.864712 31.051884]
hatchback_-17_45_-36_10_28_50_70_420 gt:['-17', '45', '-36', '10', '28'] pred:[23.119759 14.914208 30.479721  9.887788 19.570612]
hatchback_-30_23_-4_35_28_20_70_420 gt:['-30', '23', '-4', '35', '28'] pred:[33.32565  18.644829 12.935331 35.       12.114296]
hybrid_-30_15_-22_48_15_140_30_420 gt:['-30', '15', '-22', '48', '15'] pred:[30.        9.939361 22.       11.897331 15.      ]
hybrid_-17_45_-4_35_28_20_30_420 gt:['-17', '45', '-4', '35', '28'] pred:[28.99595  45.       21.164583 35.       11.019565]
hybrid_-50_23_-4_48_28_20_70_420 gt:['-50', '23', '-4', '48', '28'] pred:[33.184578 20.540129 11.703935 21.88497  22.469364]
sedan4door_-30_23_-22_35_28_140_30_420 gt:['-30', '23', '-22', '35', '28'] pred:[30.       13.951284 22.       35.504227 28.      ]
hybrid_-30_23_-4_35_28_50_70_420 gt:['-30', '23', '-4', '35', '28'] pred:[21.17622  23.519922 14.322348 15.505405 33.40006 ]
suv_-50_15_-22_35_28_20_70_420 gt:['-50', '15', '-22', '35', '28'] pred:[35.533936  16.278893  12.921663   5.1479707 17.21344  ]
hybrid_-30_15_-22_48_28_230_30_420 gt:['-30', '15', '-22', '48', '28'] pred:[30.        16.274494  22.         4.6081405 23.922018 ]
hatchback_-30_45_-36_35_28_20_70_420 gt:['-30', '45', '-36', '35', '28'] pred:[37.786213 29.457954 29.002285 35.       17.114124]
hybrid_-30_23_-36_35_15_140_70_420 gt:['-30', '23', '-36', '35', '15'] pred:[18.782251 21.72981  36.       10.550012 11.922673]
suv_-17_23_-4_10_28_140_70_420 gt:['-17', '23', '-4', '10', '28'] pred:[ 4.450632 12.410223  4.       10.183727 19.099577]
hatchback_-50_45_-22_10_15_20_30_420 gt:['-50', '45', '-22', '10', '15'] pred:[44.03795   45.        24.340689  10.         3.6058917]
sedan4door_-17_15_-36_10_15_50_30_420 gt:['-17', '15', '-36', '10', '15'] pred:[31.525808 27.893257 24.704473 10.       15.      ]
sedan4door_-50_23_-22_10_15_230_70_420 gt:['-50', '23', '-22', '10', '15'] pred:[42.868183  11.485066   9.72192   11.586379   1.9643357]
hybrid_-17_45_-4_10_28_230_70_420 gt:['-17', '45', '-4', '10', '28'] pred:[19.207123 14.806869  8.540643 10.084819 13.912025]
sedan4door_-50_15_-36_35_46_140_30_420 gt:['-50', '15', '-36', '35', '46'] pred:[50.        5.682021 36.       23.685661 46.      ]
sedan2door_-50_23_-22_10_28_140_70_420 gt:['-50', '23', '-22', '10', '28'] pred:[32.376553  15.150847   7.4399433 16.23781   15.861072 ]
hatchback_-30_15_-36_35_28_140_30_420 gt:['-30', '15', '-36', '35', '28'] pred:[30.       21.274479 36.       22.403112 28.      ]
sedan4door_-30_15_-36_48_46_50_30_420 gt:['-30', '15', '-36', '48', '46'] pred:[31.531645 27.245312 33.77914  48.       46.      ]
