sedan4door_-30_15_-4_48_46_230_70_420:gt ['-30', '15', '-4', '48', '46']:pred [26.375069 15.676088 20.162632 40.890896  9.895099]
sedan2door_-17_15_-4_10_46_140_70_420:gt ['-17', '15', '-4', '10', '46']:pred [ 6.3230467  6.612564   4.        10.635187  24.568764 ]
sedan4door_-17_45_-22_35_46_230_70_420:gt ['-17', '45', '-22', '35', '46']:pred [ 8.574335 39.72068  36.23091  39.153633 19.14049 ]
hatchback_-17_45_-4_48_28_20_70_420:gt ['-17', '45', '-4', '48', '28']:pred [15.738337 29.864016 11.58356  37.95379  29.23031 ]
hatchback_-30_45_-36_10_28_140_70_420:gt ['-30', '45', '-36', '10', '28']:pred [29.292545 42.377415 36.       20.97638  19.574017]
suv_-30_45_-36_10_15_50_70_420:gt ['-30', '45', '-36', '10', '15']:pred [22.496729 39.606846 27.893427 10.        8.558921]
sedan4door_-30_15_-22_10_28_140_70_420:gt ['-30', '15', '-22', '10', '28']:pred [18.89676    8.771142  22.        12.4543705 11.313782 ]
hybrid_-17_23_-4_10_46_20_30_420:gt ['-17', '23', '-4', '10', '46']:pred [ 4.989558 23.        4.       10.       26.437828]
sedan4door_-50_15_-4_35_46_20_70_420:gt ['-50', '15', '-4', '35', '46']:pred [35.08012    6.5800076 11.046671  35.        15.268287 ]
sedan2door_-50_45_-4_48_15_140_30_420:gt ['-50', '45', '-4', '48', '15']:pred [50.       34.435146  4.       48.       15.      ]
hybrid_-50_45_-4_35_15_140_70_420:gt ['-50', '45', '-4', '35', '15']:pred [41.715347  41.0608     4.        35.         5.1535025]
hybrid_-50_23_-4_10_15_230_30_420:gt ['-50', '23', '-4', '10', '15']:pred [50.        4.619976  4.       10.        4.042645]
suv_-17_45_-22_35_46_140_70_420:gt ['-17', '45', '-22', '35', '46']:pred [12.673716 33.15457  19.564512 32.564083 22.110085]
sedan2door_-17_15_-4_10_15_230_30_420:gt ['-17', '15', '-4', '10', '15']:pred [17.        4.458522  4.       10.        5.047585]
sedan2door_-17_23_-4_48_46_230_30_420:gt ['-17', '23', '-4', '48', '46']:pred [17.       15.897256  4.       48.       26.02401 ]
sedan2door_-30_15_-4_48_46_140_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.         7.0397534  4.        48.        46.       ]
hatchback_-50_15_-22_35_28_50_30_420:gt ['-50', '15', '-22', '35', '28']:pred [36.52527  15.       28.798937 35.       28.      ]
sedan2door_-17_23_-4_35_46_140_30_420:gt ['-17', '23', '-4', '35', '46']:pred [17.       15.126531  4.       35.       46.      ]
sedan4door_-17_15_-36_48_46_20_30_420:gt ['-17', '15', '-36', '48', '46']:pred [16.27882  15.       40.911995 48.       19.579046]
suv_-50_45_-36_35_15_140_70_420:gt ['-50', '45', '-36', '35', '15']:pred [37.454063 34.281284 22.974112 32.387943  8.749582]
sedan4door_-17_45_-36_35_46_20_70_420:gt ['-17', '45', '-36', '35', '46']:pred [12.65655  26.579649 26.305796 28.344584 17.620888]
sedan4door_-17_23_-4_48_28_50_30_420:gt ['-17', '23', '-4', '48', '28']:pred [12.784133  23.         8.5807085 48.        28.       ]
hatchback_-50_23_-22_10_15_20_70_420:gt ['-50', '23', '-22', '10', '15']:pred [39.590313 10.629739 39.975708 10.       13.213253]
suv_-30_23_-4_35_15_20_30_420:gt ['-30', '23', '-4', '35', '15']:pred [35.505653  23.         3.0988224 35.        12.183159 ]
sedan2door_-50_23_-36_48_28_230_30_420:gt ['-50', '23', '-36', '48', '28']:pred [50.       13.388857 36.       48.       24.27681 ]
hatchback_-50_15_-36_48_28_140_30_420:gt ['-50', '15', '-36', '48', '28']:pred [50.       10.783073 36.       48.255016 28.      ]
sedan2door_-50_45_-22_35_46_20_70_420:gt ['-50', '45', '-22', '35', '46']:pred [31.271235 31.589008 22.       35.       13.898502]
sedan2door_-17_15_-36_48_46_20_70_420:gt ['-17', '15', '-36', '48', '46']:pred [13.067744  2.672305 36.       48.       16.191668]
sedan2door_-17_45_-4_10_15_20_70_420:gt ['-17', '45', '-4', '10', '15']:pred [19.373587 28.33318   4.       10.        8.185408]
suv_-17_15_-4_48_46_20_70_420:gt ['-17', '15', '-4', '48', '46']:pred [14.607411 10.613247 10.102322 36.974586 32.960262]
hybrid_-30_23_-36_35_28_20_30_420:gt ['-30', '23', '-36', '35', '28']:pred [31.167208 23.       36.       35.       16.443619]
sedan2door_-30_45_-22_35_46_50_70_420:gt ['-30', '45', '-22', '35', '46']:pred [34.77293  44.080437 22.       35.       22.28477 ]
sedan4door_-50_15_-36_35_28_140_70_420:gt ['-50', '15', '-36', '35', '28']:pred [37.677383 11.105012 22.538832 31.546923 10.676172]
suv_-30_23_-36_48_28_230_30_420:gt ['-30', '23', '-36', '48', '28']:pred [30.        14.188199  36.        44.39457    6.9673185]
sedan4door_-17_15_-4_48_28_230_70_420:gt ['-17', '15', '-4', '48', '28']:pred [ 7.4543934 13.396717  16.897768  48.1427     5.6620255]
sedan4door_-17_45_-36_10_46_20_30_420:gt ['-17', '45', '-36', '10', '46']:pred [16.352905 45.       41.578094 10.       18.348515]
hybrid_-17_15_-36_48_28_20_30_420:gt ['-17', '15', '-36', '48', '28']:pred [ 5.507416 15.       36.       48.       14.863346]
suv_-50_15_-4_35_28_140_70_420:gt ['-50', '15', '-4', '35', '28']:pred [32.952087  10.828988   6.8423643 28.700157  12.536895 ]
sedan2door_-17_23_-22_35_46_140_30_420:gt ['-17', '23', '-22', '35', '46']:pred [17.        15.4676895 22.        35.        46.       ]
hatchback_-30_45_-36_35_15_140_30_420:gt ['-30', '45', '-36', '35', '15']:pred [30.       16.729603 36.       45.82506  15.      ]
sedan2door_-50_45_-22_35_46_20_30_420:gt ['-50', '45', '-22', '35', '46']:pred [32.84276  45.       22.       35.       21.310709]
sedan2door_-50_15_-22_10_15_230_70_420:gt ['-50', '15', '-22', '10', '15']:pred [21.99324  12.38103  22.       10.        2.744753]
sedan2door_-17_15_-4_35_15_50_30_420:gt ['-17', '15', '-4', '35', '15']:pred [19.280844 15.        4.       35.       15.      ]
hybrid_-17_45_-22_35_46_50_70_420:gt ['-17', '45', '-22', '35', '46']:pred [18.787243 43.368523 22.       35.       33.120422]
suv_-30_45_-36_35_28_230_70_420:gt ['-30', '45', '-36', '35', '28']:pred [29.150208 29.094805 32.638344 28.056522  7.520728]
hybrid_-30_23_-4_10_15_20_70_420:gt ['-30', '23', '-4', '10', '15']:pred [19.832148  8.075041  4.       10.        5.660025]
sedan2door_-17_23_-36_35_46_50_30_420:gt ['-17', '23', '-36', '35', '46']:pred [20.075148 23.       36.       35.       46.      ]
hatchback_-30_23_-36_10_28_50_30_420:gt ['-30', '23', '-36', '10', '28']:pred [30.433662 23.       43.62739  10.       28.      ]
