sedan2door_-40_40_0_0_20_280_40_450 gt:['-40', '40', '0', '0', '20'] pred:[39.060196  42.63761    7.7773824 15.438688  16.695766 ]
hybrid_-20_0_0_20_0_280_60_400 gt:['-20', '0', '0', '20', '0'] pred:[20.10039    3.1301067 14.804537   3.380017   0.56217  ]
suv_0_20_-40_40_0_280_80_450 gt:['0', '20', '-40', '40', '0'] pred:[ 3.0503998 20.838388  45.078854  45.24049    1.4580286]
hatchback_-20_0_0_0_0_200_20_450 gt:['-20', '0', '0', '0', '0'] pred:[20.         1.2690036  0.         1.5425332  1.1329651]
suv_-40_40_-20_20_40_0_40_400 gt:['-40', '40', '-20', '20', '40'] pred:[41.44803  40.       21.14543  20.       41.521637]
sedan2door_-20_40_0_0_0_280_80_450 gt:['-20', '40', '0', '0', '0'] pred:[18.735497  41.30955   15.427805   9.477692   1.2070345]
hybrid_-40_20_0_40_0_360_60_400 gt:['-40', '20', '0', '40', '0'] pred:[43.845024  16.538242  17.521338  40.         1.1422184]
suv_0_20_0_20_40_280_80_450 gt:['0', '20', '0', '20', '40'] pred:[ 1.5759741 17.656822   2.7079692 13.46354   43.28048  ]
hatchback_0_0_0_0_40_200_40_450 gt:['0', '0', '0', '0', '40'] pred:[ 0.         1.6970903  0.         2.0913234 46.125137 ]
hatchback_-40_40_0_20_40_0_20_400 gt:['-40', '40', '0', '20', '40'] pred:[42.53056   40.         1.5044849 20.        40.       ]
hybrid_0_0_-40_0_40_120_40_400 gt:['0', '0', '-40', '0', '40'] pred:[ 0.         2.1769397 40.         4.7581534 40.       ]
sedan2door_-40_0_-40_0_20_280_40_450 gt:['-40', '0', '-40', '0', '20'] pred:[40.116474   2.0499163 10.808532   8.704607  18.013767 ]
sedan2door_-40_20_0_40_40_280_80_400 gt:['-40', '20', '0', '40', '40'] pred:[39.459    17.657814 14.353359 14.496977 41.713234]
hatchback_0_0_-20_0_40_320_20_400 gt:['0', '0', '-20', '0', '40'] pred:[ 2.220626  0.       11.866301  0.       46.341682]
