hatchback_-17_23_-22_35_46_50_30_420 gt:['-17', '23', '-22', '35', '46'] pred:[16.039074  23.        53.794945  38.30845    1.0227133]
sedan2door_-30_15_-22_48_46_140_70_420 gt:['-30', '15', '-22', '48', '46'] pred:[19.126802 16.52671  35.137463 10.36234  36.563576]
hybrid_-50_45_-4_10_46_140_30_420 gt:['-50', '45', '-4', '10', '46'] pred:[ 6.6033106 32.120705  43.30327   12.60005   46.       ]
hybrid_-50_23_-36_48_28_50_30_420 gt:['-50', '23', '-36', '48', '28'] pred:[20.620737 23.       53.08973  48.        7.061273]
hatchback_-30_45_-36_35_15_50_70_420 gt:['-30', '45', '-36', '35', '15'] pred:[23.390394 16.568233 47.226303 15.451729 16.931025]
sedan4door_-30_15_-36_48_28_20_30_420 gt:['-30', '15', '-36', '48', '28'] pred:[19.080511 15.       53.37582  48.        6.566186]
hybrid_-50_23_-36_48_46_140_70_420 gt:['-50', '23', '-36', '48', '46'] pred:[25.696503 34.85493  30.30926   4.811336 29.350056]
sedan2door_-50_15_-36_35_15_50_70_420 gt:['-50', '15', '-36', '35', '15'] pred:[31.33215  12.32954  22.859741 21.569038 31.999552]
sedan4door_-17_23_-4_10_28_230_70_420 gt:['-17', '23', '-4', '10', '28'] pred:[ 7.1118765 13.170898  19.036573   5.2560787 13.549442 ]
suv_-17_45_-36_35_28_230_70_420 gt:['-17', '45', '-36', '35', '28'] pred:[ 5.4008894 17.593134  51.710094  13.983861   8.9863205]
sedan2door_-17_23_-36_35_28_20_30_420 gt:['-17', '23', '-36', '35', '28'] pred:[21.748642 23.       33.00452  35.       21.137762]
sedan2door_-17_23_-36_48_15_20_30_420 gt:['-17', '23', '-36', '48', '15'] pred:[23.247143 23.       34.824974 48.       18.661068]
suv_-50_23_-36_35_28_20_70_420 gt:['-50', '23', '-36', '35', '28'] pred:[24.817232 15.134758 29.693073 18.603458  8.056639]
suv_-30_23_-4_48_46_140_70_420 gt:['-30', '23', '-4', '48', '46'] pred:[20.673462 21.898468 49.62521  16.616142 21.031822]
hatchback_-17_15_-4_48_28_140_30_420 gt:['-17', '15', '-4', '48', '28'] pred:[17.       16.721981  4.       42.458393 28.      ]
