Hatchback_-20_20_0_0_20_80_20_400 gt:['-20', '20', '0', '0', '20'] pred:[15.958702  20.        12.422634   0.         1.3404418]
Suv_-20_20_0_0_0_320_60_400 gt:['-20', '20', '0', '0', '0'] pred:[22.109257 20.       30.516901  0.       37.17856 ]
Suv_-20_20_0_20_20_0_20_450 gt:['-20', '20', '0', '20', '20'] pred:[22.258808  20.         3.9650364 20.         4.6478095]
Suv_-20_20_0_0_0_160_60_450 gt:['-20', '20', '0', '0', '0'] pred:[6.171189  9.661332  4.43966   4.35817   0.6344894]
Sedan4Door_-20_20_0_0_0_0_20_450 gt:['-20', '20', '0', '0', '0'] pred:[14.350036 20.        9.216725  0.        0.      ]
Sedan4Door_-20_20_0_0_20_0_20_400 gt:['-20', '20', '0', '0', '20'] pred:[16.707901 20.        4.019628 28.4276   20.      ]
Hatchback_0_20_-20_0_20_240_60_400 gt:['0', '20', '-20', '0', '20'] pred:[13.496219   3.9987414  2.3993685  1.6302942  2.6812057]
Hybrid_0_20_-20_0_0_160_20_450 gt:['0', '20', '-20', '0', '0'] pred:[ 0.        11.843841   1.1391437  0.        34.772015 ]
Hatchback_-20_0_0_20_0_0_20_450 gt:['-20', '0', '0', '20', '0'] pred:[ 9.493803   0.         1.4079715 20.         4.2718825]
Hybrid_0_20_-20_20_20_80_60_400 gt:['0', '20', '-20', '20', '20'] pred:[8.8304033e+00 9.6159067e+00 9.7109852e+00 1.0294568e+01 7.2022732e-03]
Sedan4Door_-20_20_0_0_20_240_20_450 gt:['-20', '20', '0', '0', '20'] pred:[24.14697    4.364828   0.5801543 10.660675  14.614249 ]
Sedan4Door_-20_0_-20_20_0_80_60_400 gt:['-20', '0', '-20', '20', '0'] pred:[16.108524  7.094737  6.001353 11.378171 17.290691]
Hatchback_0_0_-20_20_20_0_20_400 gt:['0', '0', '-20', '20', '20'] pred:[ 6.6382318  0.         5.3355756 20.        20.       ]
Suv_0_20_0_0_0_240_60_400 gt:['0', '20', '0', '0', '0'] pred:[0.        9.515607  2.4618633 2.3488736 1.7305806]
Hatchback_-20_0_-20_0_0_160_60_450 gt:['-20', '0', '-20', '0', '0'] pred:[12.5469475 10.36924    7.647189  11.543518  22.398012 ]
Suv_0_20_0_20_0_0_20_450 gt:['0', '20', '0', '20', '0'] pred:[ 2.5054362 20.        16.620792  20.         0.       ]
Hybrid_0_0_0_20_20_160_20_450 gt:['0', '0', '0', '20', '20'] pred:[ 0.        15.2778425  0.        20.         5.127213 ]
Sedan2Door_-20_20_0_0_0_240_60_450 gt:['-20', '20', '0', '0', '0'] pred:[34.84882   15.0835495  0.         6.5654716 23.199799 ]
Hatchback_-20_0_0_20_0_80_20_450 gt:['-20', '0', '0', '20', '0'] pred:[26.123474   0.         9.865559  20.         0.8434853]
Hybrid_0_20_0_20_20_160_20_450 gt:['0', '20', '0', '20', '20'] pred:[10.443793 20.201279  0.       20.       20.      ]
Sedan2Door_0_20_-20_20_0_0_20_400 gt:['0', '20', '-20', '20', '0'] pred:[26.006111 20.       20.       20.        0.      ]
Hatchback_-20_20_0_20_0_240_60_450 gt:['-20', '20', '0', '20', '0'] pred:[16.460045 14.0779   23.996449 14.564169 10.663003]
Suv_-20_20_0_20_20_320_60_400 gt:['-20', '20', '0', '20', '20'] pred:[ 3.1249466 20.        13.002618  20.        32.848377 ]
Hatchback_0_0_0_0_20_160_60_400 gt:['0', '0', '0', '0', '20'] pred:[8.179254  2.74454   3.8876028 0.493684  1.4984686]
Suv_0_0_0_20_20_0_20_450 gt:['0', '0', '0', '20', '20'] pred:[10.38232     0.          9.8985195  20.          0.23191051]
Suv_-20_0_0_20_20_80_60_450 gt:['-20', '0', '0', '20', '20'] pred:[12.076906  10.146698  19.627804   7.4701233  2.922701 ]
Suv_0_0_-20_0_20_80_60_450 gt:['0', '0', '-20', '0', '20'] pred:[1.3066389e+01 4.7102242e+00 2.1121454e+01 5.7264123e+00 9.1330260e-03]
Sedan4Door_0_0_0_0_0_80_60_400 gt:['0', '0', '0', '0', '0'] pred:[18.721563 14.288771 14.918813 20.914127 36.722298]
Sedan4Door_0_20_-20_0_0_240_20_450 gt:['0', '20', '-20', '0', '0'] pred:[ 6.5137005  9.735411   2.5131347  5.737534  19.108652 ]
Hybrid_0_20_0_0_20_240_20_450 gt:['0', '20', '0', '0', '20'] pred:[10.416738  10.057777   0.         0.         3.9940963]
Hybrid_-20_20_0_0_20_80_60_450 gt:['-20', '20', '0', '0', '20'] pred:[2.3368050e+01 1.4214284e+01 1.2436419e+01 0.0000000e+00 1.7404657e-02]
Sedan4Door_0_20_-20_20_0_160_60_400 gt:['0', '20', '-20', '20', '0'] pred:[ 9.878275    6.0341673  20.         37.017586    0.06400703]
Hatchback_0_0_-20_0_20_320_60_450 gt:['0', '0', '-20', '0', '20'] pred:[11.421357 17.203156 11.557985  0.       33.565628]
Sedan4Door_-20_0_0_0_0_160_60_400 gt:['-20', '0', '0', '0', '0'] pred:[10.401125   2.6625512  4.366826   4.9439692  4.1886206]
Suv_-20_0_-20_20_0_80_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[22.617128   0.        22.384266  20.         5.3522015]
Sedan4Door_0_20_-20_0_20_160_20_450 gt:['0', '20', '-20', '0', '20'] pred:[ 8.997633    3.6699932   0.11490466  0.3223359  44.382133  ]
Hybrid_0_0_0_20_0_80_60_450 gt:['0', '0', '0', '20', '0'] pred:[2.0919289e+01 8.5759945e+00 1.2303853e+01 3.2951233e+01 5.1484243e-03]
Hybrid_-20_0_0_0_20_160_20_450 gt:['-20', '0', '0', '0', '20'] pred:[13.661835   3.9740891  0.2793697  0.        18.665518 ]
Sedan2Door_-20_20_0_20_0_160_60_450 gt:['-20', '20', '0', '20', '0'] pred:[20.756077    2.1413906  14.020043   20.          0.10242455]
Hatchback_-20_20_-20_20_0_160_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[13.776768  24.229101   7.6708245 23.560135   4.895109 ]
Sedan4Door_0_0_0_20_20_0_20_450 gt:['0', '0', '0', '20', '20'] pred:[ 9.752788  0.       16.405972 20.        2.986787]
Hatchback_0_0_-20_0_20_160_60_400 gt:['0', '0', '-20', '0', '20'] pred:[10.918524    2.4119244   2.8284402   3.942765    0.35208067]
Hybrid_0_20_0_0_20_80_20_400 gt:['0', '20', '0', '0', '20'] pred:[31.094934  20.         6.6971307  0.        13.3244915]
Sedan4Door_-20_20_0_20_20_160_60_400 gt:['-20', '20', '0', '20', '20'] pred:[13.430325   8.8446045  5.145766  20.149345   3.5677145]
Hatchback_0_20_0_0_0_80_20_400 gt:['0', '20', '0', '0', '0'] pred:[ 9.579095   20.         20.171906    0.          0.17907298]
Hatchback_-20_0_-20_20_0_320_60_400 gt:['-20', '0', '-20', '20', '0'] pred:[25.306574  27.59313   10.89205   14.317832   4.8343897]
Sedan4Door_0_20_0_0_20_0_20_450 gt:['0', '20', '0', '0', '20'] pred:[14.898087   20.          1.478195    0.          0.83173054]
Suv_-20_0_0_0_20_160_60_400 gt:['-20', '0', '0', '0', '20'] pred:[8.34707   4.511651  9.043546  1.5366596 0.7032263]
Hatchback_-20_20_0_0_20_320_20_450 gt:['-20', '20', '0', '0', '20'] pred:[14.0015545 20.        33.280533   0.         4.7801847]
Suv_-20_0_0_20_0_160_60_450 gt:['-20', '0', '0', '20', '0'] pred:[13.001511   7.4677896 14.400605  10.162154   6.0096035]
Hatchback_0_0_-20_0_20_320_60_400 gt:['0', '0', '-20', '0', '20'] pred:[12.800247  21.260784  35.507      0.         1.7635721]
Sedan2Door_0_20_0_0_20_320_20_450 gt:['0', '20', '0', '0', '20'] pred:[ 4.18315    20.          0.          0.          0.07100703]
Hybrid_-20_0_-20_20_0_160_60_450 gt:['-20', '0', '-20', '20', '0'] pred:[31.103786    4.1788416   1.7454623  20.          0.49259534]
Hybrid_-20_20_0_20_0_80_60_400 gt:['-20', '20', '0', '20', '0'] pred:[26.282433    8.774534    2.9103308  20.          0.34826666]
Sedan4Door_0_0_0_20_20_160_60_450 gt:['0', '0', '0', '20', '20'] pred:[9.650383   4.837975   0.         6.7073135  0.05788618]
Sedan2Door_-20_20_0_0_20_240_20_450 gt:['-20', '20', '0', '0', '20'] pred:[20.        11.553104   0.         5.6405745 22.988379 ]
Sedan2Door_0_0_0_20_20_320_20_400 gt:['0', '0', '0', '20', '20'] pred:[11.174188  0.       30.41751  20.       22.180777]
Hatchback_0_0_0_0_0_240_60_450 gt:['0', '0', '0', '0', '0'] pred:[8.860333  8.225472  1.6190044 1.0656189 1.6076018]
Sedan4Door_-20_20_0_20_0_0_60_450 gt:['-20', '20', '0', '20', '0'] pred:[33.011543 29.465492 12.664262 20.        5.782276]
Sedan2Door_-20_20_-20_0_20_240_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[20.       20.144945 20.        0.       19.781725]
Sedan2Door_-20_0_0_0_20_0_20_400 gt:['-20', '0', '0', '0', '20'] pred:[17.579994  0.        8.220558  0.        4.43872 ]
Hybrid_0_20_-20_20_20_80_60_450 gt:['0', '20', '-20', '20', '20'] pred:[25.39585     1.5895649  20.          4.1708565   0.28708795]
Sedan2Door_-20_0_0_20_0_320_20_450 gt:['-20', '0', '0', '20', '0'] pred:[ 8.779674    0.         11.758215   20.          0.03495377]
Sedan4Door_0_0_0_0_0_160_20_400 gt:['0', '0', '0', '0', '0'] pred:[6.4294868  1.9883307  0.38594627 0.93439806 0.22508027]
Hatchback_-20_20_0_0_0_160_20_400 gt:['-20', '20', '0', '0', '0'] pred:[20.          5.74742     0.74604136 10.060841   16.512106  ]
Hatchback_0_0_-20_20_20_320_60_400 gt:['0', '0', '-20', '20', '20'] pred:[ 6.5906053 12.034367  14.630116  26.95512   11.900898 ]
Sedan4Door_0_20_-20_20_0_240_60_400 gt:['0', '20', '-20', '20', '0'] pred:[15.165204  8.819188  2.48791   7.136086  9.842878]
Suv_-20_0_0_20_0_240_60_450 gt:['-20', '0', '0', '20', '0'] pred:[17.673054 12.983505 10.87472   7.623907 10.134622]
Sedan2Door_0_0_-20_20_0_160_20_400 gt:['0', '0', '-20', '20', '0'] pred:[ 0.        32.14058   20.        20.         7.5066447]
Hatchback_-20_20_-20_20_20_0_60_400 gt:['-20', '20', '-20', '20', '20'] pred:[10.740709 16.543194  9.831203 20.       23.496803]
Hybrid_0_20_-20_0_20_160_20_400 gt:['0', '20', '-20', '0', '20'] pred:[8.186032   2.9115713  5.75336    0.         0.08419394]
Suv_0_0_-20_20_20_320_20_400 gt:['0', '0', '-20', '20', '20'] pred:[ 7.331255  0.       21.236828 20.       10.045935]
Suv_-20_0_-20_0_0_320_60_450 gt:['-20', '0', '-20', '0', '0'] pred:[10.751969  12.66167   14.651614  13.087407   2.5723004]
Hatchback_-20_20_-20_20_20_0_20_450 gt:['-20', '20', '-20', '20', '20'] pred:[19.56704  20.        4.455458 20.       10.876991]
Sedan4Door_-20_0_0_0_0_320_20_400 gt:['-20', '0', '0', '0', '0'] pred:[ 2.790531  0.        9.024403  0.       12.824232]
Sedan2Door_-20_0_-20_0_20_160_60_400 gt:['-20', '0', '-20', '0', '20'] pred:[ 4.8516703  2.3261046  9.099951   0.        41.56731  ]
Sedan2Door_-20_0_0_20_0_80_20_400 gt:['-20', '0', '0', '20', '0'] pred:[13.1048155  0.         0.        20.         0.       ]
Sedan2Door_0_20_0_20_20_240_60_400 gt:['0', '20', '0', '20', '20'] pred:[1.9057442e+01 1.3960235e+01 3.5500808e+00 2.0000000e+01 1.5212470e-02]
Sedan2Door_0_20_-20_0_20_80_20_450 gt:['0', '20', '-20', '0', '20'] pred:[1.8924263e+01 2.0000000e+01 2.4144409e+01 0.0000000e+00 8.9285802e-03]
Suv_0_20_0_0_20_0_20_450 gt:['0', '20', '0', '0', '20'] pred:[22.441666 20.       13.786417  0.        1.146815]
Sedan4Door_0_20_-20_0_0_80_60_400 gt:['0', '20', '-20', '0', '0'] pred:[23.465134    5.354664   20.31747     2.3462193   0.10391404]
Sedan4Door_0_20_0_20_20_320_20_400 gt:['0', '20', '0', '20', '20'] pred:[ 4.867077 20.        5.44566  20.       50.125206]
Sedan4Door_-20_0_-20_20_20_320_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[ 9.052529  16.434889   2.2640612 11.052975   8.115973 ]
Suv_0_20_-20_20_0_80_20_400 gt:['0', '20', '-20', '20', '0'] pred:[ 6.5909348 20.        15.1445875 20.         0.       ]
Sedan2Door_-20_0_-20_0_20_160_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[11.300325   5.357879   5.895386   0.         3.5221643]
Sedan4Door_-20_0_0_0_0_160_60_450 gt:['-20', '0', '0', '0', '0'] pred:[10.468559   3.4454541  9.891966   2.5150418  6.917281 ]
Suv_-20_0_0_0_20_240_60_450 gt:['-20', '0', '0', '0', '20'] pred:[13.773761   5.536738   1.9970785  1.0227611  3.3035922]
Suv_0_20_0_0_20_240_20_450 gt:['0', '20', '0', '0', '20'] pred:[ 0.        44.74851    3.3117075 25.673872  48.174606 ]
Hybrid_-20_20_0_20_0_160_20_450 gt:['-20', '20', '0', '20', '0'] pred:[20.       26.08386   0.       20.       21.780344]
Sedan4Door_-20_0_0_20_20_160_60_400 gt:['-20', '0', '0', '20', '20'] pred:[26.604458   3.2252123 15.2925825  6.4384556 21.286205 ]
Hatchback_-20_0_-20_0_20_160_60_400 gt:['-20', '0', '-20', '0', '20'] pred:[ 5.926415    9.307319   20.          0.31256062 47.73086   ]
Sedan2Door_-20_20_-20_20_20_320_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[30.160774   6.5656075 20.        20.        12.349821 ]
Hatchback_0_20_0_20_0_240_60_450 gt:['0', '20', '0', '20', '0'] pred:[12.820996   8.127204   1.1237574 13.101951  18.4655   ]
Hybrid_-20_0_-20_20_20_320_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[24.317307  0.       12.140283 20.       13.750425]
Sedan4Door_-20_20_-20_20_0_0_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[38.302685  20.3751    11.436484  20.         1.5200895]
Sedan2Door_0_20_0_20_0_320_60_450 gt:['0', '20', '0', '20', '0'] pred:[ 1.7792023 21.729723   3.1628304 20.        12.5323715]
Hybrid_0_20_0_20_20_0_60_450 gt:['0', '20', '0', '20', '20'] pred:[ 7.1699586  13.017654    8.7281885  20.          0.04506835]
Sedan2Door_0_0_0_0_0_240_20_450 gt:['0', '0', '0', '0', '0'] pred:[ 0.          7.8842864   0.70863897  0.         27.054163  ]
Suv_-20_20_0_0_0_80_20_450 gt:['-20', '20', '0', '0', '0'] pred:[20.64307  20.       14.465166  0.        0.      ]
Sedan2Door_-20_20_0_20_20_80_20_450 gt:['-20', '20', '0', '20', '20'] pred:[ 8.864732   20.         26.126684   20.          0.11520977]
Hybrid_-20_0_0_0_0_0_20_400 gt:['-20', '0', '0', '0', '0'] pred:[16.887041  0.        0.        0.        0.      ]
Sedan2Door_-20_20_-20_0_20_240_60_450 gt:['-20', '20', '-20', '0', '20'] pred:[16.869745   9.384949   6.636504   3.0474324  0.8705718]
Suv_-20_0_-20_20_20_240_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[20.       16.659624 20.       21.055264 23.829618]
Suv_-20_0_0_20_0_240_60_400 gt:['-20', '0', '0', '20', '0'] pred:[ 3.03351    5.810296   2.3676023  3.3775141 15.68941  ]
Suv_0_0_-20_0_0_240_20_400 gt:['0', '0', '-20', '0', '0'] pred:[5.7499914  6.143955   0.69579583 1.8488578  0.04248256]
Sedan4Door_0_20_0_0_20_320_20_400 gt:['0', '20', '0', '0', '20'] pred:[ 2.082238   20.          0.57053936  0.          0.5130524 ]
Sedan2Door_-20_0_-20_20_20_160_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[20.         8.289698   3.3598368 20.        25.206955 ]
Hatchback_0_0_0_20_20_80_60_450 gt:['0', '0', '0', '20', '20'] pred:[19.562935  13.664955   9.189901  17.589727   6.7017837]
Hatchback_0_20_0_20_0_240_60_400 gt:['0', '20', '0', '20', '0'] pred:[ 9.806711   7.4082794  4.0017557 15.55783    9.413537 ]
Sedan4Door_0_0_0_0_0_320_60_450 gt:['0', '0', '0', '0', '0'] pred:[ 8.172663   15.464335   14.213448    0.          0.58452225]
Hatchback_0_0_-20_0_0_0_20_450 gt:['0', '0', '-20', '0', '0'] pred:[2.1617550e+01 0.0000000e+00 4.8580747e+00 0.0000000e+00 9.7896438e-03]
Sedan4Door_0_20_0_20_20_240_60_450 gt:['0', '20', '0', '20', '20'] pred:[27.730814    9.384928    0.59187937  3.260802   13.280166  ]
Hatchback_-20_20_-20_0_0_320_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[31.708656 20.       30.439335  0.        9.825202]
Suv_-20_20_0_20_20_160_60_450 gt:['-20', '20', '0', '20', '20'] pred:[28.22955    7.1097207 38.786743  31.94659    1.8162167]
Sedan2Door_-20_0_-20_20_20_0_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[4.765836   1.8293166  6.6461806  6.027185   0.06279664]
Hatchback_0_20_0_20_0_0_60_450 gt:['0', '20', '0', '20', '0'] pred:[ 7.8355246 10.348586  39.47613   20.         0.6892396]
Sedan4Door_-20_0_-20_20_20_160_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[20.         1.7434595  2.37667    7.754978   4.070192 ]
Sedan2Door_0_0_-20_20_20_0_20_450 gt:['0', '0', '-20', '20', '20'] pred:[15.74114    0.         7.5802283 20.        20.       ]
Hybrid_0_0_0_20_20_80_20_400 gt:['0', '0', '0', '20', '20'] pred:[28.053637  0.        0.       20.       20.      ]
Sedan4Door_0_0_-20_0_20_240_60_400 gt:['0', '0', '-20', '0', '20'] pred:[15.642943   7.3455515  5.161785   4.1680455 14.690441 ]
Sedan2Door_0_0_-20_20_20_240_60_450 gt:['0', '0', '-20', '20', '20'] pred:[28.215418 13.586298 31.841473 20.       11.985709]
