hybrid_-40_40_-40_40_20_360_80_400 gt:['-40', '40', '-40', '40', '20'] pred:[41.40255  41.323326 40.       40.       18.985538]
hatchback_-20_40_-20_40_20_200_60_400 gt:['-20', '40', '-20', '40', '20'] pred:[18.056824 40.93134  20.       40.773926 21.349056]
hatchback_-40_20_-40_20_40_200_20_450 gt:['-40', '20', '-40', '20', '40'] pred:[40.       21.892141 40.       12.942645 45.152695]
hybrid_-40_0_0_40_20_280_80_400 gt:['-40', '0', '0', '40', '20'] pred:[42.733543  2.979576  0.       40.       20.705479]
sedan2door_-40_20_0_0_0_320_20_450 gt:['-40', '20', '0', '0', '0'] pred:[43.72922   20.         0.         0.         1.4386495]
hatchback_-20_20_-40_40_0_0_80_400 gt:['-20', '20', '-40', '40', '0'] pred:[20.286642 20.790234 41.41509  43.591698  1.585059]
hatchback_-40_40_0_20_40_280_20_400 gt:['-40', '40', '0', '20', '40'] pred:[40.758713 40.        3.745773 20.       40.67382 ]
sedan4door_-20_40_-40_0_20_80_20_400 gt:['-20', '40', '-40', '0', '20'] pred:[16.799286 40.       45.53032   0.       20.      ]
suv_-40_0_-20_40_20_360_20_400 gt:['-40', '0', '-20', '40', '20'] pred:[44.816986  0.       21.170555 40.       20.      ]
suv_0_40_-20_40_0_360_20_450 gt:['0', '40', '-20', '40', '0'] pred:[ 3.7315288 40.        18.944725  40.         0.       ]
hatchback_-40_20_0_40_20_0_40_450 gt:['-40', '20', '0', '40', '20'] pred:[40.78917   20.         1.2055901 40.        18.940647 ]
hatchback_-20_20_-40_20_40_120_40_450 gt:['-20', '20', '-40', '20', '40'] pred:[20.       24.48685  40.       15.682068 40.      ]
hybrid_-20_40_-40_0_40_240_20_450 gt:['-20', '40', '-40', '0', '40'] pred:[20.       42.131367 40.        0.       43.466354]
hatchback_-40_0_-20_0_40_0_80_450 gt:['-40', '0', '-20', '0', '40'] pred:[40.798637   1.9449987 19.602024   4.4277897 40.397694 ]
suv_-20_40_-40_40_20_80_40_450 gt:['-20', '40', '-40', '40', '20'] pred:[15.506499 42.748577 42.16198  40.       20.      ]
