sedan2door_-20_40_-20_0_20_240_20_400 gt:['-20', '40', '-20', '0', '20'] pred:[20.       46.746803 20.       14.743726 17.789633]
hatchback_-40_20_-20_20_0_200_20_450 gt:['-40', '20', '-20', '20', '0'] pred:[40.        18.061565  20.        17.354868   2.8657439]
suv_0_0_0_0_20_0_80_400 gt:['0', '0', '0', '0', '20'] pred:[ 1.7046831  1.6006712  2.8967705  4.377878  19.476053 ]
suv_-40_40_-40_0_40_40_80_450 gt:['-40', '40', '-40', '0', '40'] pred:[39.432407  43.00814   38.05999    2.8061614 41.715294 ]
suv_0_20_0_40_0_360_20_400 gt:['0', '20', '0', '40', '0'] pred:[ 1.1444364 20.         4.384739  40.         0.       ]
sedan4door_0_20_-40_20_40_360_40_450 gt:['0', '20', '-40', '20', '40'] pred:[ 2.555967 20.       44.454357 20.       43.386215]
hybrid_0_40_0_0_0_360_40_450 gt:['0', '40', '0', '0', '0'] pred:[ 2.1126118 40.        13.797418   0.         2.1158426]
suv_0_20_0_0_0_200_40_450 gt:['0', '20', '0', '0', '0'] pred:[ 0.        20.356136   0.         2.0773568  2.7362783]
sedan4door_-20_0_0_40_0_200_20_400 gt:['-20', '0', '0', '40', '0'] pred:[20.         4.368371   0.        44.53384    3.5942192]
sedan4door_-40_0_-20_40_40_280_20_400 gt:['-40', '0', '-20', '40', '40'] pred:[41.162674  0.       23.320185 40.       41.501102]
hybrid_-40_0_0_40_0_0_60_400 gt:['-40', '0', '0', '40', '0'] pred:[44.628796   2.7121823 22.272537  40.         2.1691399]
hybrid_0_40_-20_0_0_320_60_400 gt:['0', '40', '-20', '0', '0'] pred:[ 2.8798735 46.078415  14.123574  13.752805   3.010661 ]
hybrid_-40_0_0_40_20_40_20_450 gt:['-40', '0', '0', '40', '20'] pred:[41.447872  0.       27.624298 40.       20.      ]
hybrid_0_40_0_0_20_0_20_450 gt:['0', '40', '0', '0', '20'] pred:[ 1.049235 40.       25.843859  0.       20.      ]
hybrid_-20_0_-40_20_40_240_80_450 gt:['-20', '0', '-40', '20', '40'] pred:[16.402985  2.087655 29.048897 19.736195 40.454113]
sedan4door_-40_0_-40_20_20_360_60_450 gt:['-40', '0', '-40', '20', '20'] pred:[40.67615   2.540279 38.999695 20.       21.235878]
suv_-20_0_-40_40_0_240_20_450 gt:['-20', '0', '-40', '40', '0'] pred:[20.        8.366974 40.       45.025623  1.10423 ]
hatchback_-40_20_-20_0_40_120_20_400 gt:['-40', '20', '-20', '0', '40'] pred:[40.        16.170105  20.         3.4982588 40.       ]
sedan2door_0_20_-20_0_40_160_60_400 gt:['0', '20', '-20', '0', '40'] pred:[ 2.5413468 21.020031  20.        23.262138  41.547516 ]
hybrid_-20_20_-40_20_20_40_40_450 gt:['-20', '20', '-40', '20', '20'] pred:[18.090315 20.       22.612602 20.       20.45808 ]
hatchback_-40_40_0_40_40_240_80_400 gt:['-40', '40', '0', '40', '40'] pred:[42.772232 38.981583  8.137272 42.21859  40.69055 ]
hybrid_-20_40_-40_40_0_80_60_400 gt:['-20', '40', '-40', '40', '0'] pred:[22.247433  47.29188   16.502378  18.474186   2.8250382]
suv_-20_0_-20_0_20_160_40_400 gt:['-20', '0', '-20', '0', '20'] pred:[20.         2.790926  20.         3.9233744 22.99814  ]
sedan4door_-40_20_-20_20_0_240_20_450 gt:['-40', '20', '-20', '20', '0'] pred:[40.       24.37554  20.       18.360123  2.322139]
hybrid_0_20_-40_20_20_240_20_450 gt:['0', '20', '-40', '20', '20'] pred:[ 0.       20.910545 40.       20.922808 20.549469]
suv_0_20_-20_20_0_240_20_450 gt:['0', '20', '-20', '20', '0'] pred:[ 0.       22.445185 20.       23.433844  1.073817]
sedan2door_-40_0_0_0_0_240_40_450 gt:['-40', '0', '0', '0', '0'] pred:[40.         4.4129853  0.        27.980762   1.5397497]
hatchback_-20_0_-40_40_0_360_80_400 gt:['-20', '0', '-40', '40', '0'] pred:[16.159145   5.2268066 41.990807  42.941166   1.7625942]
sedan4door_-20_0_0_40_20_240_40_400 gt:['-20', '0', '0', '40', '20'] pred:[20.         3.4216096  0.        41.84874   19.157248 ]
hatchback_0_20_-40_20_20_200_40_400 gt:['0', '20', '-40', '20', '20'] pred:[ 0.       22.661285 40.       19.482702 23.745079]
suv_-40_40_0_20_40_0_20_450 gt:['-40', '40', '0', '20', '40'] pred:[43.907978  40.         3.4154296 20.        40.       ]
hybrid_-40_40_0_40_0_360_60_400 gt:['-40', '40', '0', '40', '0'] pred:[40.896534  41.581974  19.652954  40.         2.5802507]
hatchback_0_0_0_20_0_360_40_450 gt:['0', '0', '0', '20', '0'] pred:[ 2.2514625  0.         3.0457377 20.         2.2969763]
sedan4door_-40_20_-40_0_0_360_20_400 gt:['-40', '20', '-40', '0', '0'] pred:[38.710144 20.       46.059765  0.        0.      ]
suv_-20_0_-40_20_40_40_60_450 gt:['-20', '0', '-40', '20', '40'] pred:[19.071331   3.1288452 38.344185  20.        38.810265 ]
sedan4door_-20_40_-40_0_20_0_80_400 gt:['-20', '40', '-40', '0', '20'] pred:[19.73602   43.457024  43.622753   3.4123826 23.036366 ]
sedan4door_-20_0_-40_0_40_120_60_450 gt:['-20', '0', '-40', '0', '40'] pred:[18.709759   4.278248  40.         4.1141376 41.09511  ]
sedan4door_-20_0_-40_20_40_280_80_400 gt:['-20', '0', '-40', '20', '40'] pred:[15.371688  3.864585 42.72218  16.074095 38.41677 ]
hatchback_-20_40_-40_20_40_160_60_450 gt:['-20', '40', '-40', '20', '40'] pred:[19.384953 42.39411  40.       19.43623  42.288803]
hybrid_-40_20_0_0_20_240_20_450 gt:['-40', '20', '0', '0', '20'] pred:[40.       18.963251  0.       24.49076  18.082104]
sedan4door_-40_40_-20_0_20_120_60_400 gt:['-40', '40', '-20', '0', '20'] pred:[40.421665  42.96963   20.         5.1825647 19.178514 ]
sedan2door_-20_40_-40_40_40_80_20_450 gt:['-20', '40', '-40', '40', '40'] pred:[20.149014 40.        6.331072 40.       40.      ]
hatchback_-40_20_-40_0_0_40_80_450 gt:['-40', '20', '-40', '0', '0'] pred:[39.06521   20.883018  38.260036   2.6903617  1.2193414]
suv_-40_20_-40_40_0_240_40_400 gt:['-40', '20', '-40', '40', '0'] pred:[40.       18.627247 40.       41.596645  1.609084]
sedan2door_-40_0_-40_40_0_40_20_400 gt:['-40', '0', '-40', '40', '0'] pred:[44.450306  0.       22.06179  40.        0.      ]
sedan4door_0_0_-40_0_40_200_40_400 gt:['0', '0', '-40', '0', '40'] pred:[ 0.         1.7895491 40.         3.562612  47.198265 ]
hatchback_-40_40_0_0_40_280_40_450 gt:['-40', '40', '0', '0', '40'] pred:[43.226555  44.973724   5.9404335  5.785947  41.79551  ]
sedan2door_-40_20_-40_40_20_240_80_450 gt:['-40', '20', '-40', '40', '20'] pred:[44.184193 20.828398 21.627432  9.891296 20.006557]
suv_-40_20_0_0_20_120_40_450 gt:['-40', '20', '0', '0', '20'] pred:[40.        20.833359   0.         3.5738988 20.       ]
sedan4door_-20_40_-40_40_40_320_20_450 gt:['-20', '40', '-40', '40', '40'] pred:[18.240295 40.       42.819534 40.       38.36933 ]
hybrid_0_20_-20_20_0_200_60_450 gt:['0', '20', '-20', '20', '0'] pred:[ 1.3222387 21.350777  20.        14.240472   2.6865745]
hybrid_-20_0_-40_0_40_360_60_400 gt:['-20', '0', '-40', '0', '40'] pred:[20.722605   2.3494997 11.008288   0.        43.036903 ]
hybrid_-20_20_-20_20_0_240_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[20.        20.309046  20.        24.944714   1.4957212]
suv_-20_40_-40_0_40_200_60_450 gt:['-20', '40', '-40', '0', '40'] pred:[18.428436  41.96808   40.         3.5218205 43.394054 ]
sedan2door_-20_0_0_40_20_240_20_400 gt:['-20', '0', '0', '40', '20'] pred:[20.         2.7602065  0.        16.219606  19.333824 ]
sedan4door_-20_20_-20_20_20_320_20_450 gt:['-20', '20', '-20', '20', '20'] pred:[18.091913 20.       18.184711 20.       20.999151]
hybrid_0_20_0_40_40_240_40_400 gt:['0', '20', '0', '40', '40'] pred:[ 0.       21.37442   0.       21.861053 41.793053]
sedan2door_0_40_0_20_0_200_60_450 gt:['0', '40', '0', '20', '0'] pred:[ 3.6335998 43.797832   0.        16.121162   1.0302684]
sedan4door_-40_40_0_40_40_320_60_450 gt:['-40', '40', '0', '40', '40'] pred:[41.569187 40.221657  5.866581 37.43901  42.28303 ]
hybrid_-20_0_-40_0_20_200_20_450 gt:['-20', '0', '-40', '0', '20'] pred:[20.         2.9482188 40.        16.065384  21.884052 ]
sedan4door_-40_20_0_40_20_80_20_400 gt:['-40', '20', '0', '40', '20'] pred:[47.058033 20.        2.980444 40.       20.      ]
sedan4door_-40_0_-40_20_0_40_80_450 gt:['-40', '0', '-40', '20', '0'] pred:[42.950817   5.3285866 40.27063   15.312935   3.2063994]
suv_0_0_-20_40_0_160_40_450 gt:['0', '0', '-20', '40', '0'] pred:[ 0.         1.7222767 20.        40.226105   2.1046777]
hatchback_-40_0_0_0_20_320_20_450 gt:['-40', '0', '0', '0', '20'] pred:[43.00355   0.        5.276174  0.       16.314625]
sedan4door_-20_40_-40_20_20_160_60_450 gt:['-20', '40', '-40', '20', '20'] pred:[15.613689 41.029358 40.       22.418352 20.839935]
sedan2door_-20_0_-20_40_40_40_40_450 gt:['-20', '0', '-20', '40', '40'] pred:[22.145876  0.       22.036842 40.       43.29831 ]
hatchback_-40_20_-40_40_40_200_40_400 gt:['-40', '20', '-40', '40', '40'] pred:[40.       20.091936 40.       42.328384 39.68293 ]
suv_0_20_-40_40_40_360_60_400 gt:['0', '20', '-40', '40', '40'] pred:[ 4.2497544 24.105219  43.196556  40.        38.9003   ]
sedan2door_-20_0_-40_0_40_360_20_450 gt:['-20', '0', '-40', '0', '40'] pred:[20.97413   0.        9.608027  0.       40.      ]
hybrid_0_20_-20_20_20_120_20_450 gt:['0', '20', '-20', '20', '20'] pred:[ 0.       21.85879  20.       13.200063 20.      ]
hybrid_-40_20_0_0_40_120_80_400 gt:['-40', '20', '0', '0', '40'] pred:[43.079857 23.956272 27.222488 16.465624 40.004955]
hybrid_-20_40_-20_40_40_120_60_400 gt:['-20', '40', '-20', '40', '40'] pred:[23.54574  43.401905 20.       15.547154 42.037117]
