hatchback_-30_23_-36_48_15_50_70_420:gt ['-30', '23', '-36', '48', '15']:pred [22.140604 32.98356  23.272306 27.071785 17.089697]
hybrid_-30_45_-4_48_28_230_70_420:gt ['-30', '45', '-4', '48', '28']:pred [36.437008 29.807255  4.       48.       22.297815]
sedan4door_-17_15_-22_10_28_20_30_420:gt ['-17', '15', '-22', '10', '28']:pred [22.719349 15.       16.790804 10.       28.12406 ]
sedan4door_-30_45_-36_35_15_140_70_420:gt ['-30', '45', '-36', '35', '15']:pred [36.282883 14.833379 29.156185 16.9691   15.470402]
sedan2door_-17_45_-22_35_15_230_70_420:gt ['-17', '45', '-22', '35', '15']:pred [11.83008  27.130993 22.       35.        5.645535]
suv_-17_15_-36_10_46_50_70_420:gt ['-17', '15', '-36', '10', '46']:pred [18.204199 14.072709 10.09503  10.       16.302237]
hatchback_-50_15_-36_48_46_50_30_420:gt ['-50', '15', '-36', '48', '46']:pred [27.904642 15.       10.358726 48.       46.      ]
hatchback_-17_45_-4_35_28_140_30_420:gt ['-17', '45', '-4', '35', '28']:pred [ 8.987697 23.933954  4.       43.404606 11.141658]
hatchback_-30_23_-4_10_46_140_70_420:gt ['-30', '23', '-4', '10', '46']:pred [25.465853  7.152607 12.257744 15.554382 42.972195]
hybrid_-17_45_-4_48_46_20_30_420:gt ['-17', '45', '-4', '48', '46']:pred [10.607895 45.       17.466917 48.       38.654423]
hatchback_-17_15_-22_10_28_140_70_420:gt ['-17', '15', '-22', '10', '28']:pred [16.547352   3.7381244 18.023264   9.665561  33.471386 ]
suv_-30_23_-36_10_46_230_70_420:gt ['-30', '23', '-36', '10', '46']:pred [41.52056  17.554396 41.80903  17.000952 29.40901 ]
sedan2door_-17_15_-36_35_15_50_70_420:gt ['-17', '15', '-36', '35', '15']:pred [29.598307 18.34523  36.       35.       18.97409 ]
sedan4door_-30_15_-22_48_46_20_30_420:gt ['-30', '15', '-22', '48', '46']:pred [28.107824 15.       17.728895 48.       34.139755]
hatchback_-17_45_-4_35_15_20_70_420:gt ['-17', '45', '-4', '35', '15']:pred [21.679022 28.51822  11.055628 11.903097 26.68221 ]
suv_-17_15_-4_35_46_140_30_420:gt ['-17', '15', '-4', '35', '46']:pred [ 8.823899   5.3530684  4.        30.04457    6.652122 ]
suv_-30_45_-22_35_15_230_70_420:gt ['-30', '45', '-22', '35', '15']:pred [41.396416 38.134434 38.860806 26.820532 14.289872]
sedan4door_-17_45_-22_48_28_50_30_420:gt ['-17', '45', '-22', '48', '28']:pred [31.201777 45.       12.128082 48.       16.67042 ]
sedan2door_-30_15_-22_48_15_140_30_420:gt ['-30', '15', '-22', '48', '15']:pred [ 6.7610126  8.628505  22.        48.         4.8206406]
hatchback_-17_23_-4_35_15_50_70_420:gt ['-17', '23', '-4', '35', '15']:pred [23.605488 16.816805 15.694946 35.       16.826527]
