425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.53187    8.6063595 40.        40.        31.950634 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [ 5.9677534 26.810005   4.934264  12.303665   4.3188357]
cde88b5900e8dfba725a7749daae1afa_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [20.708345 18.77587  40.       21.480265 47.896404]
216d910f71942f205df3c6413d40ccb2_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [24.973925 49.128773 50.30696  40.       35.691044]
4ac021653126a29e98618a1ba17f086b_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [16.879574   14.92002     0.59340346 28.09927    52.750843  ]
a387407d49e209fdeea60824a43a0b_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [27.515356  42.130642   4.2444496 20.        30.403221 ]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [18.42838  19.445518 20.       10.6912   19.278685]
7dac31838b627748eb631ba05bd8dfe_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [16.044323 16.035637 20.       11.022913 47.556747]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [22.817331  8.284408 14.470253 40.       31.58654 ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [20.505148 26.323067  4.03889  28.164532 55.81939 ]
cde88b5900e8dfba725a7749daae1afa_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.        11.1983795 40.        29.070591  34.90783  ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [18.38514  33.848385 31.189384 28.27758  41.246582]
d72ffa185738bccd10b75223b5be6dbb_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [13.433697  6.161497 20.       12.730823 26.587185]
9c827e532de4967285089a13cc567dbd_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.        26.392918  40.         3.3254027 55.740303 ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [28.37267  21.447607 14.567939 31.122568 21.460835]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [19.032606  28.87648   40.         3.6546714 52.910007 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40.       22.61757  20.       16.365175 38.914097]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [11.379767  38.768238   7.7898674 14.286909   9.631863 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [15.648974   8.097685  40.         4.4663806 29.581085 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [20.465397  9.854192 13.080576  9.006268 23.237576]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [11.309619   6.0774    40.         3.2304158 55.883427 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.        15.71014   40.         3.8330648  6.406794 ]
fabcb04fc015f822ca8bf2993ca245b_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [33.946396 21.01473  40.       11.173982 54.63856 ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [22.231104 14.88716  19.448914 28.699436 41.96162 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [ 5.863368   6.225422  20.         8.2179365 46.86204  ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [12.028669 15.852803  8.969488 24.129026 33.479237]
216d910f71942f205df3c6413d40ccb2_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [22.144188  31.56538    6.3343015 18.038187  11.846008 ]
a387407d49e209fdeea60824a43a0b_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [12.96242  32.38533   8.575809 14.490553 19.553402]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [11.963611   9.129574   2.7080097  6.2481885 33.18309  ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [ 9.916202  14.997774   5.9515753 39.49565   55.227123 ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [10.499758  18.478659   7.7783318 25.845924  43.572277 ]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [30.020567 33.963707 20.       14.374923 26.064518]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       21.840118 20.       16.39221  15.143266]
7dac31838b627748eb631ba05bd8dfe_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       37.40384  20.       12.589652 12.338576]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [12.696667   6.9903355 20.        10.876949  45.252884 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [ 8.961855  12.914489   1.7868729 28.519552  10.05087  ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [16.93545    5.6307116  6.3264303 15.312575  10.079362 ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [13.274532 13.372108 40.       16.671629 36.859123]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.         6.829843   3.0767272 10.084581  23.506416 ]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [17.465704   6.08877    2.4826078 13.846415  21.99428  ]
7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [40.         3.4180088 20.         2.2685728  9.907034 ]
a387407d49e209fdeea60824a43a0b_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       15.16907  20.        8.604372 21.315697]
