suv_-40_20_-20_20_40_240_80_400:gt ['-40', '20', '-20', '20', '40']:pred [21.484638 23.551023 21.614264 24.023294 22.71466 ]
sedan2door_-20_20_-20_40_20_320_80_450:gt ['-20', '20', '-20', '40', '20']:pred [17.152443 17.162502 18.443861 40.       19.09929 ]
hybrid_-40_20_0_0_20_0_60_400:gt ['-40', '20', '0', '0', '20']:pred [20.554295 24.302887 21.807402  0.       21.487556]
sedan4door_-40_20_-20_0_40_240_60_400:gt ['-40', '20', '-20', '0', '40']:pred [20.576021 20.515907 24.640793 22.570364 20.976019]
sedan2door_-20_20_0_20_20_0_40_400:gt ['-20', '20', '0', '20', '20']:pred [17.04397  20.       16.869612 20.       19.43491 ]
hatchback_-40_20_0_0_20_0_20_450:gt ['-40', '20', '0', '0', '20']:pred [21.907219 20.       21.387829  0.       20.      ]
sedan2door_0_0_0_20_40_160_80_450:gt ['0', '0', '0', '20', '40']:pred [16.552795 15.283438  0.       17.012192 19.857754]
suv_-20_40_-20_0_20_240_40_400:gt ['-20', '40', '-20', '0', '20']:pred [20.       20.305758 20.       23.560095 27.685017]
hybrid_-40_40_-40_20_40_240_60_450:gt ['-40', '40', '-40', '20', '40']:pred [23.738863 20.334148 40.       22.688148 19.437157]
suv_0_20_0_20_0_0_60_450:gt ['0', '20', '0', '20', '0']:pred [12.48312  22.326317 16.254032 20.       16.108383]
suv_0_0_0_20_40_240_40_400:gt ['0', '0', '0', '20', '40']:pred [ 0.       17.467651  0.       18.596584 25.029428]
sedan2door_-40_20_0_40_40_0_40_400:gt ['-40', '20', '0', '40', '40']:pred [23.122278 20.       17.08193  40.       23.953007]
sedan2door_-20_20_-20_40_0_240_80_450:gt ['-20', '20', '-20', '40', '0']:pred [23.054604 19.719156 20.       19.17897  20.517054]
sedan2door_-20_0_0_0_0_320_80_450:gt ['-20', '0', '0', '0', '0']:pred [16.67952  15.867153 16.714817  0.       18.20943 ]
hybrid_-40_20_-40_40_20_80_60_450:gt ['-40', '20', '-40', '40', '20']:pred [22.153654 19.274593 19.24937  40.       18.434814]
hybrid_-40_0_-20_40_20_0_20_450:gt ['-40', '0', '-20', '40', '20']:pred [21.667965  0.       20.       40.       20.      ]
hatchback_0_20_-40_40_0_320_40_400:gt ['0', '20', '-40', '40', '0']:pred [19.314896 20.       23.092085 40.       16.727644]
sedan2door_-40_0_-20_20_0_240_80_400:gt ['-40', '0', '-20', '20', '0']:pred [19.45871  18.760366 20.       18.768354 20.261143]
hatchback_-20_20_-20_40_0_240_20_400:gt ['-20', '20', '-20', '40', '0']:pred [20.       17.861643 20.       19.032894 16.94212 ]
hatchback_0_0_-40_20_20_80_20_400:gt ['0', '0', '-40', '20', '20']:pred [18.96339   0.       21.825275 20.       20.      ]
hybrid_-20_20_-40_40_20_0_40_400:gt ['-20', '20', '-40', '40', '20']:pred [14.836286 20.       17.967575 40.       21.480457]
sedan4door_0_40_-40_20_0_80_40_450:gt ['0', '40', '-40', '20', '0']:pred [18.915926 20.53384  21.499823 20.        0.      ]
sedan4door_-40_40_-20_0_0_240_60_400:gt ['-40', '40', '-20', '0', '0']:pred [18.559254 20.61065  22.924955 21.592646 20.740002]
sedan4door_0_0_0_40_0_240_60_450:gt ['0', '0', '0', '40', '0']:pred [17.257284 19.152836  0.       20.184418 19.265945]
hatchback_-20_20_-20_40_40_240_80_450:gt ['-20', '20', '-20', '40', '40']:pred [20.270884 20.623117 21.934473 18.684053 23.041727]
hybrid_-40_20_0_40_0_160_20_450:gt ['-40', '20', '0', '40', '0']:pred [40.       19.266806  0.       40.        0.      ]
suv_-40_40_-20_20_0_80_40_450:gt ['-40', '40', '-20', '20', '0']:pred [27.593878 26.732016 21.788689 20.        0.      ]
sedan4door_-40_20_-20_20_20_0_40_400:gt ['-40', '20', '-20', '20', '20']:pred [21.477524 20.       19.25654  20.       21.257725]
hatchback_0_20_-20_0_40_0_40_450:gt ['0', '20', '-20', '0', '40']:pred [19.171585 20.       20.719913  0.       22.735708]
sedan4door_0_40_-20_20_0_80_20_400:gt ['0', '40', '-20', '20', '0']:pred [18.604847 40.       21.346811 20.        0.      ]
hatchback_-40_20_-20_20_0_0_40_400:gt ['-40', '20', '-20', '20', '0']:pred [20.977848 20.       19.675892 20.       19.375929]
hatchback_-40_20_-20_40_40_80_20_450:gt ['-40', '20', '-20', '40', '40']:pred [24.047834 20.       21.741825 40.       40.      ]
hybrid_-20_40_-40_40_20_160_80_400:gt ['-20', '40', '-40', '40', '20']:pred [21.023125 19.974611 40.       25.284561 20.110497]
sedan2door_-40_0_0_0_0_320_20_400:gt ['-40', '0', '0', '0', '0']:pred [22.184948  0.       18.509201  0.       19.975573]
hybrid_0_20_0_20_40_240_80_400:gt ['0', '20', '0', '20', '40']:pred [16.047016 18.422335  0.       21.366095 22.564226]
hybrid_-40_0_-40_20_40_240_20_400:gt ['-40', '0', '-40', '20', '40']:pred [40.       19.374832 40.       20.       21.766321]
suv_-40_40_0_20_20_0_20_450:gt ['-40', '40', '0', '20', '20']:pred [25.52101  40.       21.177813 20.       20.      ]
sedan4door_0_20_-40_40_20_240_20_450:gt ['0', '20', '-40', '40', '20']:pred [ 0.       19.559397 40.       23.753757 19.470243]
sedan2door_-20_20_-40_20_0_0_80_400:gt ['-20', '20', '-40', '20', '0']:pred [21.27562  21.584583 40.       20.       20.440393]
hatchback_0_0_-20_40_0_160_20_450:gt ['0', '0', '-20', '40', '0']:pred [ 0.       18.619402 20.       19.332767  0.      ]
sedan2door_-40_40_0_40_20_240_60_450:gt ['-40', '40', '0', '40', '20']:pred [21.45122  20.842514  0.       22.131618 18.302483]
sedan4door_-40_40_-40_40_40_0_20_450:gt ['-40', '40', '-40', '40', '40']:pred [24.201523 40.       22.717052 40.       40.      ]
suv_-40_40_-40_20_20_80_60_450:gt ['-40', '40', '-40', '20', '20']:pred [21.418325 22.259779 20.406733 23.874763 21.975313]
sedan4door_-20_40_-40_20_40_320_20_450:gt ['-20', '40', '-40', '20', '40']:pred [18.846556 40.       24.440256 20.       20.947102]
sedan2door_-40_20_-20_20_40_0_60_450:gt ['-40', '20', '-20', '20', '40']:pred [24.875002 23.567009 18.2556   20.       19.604204]
hatchback_-40_0_-40_40_20_0_40_450:gt ['-40', '0', '-40', '40', '20']:pred [24.831835  0.       22.557762 40.       22.519657]
suv_-20_40_-40_40_40_240_40_450:gt ['-20', '40', '-40', '40', '40']:pred [20.       22.286139 40.       22.246212 22.95771 ]
sedan2door_-40_40_-40_40_20_80_20_450:gt ['-40', '40', '-40', '40', '20']:pred [22.082458 40.       40.       40.       20.      ]
sedan4door_0_40_-40_0_40_240_60_400:gt ['0', '40', '-40', '0', '40']:pred [19.298157 21.187912 23.839897 22.522997 21.983564]
hybrid_-20_20_0_0_40_240_40_400:gt ['-20', '20', '0', '0', '40']:pred [20.       18.370916  0.       19.33927  18.387148]
sedan2door_-20_20_-40_0_40_80_40_450:gt ['-20', '20', '-40', '0', '40']:pred [20.424242 18.582329 40.        0.       40.      ]
hatchback_0_0_0_0_0_0_80_450:gt ['0', '0', '0', '0', '0']:pred [14.633741 16.89224  21.235294 23.766342 16.468214]
sedan2door_0_20_-40_0_0_80_20_400:gt ['0', '20', '-40', '0', '0']:pred [16.760183 20.       40.        0.        0.      ]
sedan4door_-20_20_0_0_40_160_40_450:gt ['-20', '20', '0', '0', '40']:pred [20.       20.429369  0.       21.372494 18.328112]
hybrid_-40_40_0_20_20_80_80_400:gt ['-40', '40', '0', '20', '20']:pred [26.521854 24.412985 23.810005 25.221266 18.344072]
