7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.269759   4.1059837  1.1479808 16.215416  44.8137   ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [ 4.0234036 48.68096   20.297848   1.1987276 55.640533 ]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       18.182064 20.        3.80495  17.406128]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [ 6.84311   8.81851  40.       20.       19.867844]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [ 6.2018743   3.5742877   0.86593306  6.0034404  54.41485   ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [ 7.8511233 16.26084   40.         4.5480785 57.897663 ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       11.039775 40.       10.576267 26.565681]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [ 6.1115     9.7743025  3.0646307 10.428309  17.028452 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [ 6.613976  36.608757   2.0458446 20.        50.421204 ]
4ac021653126a29e98618a1ba17f086b_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [15.778088 19.474323 20.       40.       58.44294 ]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 3.4363694  6.6830864  3.7467146  9.752454  59.371956 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [12.050919 18.345592 20.       20.       23.99611 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [10.067957 28.211407  3.192612 26.168156 37.96481 ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [10.801748   2.461868   5.4739175  4.5662546 52.37975  ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 4.1314893 17.599487   3.3885863  6.745993  38.365    ]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [11.109037  12.400256   4.3152823 40.         9.888491 ]
4ac021653126a29e98618a1ba17f086b_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [ 8.837914   3.778608   0.7048099  1.256646  53.312927 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       22.540842 20.       23.960152 59.14593 ]
9c827e532de4967285089a13cc567dbd_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [11.714498  38.805855   6.2680902 14.411283  48.09383  ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [ 2.3505042 11.273678  40.        20.        12.60437  ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [ 5.149691   5.074815   2.9405048 40.        36.70379  ]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [ 2.419255   9.915769   0.4255551  3.2654488 25.135597 ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [ 2.1404474  3.299872   4.7722087 19.706322  23.600767 ]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [ 2.8084855   0.05352487 20.         40.          5.554476  ]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [ 2.80738    6.9187956 20.        20.        17.593246 ]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.         5.8981814 40.        20.         5.751067 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.        33.61922    5.5496206 16.732307  56.399147 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [ 4.1185637 50.798103  37.762947   0.5491189 34.905434 ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [16.90668    3.7996652 20.        20.        16.283585 ]
