sedan2door_-30_23_-4_48_15_20_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.666483 23.        4.       48.        8.111878]
sedan2door_-50_45_-4_10_46_230_30_420:gt ['-50', '45', '-4', '10', '46']:pred [50.       52.44047   4.       10.       46.842537]
hatchback_-30_45_-36_35_46_20_70_420:gt ['-30', '45', '-36', '35', '46']:pred [23.35285  49.39912  25.22858  53.89424  43.837215]
hybrid_-30_23_-36_48_46_140_30_420:gt ['-30', '23', '-36', '48', '46']:pred [30.       19.687101 36.       48.       11.340175]
suv_-50_45_-36_48_28_140_70_420:gt ['-50', '45', '-36', '48', '28']:pred [36.304573 50.776844 36.       43.553383 39.781754]
hybrid_-17_45_-4_48_15_140_30_420:gt ['-17', '45', '-4', '48', '15']:pred [17.      36.51527  4.      48.      15.     ]
sedan4door_-50_45_-36_35_46_50_30_420:gt ['-50', '45', '-36', '35', '46']:pred [32.831665 45.       36.826942 35.       46.      ]
suv_-50_15_-4_48_28_230_30_420:gt ['-50', '15', '-4', '48', '28']:pred [50.       13.827263  4.       38.262836 23.795069]
sedan2door_-30_15_-22_10_46_230_30_420:gt ['-30', '15', '-22', '10', '46']:pred [30.       10.732721 22.       10.       44.216473]
sedan2door_-50_15_-36_10_46_140_30_420:gt ['-50', '15', '-36', '10', '46']:pred [50.        9.906195 36.       10.       15.704082]
hatchback_-50_45_-4_35_15_50_70_420:gt ['-50', '45', '-4', '35', '15']:pred [32.95     35.011322 23.781889 39.943596 10.925739]
hybrid_-50_15_-36_48_46_50_70_420:gt ['-50', '15', '-36', '48', '46']:pred [19.58534  21.592182 36.       48.       30.094156]
suv_-50_23_-4_10_46_140_30_420:gt ['-50', '23', '-4', '10', '46']:pred [50.       18.70787   4.       14.761997 20.66429 ]
hatchback_-17_23_-36_10_46_20_30_420:gt ['-17', '23', '-36', '10', '46']:pred [29.507795 23.       33.095238 10.       20.810303]
suv_-50_23_-36_10_15_230_70_420:gt ['-50', '23', '-36', '10', '15']:pred [41.940117 27.296902 36.26756  18.499104 22.724716]
suv_-17_15_-4_48_46_50_70_420:gt ['-17', '15', '-4', '48', '46']:pred [46.789814 11.009966 12.594877 33.3175   25.280521]
suv_-30_45_-22_35_15_230_30_420:gt ['-30', '45', '-22', '35', '15']:pred [30.       46.127106 22.       33.738266 13.211768]
sedan2door_-50_45_-36_48_46_230_30_420:gt ['-50', '45', '-36', '48', '46']:pred [50.       52.31286  36.       48.       46.001446]
sedan2door_-30_23_-22_10_28_230_70_420:gt ['-30', '23', '-22', '10', '28']:pred [37.542282 18.175209 22.       10.       32.96399 ]
hatchback_-17_15_-22_10_15_140_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.       13.75449  22.       11.994285 14.350712]
hybrid_-50_23_-22_48_15_230_70_420:gt ['-50', '23', '-22', '48', '15']:pred [32.64258  12.334021 22.       48.        8.947225]
sedan2door_-17_15_-36_48_46_140_30_420:gt ['-17', '15', '-36', '48', '46']:pred [17.       10.335064 36.       48.       11.053824]
sedan4door_-17_23_-22_10_28_50_70_420:gt ['-17', '23', '-22', '10', '28']:pred [35.16144   12.624844  22.228321  22.677423   5.4154162]
sedan2door_-30_23_-22_48_15_50_70_420:gt ['-30', '23', '-22', '48', '15']:pred [42.040108 20.984035 22.       48.        9.318658]
suv_-50_23_-22_35_15_20_70_420:gt ['-50', '23', '-22', '35', '15']:pred [47.332428 31.87204  15.116624 35.       10.88195 ]
sedan2door_-50_15_-22_48_15_140_30_420:gt ['-50', '15', '-22', '48', '15']:pred [50.       11.264663 22.       48.       10.808171]
sedan2door_-30_45_-4_10_46_50_30_420:gt ['-30', '45', '-4', '10', '46']:pred [47.131153 45.        4.       10.       46.      ]
sedan2door_-50_15_-22_35_46_20_30_420:gt ['-50', '15', '-22', '35', '46']:pred [43.233017 15.       22.       35.       12.981169]
hatchback_-50_15_-36_10_15_50_70_420:gt ['-50', '15', '-36', '10', '15']:pred [32.58726  25.617064 28.974005 26.948475 14.100308]
hatchback_-30_45_-22_10_15_50_30_420:gt ['-30', '45', '-22', '10', '15']:pred [41.692425 45.       30.363651 10.       15.      ]
hybrid_-17_45_-4_10_15_50_30_420:gt ['-17', '45', '-4', '10', '15']:pred [33.40137 45.       4.      10.      15.     ]
sedan2door_-17_23_-36_35_28_20_70_420:gt ['-17', '23', '-36', '35', '28']:pred [17.954153 28.189737 36.       35.       32.15285 ]
suv_-50_23_-36_48_28_230_30_420:gt ['-50', '23', '-36', '48', '28']:pred [50.       12.898523 36.       40.578926 22.541388]
hatchback_-17_45_-22_10_28_50_30_420:gt ['-17', '45', '-22', '10', '28']:pred [46.377724 45.       33.74742  10.       28.      ]
hatchback_-30_23_-36_48_46_230_30_420:gt ['-30', '23', '-36', '48', '46']:pred [30.        9.126856 36.       39.0359   45.343655]
sedan2door_-17_15_-4_35_15_140_70_420:gt ['-17', '15', '-4', '35', '15']:pred [30.574825   4.4075003  4.        35.        45.641033 ]
hybrid_-17_45_-36_10_46_20_70_420:gt ['-17', '45', '-36', '10', '46']:pred [18.955645 24.409548 36.       10.       35.74539 ]
suv_-17_23_-4_10_15_230_70_420:gt ['-17', '23', '-4', '10', '15']:pred [20.397636 23.59408  16.512793 18.71494  22.781828]
sedan4door_-50_15_-4_48_46_20_70_420:gt ['-50', '15', '-4', '48', '46']:pred [37.72831  29.737593  7.838177 41.332657 33.7069  ]
hatchback_-30_23_-36_35_28_20_30_420:gt ['-30', '23', '-36', '35', '28']:pred [37.996376 23.       30.59193  35.       19.494055]
suv_-30_45_-36_35_15_20_70_420:gt ['-30', '45', '-36', '35', '15']:pred [40.75349  46.420406 23.505404 35.        8.852601]
sedan4door_-17_15_-22_48_15_140_30_420:gt ['-17', '15', '-22', '48', '15']:pred [17.       11.574763 22.       30.47791  12.635106]
sedan2door_-50_15_-36_48_46_20_30_420:gt ['-50', '15', '-36', '48', '46']:pred [43.046368 15.       36.       48.       12.763771]
suv_-50_45_-22_35_46_140_70_420:gt ['-50', '45', '-22', '35', '46']:pred [24.468573 46.20795  22.       42.943233 52.87593 ]
sedan4door_-17_45_-4_35_46_20_30_420:gt ['-17', '45', '-4', '35', '46']:pred [23.761858  45.         4.0283427 35.        20.42345  ]
hatchback_-17_15_-36_35_46_50_30_420:gt ['-17', '15', '-36', '35', '46']:pred [46.995586 15.       39.423126 35.       46.      ]
sedan2door_-30_45_-36_10_28_50_70_420:gt ['-30', '45', '-36', '10', '28']:pred [41.81855  26.146887 36.       10.       14.127188]
sedan2door_-50_15_-4_10_46_50_30_420:gt ['-50', '15', '-4', '10', '46']:pred [38.57464 15.       4.      10.      46.     ]
hatchback_-30_15_-36_35_46_230_30_420:gt ['-30', '15', '-36', '35', '46']:pred [30.        5.834871 36.       24.8915   44.400257]
hybrid_-30_45_-36_48_15_140_70_420:gt ['-30', '45', '-36', '48', '15']:pred [38.791515 27.555353 36.       48.       20.829227]
hatchback_-50_45_-36_35_28_140_30_420:gt ['-50', '45', '-36', '35', '28']:pred [50.       39.70509  36.       22.992352 16.351166]
