Sedan4Door_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [16.840204   2.1327503 23.62803    7.3245435 11.5215435]
Suv_0_0_-20_20_0_320_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 2.2806227  7.324173  18.456623  25.969204   5.2253866]
Suv_-20_0_0_20_0_0_60_450:gt ['-20', '0', '0', '20', '0']:pred [23.406761   6.825061   4.1007304 20.         3.6504314]
Sedan2Door_0_0_0_20_0_160_60_450:gt ['0', '0', '0', '20', '0']:pred [ 7.4357424  2.5300064  0.        20.         4.6850133]
Suv_-20_0_0_20_20_320_60_450:gt ['-20', '0', '0', '20', '20']:pred [23.251389   5.6544757  4.990368  20.        16.842106 ]
Hatchback_-20_0_0_0_20_160_60_450:gt ['-20', '0', '0', '0', '20']:pred [20.521347   2.943762   0.         7.5290813 22.894354 ]
Suv_-20_0_-20_20_20_80_60_400:gt ['-20', '0', '-20', '20', '20']:pred [17.46195    3.0620496 19.55036   21.2851    12.885088 ]
Hybrid_0_20_0_0_0_320_20_400:gt ['0', '20', '0', '0', '0']:pred [ 4.085305  20.         0.         0.         3.1416473]
Hybrid_0_20_-20_20_20_80_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 4.8948264 20.        20.        20.        20.       ]
Hybrid_0_0_-20_20_0_320_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 4.0763783  5.6926703 20.        20.         3.7618442]
Sedan2Door_-20_20_-20_0_0_80_20_450:gt ['-20', '20', '-20', '0', '0']:pred [20.97256 20.      20.       0.       0.     ]
Hatchback_-20_0_-20_0_0_160_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.         4.1276994 20.         9.700174   0.       ]
Sedan2Door_0_0_0_0_20_160_60_450:gt ['0', '0', '0', '0', '20']:pred [ 7.305128   2.9121995  0.         0.        23.467148 ]
Suv_-20_0_0_20_20_80_20_400:gt ['-20', '0', '0', '20', '20']:pred [19.220144  0.        0.       20.       20.      ]
Sedan4Door_-20_20_0_20_0_320_60_450:gt ['-20', '20', '0', '20', '0']:pred [20.622074  15.690557   5.1712885 36.741577   4.9624887]
Sedan2Door_0_0_-20_0_20_80_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 3.8379  0.     20.      0.     20.    ]
Hatchback_-20_0_0_20_0_0_60_400:gt ['-20', '0', '0', '20', '0']:pred [24.794806  4.85174   4.84219  20.        3.483427]
Hatchback_-20_20_0_0_20_80_60_450:gt ['-20', '20', '0', '0', '20']:pred [20.69654   16.966433   6.8199244 15.264616  16.398167 ]
Sedan4Door_-20_0_0_0_0_160_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.         2.7785804  0.         6.106913   0.       ]
Hatchback_-20_20_-20_20_20_160_60_450:gt ['-20', '20', '-20', '20', '20']:pred [15.359269  15.169671  20.        24.733078  14.6876545]
Suv_-20_20_-20_20_20_0_60_400:gt ['-20', '20', '-20', '20', '20']:pred [17.013752 16.810486 19.159851 20.       19.341455]
Hatchback_-20_0_0_0_20_240_60_400:gt ['-20', '0', '0', '0', '20']:pred [17.229301   2.9505606  0.         5.8939795 14.8298025]
Sedan4Door_0_20_-20_0_20_160_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.       14.742902 20.        6.181036 20.      ]
Sedan2Door_0_0_0_20_0_320_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.1879427  4.424785   0.        20.         2.3769758]
Hatchback_-20_0_0_20_20_0_20_450:gt ['-20', '0', '0', '20', '20']:pred [21.275063  0.        5.237408 20.       20.      ]
Sedan4Door_-20_0_-20_20_20_240_60_450:gt ['-20', '0', '-20', '20', '20']:pred [19.038717   5.2169952 28.720387  21.028067  18.307852 ]
Suv_0_0_-20_20_0_0_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 4.528516  0.       16.881598 20.        3.463456]
Suv_0_20_0_20_20_0_20_400:gt ['0', '20', '0', '20', '20']:pred [ 2.4749815 20.         5.8896127 20.        20.       ]
Hybrid_-20_0_-20_0_20_320_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.134975  0.       20.        0.       13.828143]
Sedan4Door_-20_20_0_20_0_80_60_450:gt ['-20', '20', '0', '20', '0']:pred [18.881212 15.09161   7.639482 16.447443 12.777073]
Sedan2Door_0_20_0_0_20_160_60_400:gt ['0', '20', '0', '0', '20']:pred [ 5.449765 15.706998  0.        0.       16.19273 ]
Sedan2Door_-20_20_0_20_0_0_60_450:gt ['-20', '20', '0', '20', '0']:pred [19.608774  12.198056   0.        20.         6.1038375]
Suv_0_0_0_0_20_80_60_400:gt ['0', '0', '0', '0', '20']:pred [ 1.888444   2.6032343  3.810175   0.        16.862097 ]
Sedan4Door_-20_20_0_0_0_0_20_400:gt ['-20', '20', '0', '0', '0']:pred [15.905469 20.        8.41592   0.        0.      ]
Sedan2Door_-20_20_0_0_0_160_60_400:gt ['-20', '20', '0', '0', '0']:pred [18.63754   14.374497   0.         0.         3.9408262]
Sedan2Door_0_20_-20_0_0_160_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 7.352167  13.995908  20.         0.         6.9271555]
Hatchback_-20_0_0_20_20_240_60_450:gt ['-20', '0', '0', '20', '20']:pred [14.899903   5.5083356 20.431448  22.418476  19.100357 ]
Hatchback_0_0_0_20_0_0_20_450:gt ['0', '0', '0', '20', '0']:pred [ 3.9127162  0.         5.490242  20.         0.       ]
Hybrid_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 3.558183 15.049356 20.        0.        8.062291]
Sedan4Door_0_20_0_20_0_240_60_450:gt ['0', '20', '0', '20', '0']:pred [ 5.4909725 12.412944   0.        16.83359    7.780267 ]
Suv_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 2.947677  14.547701  16.518528  19.055935   7.9303875]
Sedan4Door_-20_0_0_20_0_80_20_450:gt ['-20', '0', '0', '20', '0']:pred [20.488249  0.        8.551893 20.        0.      ]
Suv_0_20_0_0_0_80_20_450:gt ['0', '20', '0', '0', '0']:pred [ 3.8337636 20.         0.         0.         0.       ]
Suv_-20_0_0_0_20_240_60_450:gt ['-20', '0', '0', '0', '20']:pred [20.251482   2.4630842  0.         3.470939  19.096746 ]
Hybrid_-20_0_0_0_20_0_20_450:gt ['-20', '0', '0', '0', '20']:pred [19.815403  0.        0.        0.       20.      ]
Sedan2Door_0_20_0_0_20_320_20_450:gt ['0', '20', '0', '0', '20']:pred [ 3.667862 20.        0.        0.       18.1902  ]
Sedan2Door_-20_0_-20_0_20_0_60_400:gt ['-20', '0', '-20', '0', '20']:pred [18.675392  5.086318 20.        0.       23.81758 ]
Hybrid_0_0_-20_20_20_0_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 4.6209936  9.073682  20.        20.        15.4528   ]
Sedan4Door_0_20_-20_20_0_0_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 2.7982614 20.        16.586668  20.         0.       ]
Sedan4Door_-20_20_0_20_20_0_60_450:gt ['-20', '20', '0', '20', '20']:pred [20.621607  14.530754   4.7910204 20.        17.379995 ]
Hybrid_-20_0_0_0_0_320_20_400:gt ['-20', '0', '0', '0', '0']:pred [19.168795  0.        0.        0.        3.415778]
Sedan2Door_0_0_0_0_0_0_20_450:gt ['0', '0', '0', '0', '0']:pred [3.609071 0.       0.       0.       0.      ]
Sedan2Door_-20_20_0_0_20_0_20_400:gt ['-20', '20', '0', '0', '20']:pred [21.896286 20.        0.        0.       20.      ]
Sedan4Door_-20_20_-20_0_0_80_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.189766 20.       23.833162  0.        0.      ]
Suv_0_20_0_20_20_320_60_450:gt ['0', '20', '0', '20', '20']:pred [ 3.4169564  6.95082    4.511155  20.        22.646189 ]
Suv_0_20_0_20_0_160_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.       14.705871  0.       20.02179   0.      ]
Suv_0_0_-20_0_0_80_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 4.238239  0.       19.601606  0.        0.      ]
Sedan2Door_0_0_0_20_20_80_20_400:gt ['0', '0', '0', '20', '20']:pred [ 3.515745  0.        0.       20.       20.      ]
Suv_-20_20_-20_20_0_240_20_400:gt ['-20', '20', '-20', '20', '0']:pred [20.       13.253281 20.       23.400574  3.64733 ]
Suv_-20_0_-20_20_20_240_60_450:gt ['-20', '0', '-20', '20', '20']:pred [19.676762   4.4157825 31.280186  18.769173  24.933455 ]
Suv_0_0_0_20_0_320_60_450:gt ['0', '0', '0', '20', '0']:pred [ 2.6268685  8.893748   5.5046883 20.         4.6625037]
Hatchback_-20_20_0_20_20_240_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.       15.431977  0.       23.150215 16.325325]
Hybrid_0_0_0_0_20_0_60_400:gt ['0', '0', '0', '0', '20']:pred [ 4.3463206  6.482788   0.         0.        14.600398 ]
Sedan4Door_0_0_-20_20_20_320_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.4031024  5.184233  23.053333  32.487022  21.33672  ]
Sedan4Door_0_20_0_0_20_240_20_400:gt ['0', '20', '0', '0', '20']:pred [ 0.       17.600245  0.        8.764891 16.99556 ]
Sedan2Door_-20_20_-20_0_20_80_20_450:gt ['-20', '20', '-20', '0', '20']:pred [20.464703 20.       20.        0.       20.      ]
Hatchback_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [19.115843   3.6577387 19.522348   9.568569  12.893903 ]
Sedan4Door_0_0_-20_20_20_0_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 3.4314857  4.6441736 19.785105  20.        16.595512 ]
Hatchback_0_0_0_0_20_0_60_450:gt ['0', '0', '0', '0', '20']:pred [ 3.1739008  6.3522325  7.6876097  0.        17.107592 ]
Hybrid_0_0_0_20_20_320_20_400:gt ['0', '0', '0', '20', '20']:pred [ 4.3852234  0.         0.        20.        14.728715 ]
Sedan4Door_0_0_0_20_20_160_60_400:gt ['0', '0', '0', '20', '20']:pred [ 5.2066627  4.958441   0.        15.912844  14.157422 ]
Suv_0_20_0_20_20_320_60_400:gt ['0', '20', '0', '20', '20']:pred [ 2.3078678  6.4963026  3.9267478 20.        14.595338 ]
Hybrid_0_20_0_20_20_80_20_400:gt ['0', '20', '0', '20', '20']:pred [ 3.9652398 20.         0.        20.        20.       ]
Hybrid_0_0_-20_0_20_80_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 4.7128096  0.        20.         0.        20.       ]
Sedan2Door_0_20_0_20_0_80_60_400:gt ['0', '20', '0', '20', '0']:pred [ 2.7471962 16.867449   0.        20.        14.7339735]
Suv_-20_20_-20_0_0_0_60_450:gt ['-20', '20', '-20', '0', '0']:pred [20.217588  15.846689  14.721405   0.         4.7510967]
Sedan4Door_0_20_0_0_0_320_60_400:gt ['0', '20', '0', '0', '0']:pred [2.513167  4.9681754 4.927387  0.        4.0863857]
Suv_0_0_0_20_20_80_20_400:gt ['0', '0', '0', '20', '20']:pred [ 3.9149022  0.         0.        20.        20.       ]
Hatchback_-20_0_0_20_0_0_20_450:gt ['-20', '0', '0', '20', '0']:pred [23.00285    0.         4.0450387 20.         0.       ]
Hybrid_0_20_0_20_0_240_60_450:gt ['0', '20', '0', '20', '0']:pred [ 6.768332  18.357597   0.        20.         4.2255673]
Suv_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 2.87453  20.       16.789276  0.       15.746674]
