hatchback_-30_23_-4_35_15_140_70_420:gt ['-30', '23', '-4', '35', '15']:pred [15.760828  14.163528   4.        22.537062   5.9635487]
hatchback_-50_45_-22_48_46_20_30_420:gt ['-50', '45', '-22', '48', '46']:pred [33.1769   45.       28.673656 48.       43.535587]
sedan2door_-50_45_-4_35_15_140_70_420:gt ['-50', '45', '-4', '35', '15']:pred [37.081936 38.59437   4.       35.       13.652909]
hatchback_-30_23_-22_10_46_230_70_420:gt ['-30', '23', '-22', '10', '46']:pred [23.719341 33.886147 38.201424 25.391272 33.119366]
hatchback_-17_45_-4_48_28_230_30_420:gt ['-17', '45', '-4', '48', '28']:pred [17.       37.356514  4.       38.57614  41.040886]
hybrid_-17_45_-36_10_28_20_70_420:gt ['-17', '45', '-36', '10', '28']:pred [ 7.6560698 31.170996  36.        10.        18.916168 ]
sedan2door_-50_23_-22_35_28_140_30_420:gt ['-50', '23', '-22', '35', '28']:pred [50.       25.196619 22.       35.       28.      ]
sedan2door_-17_45_-4_48_15_140_70_420:gt ['-17', '45', '-4', '48', '15']:pred [19.0766   31.725838  4.       48.       15.263157]
sedan2door_-17_23_-4_10_28_20_70_420:gt ['-17', '23', '-4', '10', '28']:pred [ 7.276072 17.20914   4.       10.       16.42592 ]
sedan4door_-30_45_-36_10_46_140_30_420:gt ['-30', '45', '-36', '10', '46']:pred [30.       30.991123 36.        2.617907 46.      ]
sedan2door_-50_45_-22_35_15_20_30_420:gt ['-50', '45', '-22', '35', '15']:pred [35.378162 45.       22.       35.       21.698212]
hatchback_-50_15_-22_48_15_50_30_420:gt ['-50', '15', '-22', '48', '15']:pred [43.997902 15.       42.015755 48.       15.      ]
hatchback_-17_15_-36_10_46_230_30_420:gt ['-17', '15', '-36', '10', '46']:pred [17.         6.8674874 36.         7.0827293 50.743053 ]
sedan2door_-17_15_-36_35_28_20_70_420:gt ['-17', '15', '-36', '35', '28']:pred [ 7.7549133 11.792245  36.        35.        15.664283 ]
hatchback_-17_23_-36_35_15_20_30_420:gt ['-17', '23', '-36', '35', '15']:pred [17.245354 23.       36.403126 35.        9.436196]
hatchback_-30_23_-22_48_46_50_70_420:gt ['-30', '23', '-22', '48', '46']:pred [18.91315  31.887058 30.282597 48.       37.6671  ]
