suv_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        10.4353075  4.         8.330314  15.       ]
hybrid_-17_15_-36_35_46_230_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.         5.7140026 36.        35.        40.12426  ]
hatchback_-17_15_-36_48_46_50_70_420:gt ['-17', '15', '-36', '48', '46']:pred [26.23661  14.977471 22.192041 48.       20.824028]
sedan2door_-17_15_-36_35_28_50_30_420:gt ['-17', '15', '-36', '35', '28']:pred [26.202106 15.       36.       35.       28.      ]
sedan2door_-30_15_-4_35_28_230_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.       11.29161   4.       35.       34.833195]
hybrid_-17_15_-22_10_15_50_30_420:gt ['-17', '15', '-22', '10', '15']:pred [29.488443 15.       22.       10.       15.      ]
sedan4door_-30_15_-22_35_28_50_70_420:gt ['-30', '15', '-22', '35', '28']:pred [30.662853  24.943745  29.467445  35.         3.1336977]
hybrid_-17_15_-22_10_28_230_30_420:gt ['-17', '15', '-22', '10', '28']:pred [17.        9.801241 22.       10.       30.84085 ]
hatchback_-30_45_-22_35_15_140_70_420:gt ['-30', '45', '-22', '35', '15']:pred [28.69159  31.872686 22.       31.376099 18.977251]
hybrid_-50_45_-36_10_46_50_30_420:gt ['-50', '45', '-36', '10', '46']:pred [19.72676 45.      36.      10.      46.     ]
sedan4door_-17_15_-22_10_28_140_30_420:gt ['-17', '15', '-22', '10', '28']:pred [17.       10.745191 22.        9.222099 28.      ]
hatchback_-30_23_-36_48_15_230_30_420:gt ['-30', '23', '-36', '48', '15']:pred [30.       15.471174 36.       27.170292 18.130527]
suv_-30_23_-22_35_28_20_30_420:gt ['-30', '23', '-22', '35', '28']:pred [35.52817  23.       32.140076 35.       21.554703]
suv_-17_45_-4_35_28_230_30_420:gt ['-17', '45', '-4', '35', '28']:pred [17.       31.518463  4.       32.104176 26.003464]
hatchback_-17_45_-36_35_15_50_70_420:gt ['-17', '45', '-36', '35', '15']:pred [29.881275 25.291933 20.56416  35.       24.212585]
sedan4door_-17_15_-36_10_46_230_70_420:gt ['-17', '15', '-36', '10', '46']:pred [28.68588  21.449469 36.745876 12.384561 37.24997 ]
sedan4door_-17_15_-22_10_15_140_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.       13.448561 22.        6.914869 15.      ]
hatchback_-50_15_-36_48_46_50_30_420:gt ['-50', '15', '-36', '48', '46']:pred [27.274096 15.       28.79003  48.       46.      ]
hatchback_-50_15_-4_48_28_50_70_420:gt ['-50', '15', '-4', '48', '28']:pred [35.296814 24.84995  34.22072  48.       15.997837]
sedan4door_-50_15_-22_35_46_230_70_420:gt ['-50', '15', '-22', '35', '46']:pred [41.90274  16.956484 26.130857 30.442064 38.03733 ]
hybrid_-50_23_-4_35_15_140_30_420:gt ['-50', '23', '-4', '35', '15']:pred [50.       22.047426  4.       35.       15.      ]
hybrid_-50_15_-22_48_46_230_30_420:gt ['-50', '15', '-22', '48', '46']:pred [50.        5.458582 22.       48.       39.57661 ]
hatchback_-30_45_-22_10_15_50_30_420:gt ['-30', '45', '-22', '10', '15']:pred [21.489136 45.       17.802425 10.       15.      ]
sedan2door_-30_15_-36_35_46_140_30_420:gt ['-30', '15', '-36', '35', '46']:pred [30.       11.389606 36.       35.       46.      ]
sedan2door_-17_15_-36_35_28_50_70_420:gt ['-17', '15', '-36', '35', '28']:pred [30.307327 14.710943 36.       35.       26.312347]
hatchback_-30_15_-36_35_46_20_70_420:gt ['-30', '15', '-36', '35', '46']:pred [24.015926  15.7565775 35.547295  35.        35.84932  ]
sedan4door_-50_23_-22_35_15_50_30_420:gt ['-50', '23', '-22', '35', '15']:pred [24.978271 23.       39.878624 35.       15.      ]
hatchback_-30_45_-4_35_15_230_70_420:gt ['-30', '45', '-4', '35', '15']:pred [34.04093   32.900932   7.7218394 31.111622  11.572897 ]
sedan2door_-30_45_-4_35_28_50_30_420:gt ['-30', '45', '-4', '35', '28']:pred [24.085434 45.        4.       35.       28.      ]
sedan2door_-17_45_-36_35_15_140_30_420:gt ['-17', '45', '-36', '35', '15']:pred [17.       31.586952 36.       35.       15.      ]
hatchback_-50_15_-4_35_46_140_30_420:gt ['-50', '15', '-4', '35', '46']:pred [50.       17.778635  4.       17.07936  46.      ]
hybrid_-17_23_-4_48_15_50_30_420:gt ['-17', '23', '-4', '48', '15']:pred [24.156815 23.        4.       48.       15.      ]
hybrid_-17_45_-22_35_15_20_70_420:gt ['-17', '45', '-22', '35', '15']:pred [26.431816 22.93936  22.       35.       20.086939]
suv_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [30.634972 23.198578 34.52308  10.       16.77822 ]
hybrid_-30_15_-4_35_28_140_70_420:gt ['-30', '15', '-4', '35', '28']:pred [24.595207 20.687199  4.       35.       25.14706 ]
hybrid_-50_15_-36_35_28_50_30_420:gt ['-50', '15', '-36', '35', '28']:pred [29.063383 15.       36.       35.       28.      ]
sedan4door_-30_15_-4_35_46_230_70_420:gt ['-30', '15', '-4', '35', '46']:pred [38.68576  12.68441  10.983157 30.61753  40.8336  ]
sedan4door_-30_15_-4_48_15_50_70_420:gt ['-30', '15', '-4', '48', '15']:pred [33.54354   21.44568   27.278316  48.         2.4804506]
hatchback_-50_23_-4_10_46_50_30_420:gt ['-50', '23', '-4', '10', '46']:pred [23.331306 23.       24.371986 10.       46.      ]
suv_-50_45_-36_10_15_140_70_420:gt ['-50', '45', '-36', '10', '15']:pred [37.273983 29.875137 36.       19.737875 24.603918]
hatchback_-50_15_-22_10_28_140_70_420:gt ['-50', '15', '-22', '10', '28']:pred [23.629509 18.582186 22.       16.683695 25.459969]
suv_-30_45_-4_10_46_230_30_420:gt ['-30', '45', '-4', '10', '46']:pred [30.       22.721203  4.       24.285969 30.777887]
sedan2door_-50_23_-36_10_15_20_70_420:gt ['-50', '23', '-36', '10', '15']:pred [34.83976  24.56588  36.       10.       21.167381]
hatchback_-17_23_-36_48_46_230_30_420:gt ['-17', '23', '-36', '48', '46']:pred [17.        9.499093 36.       31.999783 34.93303 ]
suv_-17_15_-36_48_15_230_30_420:gt ['-17', '15', '-36', '48', '15']:pred [17.       12.949505 36.       31.633636 20.585833]
suv_-17_23_-36_10_15_140_30_420:gt ['-17', '23', '-36', '10', '15']:pred [17.       11.701934 36.        9.259201 15.      ]
sedan4door_-17_15_-36_48_46_20_70_420:gt ['-17', '15', '-36', '48', '46']:pred [23.318151 16.75593  31.606672 48.       36.49807 ]
suv_-17_15_-36_48_15_140_30_420:gt ['-17', '15', '-36', '48', '15']:pred [17.       13.476155 36.       29.724926 15.      ]
suv_-17_45_-22_35_28_140_70_420:gt ['-17', '45', '-22', '35', '28']:pred [29.225124 28.798903 22.       30.157528 28.941597]
hybrid_-17_45_-4_48_46_20_30_420:gt ['-17', '45', '-4', '48', '46']:pred [22.454159 45.        4.       48.       30.20776 ]
sedan4door_-17_15_-36_48_46_140_30_420:gt ['-17', '15', '-36', '48', '46']:pred [17.       16.182314 36.       27.326057 46.      ]
hatchback_-17_23_-4_10_15_50_70_420:gt ['-17', '23', '-4', '10', '15']:pred [24.518803 19.89128  15.182125 10.       19.374004]
suv_-50_45_-36_48_46_140_70_420:gt ['-50', '45', '-36', '48', '46']:pred [34.309174 28.197138 36.       40.135315 39.905434]
sedan4door_-50_45_-36_35_46_140_30_420:gt ['-50', '45', '-36', '35', '46']:pred [50.       34.850166 36.       40.191776 46.      ]
sedan2door_-17_23_-36_48_15_50_70_420:gt ['-17', '23', '-36', '48', '15']:pred [31.783827 19.007763 36.       48.       22.02873 ]
suv_-17_23_-36_35_28_50_70_420:gt ['-17', '23', '-36', '35', '28']:pred [23.745005 23.9105   22.822336 35.       20.76257 ]
suv_-50_15_-4_48_15_140_70_420:gt ['-50', '15', '-4', '48', '15']:pred [39.242996 15.676004  4.       31.451164 19.03755 ]
sedan4door_-30_23_-36_10_15_20_70_420:gt ['-30', '23', '-36', '10', '15']:pred [27.47657  21.49784  33.922832 10.       12.457146]
suv_-17_45_-36_48_28_230_30_420:gt ['-17', '45', '-36', '48', '28']:pred [17.       30.506426 36.       37.979824 29.123451]
suv_-50_45_-4_48_46_140_30_420:gt ['-50', '45', '-4', '48', '46']:pred [50.       39.174305  4.       30.428425 46.      ]
suv_-30_45_-22_48_15_230_70_420:gt ['-30', '45', '-22', '48', '15']:pred [41.795715 35.879772 28.121464 39.981045 12.976476]
sedan2door_-50_45_-36_35_28_230_30_420:gt ['-50', '45', '-36', '35', '28']:pred [50.       47.398132 36.       35.       26.552872]
suv_-50_45_-4_35_46_20_30_420:gt ['-50', '45', '-4', '35', '46']:pred [32.23372  45.       19.433958 35.       27.489698]
hatchback_-17_45_-36_35_15_140_70_420:gt ['-17', '45', '-36', '35', '15']:pred [24.035568 29.032957 36.       27.459757 16.264715]
hybrid_-50_15_-22_35_28_140_70_420:gt ['-50', '15', '-22', '35', '28']:pred [28.673073 20.663218 22.       35.       26.776043]
hybrid_-17_23_-22_10_15_20_30_420:gt ['-17', '23', '-22', '10', '15']:pred [15.737179 23.       22.       10.       20.750175]
hatchback_-50_23_-36_35_15_20_30_420:gt ['-50', '23', '-36', '35', '15']:pred [32.92153   23.        39.23553   35.         2.9133499]
sedan4door_-17_15_-22_10_28_50_30_420:gt ['-17', '15', '-22', '10', '28']:pred [21.893633 15.       24.449512 10.       28.      ]
hybrid_-30_15_-22_35_15_140_70_420:gt ['-30', '15', '-22', '35', '15']:pred [24.365364 24.14877  22.       35.       23.674225]
suv_-17_23_-36_48_15_50_30_420:gt ['-17', '23', '-36', '48', '15']:pred [27.317165 23.       32.68909  48.       15.      ]
suv_-30_23_-36_48_46_20_70_420:gt ['-30', '23', '-36', '48', '46']:pred [30.41452  26.986565 37.065258 48.       41.87879 ]
hybrid_-50_23_-36_10_46_20_70_420:gt ['-50', '23', '-36', '10', '46']:pred [31.80719  21.128244 36.       10.       34.044884]
hybrid_-50_23_-22_35_15_50_70_420:gt ['-50', '23', '-22', '35', '15']:pred [33.57687  26.184023 22.       35.       19.191212]
suv_-30_45_-36_35_15_140_30_420:gt ['-30', '45', '-36', '35', '15']:pred [30.       34.588997 36.       29.08906  15.      ]
hybrid_-17_45_-22_35_15_50_30_420:gt ['-17', '45', '-22', '35', '15']:pred [27.475323 45.       22.       35.       15.      ]
sedan2door_-30_45_-36_35_28_50_30_420:gt ['-30', '45', '-36', '35', '28']:pred [24.544998 45.       36.       35.       28.      ]
sedan2door_-17_23_-36_10_46_230_30_420:gt ['-17', '23', '-36', '10', '46']:pred [17.       25.274292 36.       10.       31.858038]
suv_-50_45_-4_48_15_230_30_420:gt ['-50', '45', '-4', '48', '15']:pred [50.       32.166283  4.       30.625362 19.372896]
hatchback_-50_15_-36_10_28_230_30_420:gt ['-50', '15', '-36', '10', '28']:pred [50.        7.876621 36.       13.286728 24.491083]
hybrid_-30_23_-22_48_15_20_30_420:gt ['-30', '23', '-22', '48', '15']:pred [28.03543  23.       22.       48.       24.487934]
suv_-17_15_-4_10_15_230_70_420:gt ['-17', '15', '-4', '10', '15']:pred [24.617147 15.472706 25.80221  22.14913  19.38654 ]
hatchback_-17_15_-36_35_46_20_70_420:gt ['-17', '15', '-36', '35', '46']:pred [11.407524 16.147932 25.371462 35.       36.275043]
hatchback_-30_23_-4_10_15_140_70_420:gt ['-30', '23', '-4', '10', '15']:pred [24.470003 21.263037  4.       15.202898 12.934718]
hybrid_-50_45_-36_10_46_140_30_420:gt ['-50', '45', '-36', '10', '46']:pred [50.      42.41346 36.      10.      46.     ]
hatchback_-50_23_-36_48_28_50_30_420:gt ['-50', '23', '-36', '48', '28']:pred [21.542538 23.       31.56883  48.       28.      ]
hybrid_-30_45_-4_35_28_230_70_420:gt ['-30', '45', '-4', '35', '28']:pred [36.434998 33.338207  4.       35.       24.920303]
sedan4door_-50_45_-22_48_28_230_30_420:gt ['-50', '45', '-22', '48', '28']:pred [50.       39.796207 22.       31.65791  23.329756]
suv_-17_15_-22_10_15_140_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.        7.494518 22.        9.631819 15.      ]
suv_-17_15_-4_35_28_50_30_420:gt ['-17', '15', '-4', '35', '28']:pred [23.787828 15.       15.741508 35.       28.      ]
suv_-30_45_-22_35_46_50_30_420:gt ['-30', '45', '-22', '35', '46']:pred [21.036161 45.       33.358253 35.       46.      ]
sedan4door_-50_23_-36_35_15_20_70_420:gt ['-50', '23', '-36', '35', '15']:pred [34.55643  24.785624 29.26654  35.       12.81038 ]
hybrid_-30_23_-36_35_15_140_30_420:gt ['-30', '23', '-36', '35', '15']:pred [30.       16.150904 36.       35.       15.      ]
hatchback_-30_15_-22_35_15_20_30_420:gt ['-30', '15', '-22', '35', '15']:pred [24.35374  15.       23.866549 35.        2.362961]
sedan2door_-50_23_-4_10_15_20_70_420:gt ['-50', '23', '-4', '10', '15']:pred [34.805023 24.941526  4.       10.       21.057707]
suv_-50_23_-36_48_28_140_70_420:gt ['-50', '23', '-36', '48', '28']:pred [35.736713 20.406048 36.       35.323956 36.768677]
sedan4door_-30_23_-4_48_15_50_30_420:gt ['-30', '23', '-4', '48', '15']:pred [26.878374 23.       19.936539 48.       15.      ]
sedan4door_-17_45_-36_10_46_50_70_420:gt ['-17', '45', '-36', '10', '46']:pred [30.33049  28.566305 32.419285 10.       13.581366]
sedan4door_-30_23_-4_35_28_50_70_420:gt ['-30', '23', '-4', '35', '28']:pred [34.206474 29.038656 27.811714 35.        4.116479]
suv_-30_15_-4_10_28_140_30_420:gt ['-30', '15', '-4', '10', '28']:pred [30.         9.1416445  4.         8.303314  28.       ]
sedan4door_-50_23_-22_48_46_20_30_420:gt ['-50', '23', '-22', '48', '46']:pred [32.102715 23.       25.977352 48.       24.938992]
hybrid_-17_45_-36_35_46_50_70_420:gt ['-17', '45', '-36', '35', '46']:pred [30.307821 14.157278 36.       35.       27.468546]
hybrid_-30_45_-36_10_15_230_70_420:gt ['-30', '45', '-36', '10', '15']:pred [35.63846  34.4285   36.       10.       12.174872]
hatchback_-30_15_-22_48_28_50_30_420:gt ['-30', '15', '-22', '48', '28']:pred [21.300165 15.       23.414228 48.       28.      ]
sedan4door_-30_23_-36_35_15_140_30_420:gt ['-30', '23', '-36', '35', '15']:pred [30.       25.1566   36.       31.219961 15.      ]
hybrid_-17_23_-36_10_15_140_30_420:gt ['-17', '23', '-36', '10', '15']:pred [17.       14.174648 36.       10.       15.      ]
suv_-50_23_-4_10_28_20_70_420:gt ['-50', '23', '-4', '10', '28']:pred [35.805    31.20551  11.778785 10.       23.09098 ]
hybrid_-50_23_-22_10_46_230_30_420:gt ['-50', '23', '-22', '10', '46']:pred [50.       12.864714 22.       10.       40.172127]
suv_-17_15_-36_48_46_20_30_420:gt ['-17', '15', '-36', '48', '46']:pred [27.157442 15.       40.18402  48.       25.152378]
sedan4door_-50_45_-4_48_46_50_70_420:gt ['-50', '45', '-4', '48', '46']:pred [40.91907   38.673126  30.706741  48.         6.9143953]
hatchback_-50_15_-22_35_46_20_30_420:gt ['-50', '15', '-22', '35', '46']:pred [39.062706 15.       24.449549 35.       22.176294]
sedan2door_-50_15_-36_10_46_20_70_420:gt ['-50', '15', '-36', '10', '46']:pred [30.022667  8.45203  36.       10.       30.490015]
hybrid_-50_45_-4_35_28_50_70_420:gt ['-50', '45', '-4', '35', '28']:pred [36.012985 31.982403  4.       35.       19.800756]
suv_-50_23_-36_48_46_50_70_420:gt ['-50', '23', '-36', '48', '46']:pred [29.84813  31.324356 39.059807 48.       22.68641 ]
sedan4door_-30_23_-36_35_15_20_30_420:gt ['-30', '23', '-36', '35', '15']:pred [26.022366 23.       36.794132 35.       22.550825]
hybrid_-50_45_-36_48_28_50_30_420:gt ['-50', '45', '-36', '48', '28']:pred [26.195343 45.       36.       48.       28.      ]
suv_-30_15_-4_10_15_50_30_420:gt ['-30', '15', '-4', '10', '15']:pred [28.856356 15.       17.848919 10.       15.      ]
suv_-17_45_-36_48_15_230_70_420:gt ['-17', '45', '-36', '48', '15']:pred [31.599112 38.880104 39.306637 41.588196 12.614157]
