hybrid_0_20_-40_0_40_320_20_400:gt ['0', '20', '-40', '0', '40']:pred [ 0.22642326 20.         40.          0.         42.36026   ]
sedan2door_-40_0_-20_20_0_320_80_400:gt ['-40', '0', '-20', '20', '0']:pred [35.65992    2.2769845 20.        20.         3.352826 ]
hatchback_0_0_-40_20_40_80_40_400:gt ['0', '0', '-40', '20', '40']:pred [ 2.7395272  1.1554596 42.79174   20.        40.       ]
suv_0_40_-20_20_0_320_40_450:gt ['0', '40', '-20', '20', '0']:pred [ 0.8004791 40.        24.361315  20.         1.4539216]
hatchback_-20_0_0_20_20_0_60_400:gt ['-20', '0', '0', '20', '20']:pred [22.45621    2.7736592  0.9029706 20.        21.397734 ]
hybrid_0_0_-40_40_40_0_80_450:gt ['0', '0', '-40', '40', '40']:pred [ 0.3703367  2.9555953 40.        40.        43.27846  ]
hybrid_-20_0_-20_40_40_320_20_400:gt ['-20', '0', '-20', '40', '40']:pred [21.111425  0.       20.       40.       38.157215]
sedan2door_-40_20_-40_0_20_80_40_450:gt ['-40', '20', '-40', '0', '20']:pred [40.709953  8.969919 40.        0.       20.      ]
hybrid_-20_0_-40_40_0_80_80_400:gt ['-20', '0', '-40', '40', '0']:pred [21.618006  1.758357 40.       40.        0.      ]
hybrid_-40_20_-40_20_0_80_80_400:gt ['-40', '20', '-40', '20', '0']:pred [43.75859  18.707684 40.       20.        0.      ]
sedan4door_0_20_0_20_20_0_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.20681675 20.          0.6348254  20.         20.        ]
hybrid_-40_20_-20_40_40_320_60_400:gt ['-40', '20', '-20', '40', '40']:pred [40.96473  16.954407 20.       40.       30.700224]
sedan4door_0_40_0_40_20_160_80_400:gt ['0', '40', '0', '40', '20']:pred [ 2.5685494 43.663002  10.231815  43.195198  12.938983 ]
hybrid_-40_20_0_20_0_240_40_400:gt ['-40', '20', '0', '20', '0']:pred [40.        24.205727   0.        20.         1.1115022]
suv_-20_20_0_0_20_240_80_400:gt ['-20', '20', '0', '0', '20']:pred [11.698507  15.24737    3.9185312  2.407806   7.5793104]
suv_-20_40_0_20_0_80_20_450:gt ['-20', '40', '0', '20', '0']:pred [13.729193 40.        0.       20.        0.      ]
suv_0_20_0_20_20_0_60_450:gt ['0', '20', '0', '20', '20']:pred [ 0.24932835 22.947348    0.86623466 20.         27.20556   ]
sedan4door_-20_40_0_40_0_0_80_400:gt ['-20', '40', '0', '40', '0']:pred [24.801987 40.697746  4.140404 43.880867  8.185389]
sedan4door_0_0_-40_40_20_80_20_400:gt ['0', '0', '-40', '40', '20']:pred [ 2.1264935  0.        49.251095  40.        20.       ]
sedan4door_0_0_-20_20_40_160_20_450:gt ['0', '0', '-20', '20', '40']:pred [ 0.         2.3803854 20.        34.14251   40.       ]
sedan2door_0_20_-20_0_20_0_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.6843335 20.        20.         0.        20.       ]
hybrid_-20_20_-20_40_0_320_60_450:gt ['-20', '20', '-20', '40', '0']:pred [16.264889 31.38751  20.       40.        1.307434]
hatchback_-40_0_-20_40_40_80_80_400:gt ['-40', '0', '-20', '40', '40']:pred [34.03446    3.9695866 36.927647  40.891987  40.       ]
sedan2door_-20_0_-20_40_40_320_80_450:gt ['-20', '0', '-20', '40', '40']:pred [18.019178   2.6020555 20.        40.        30.568043 ]
sedan4door_-40_0_-20_0_40_0_20_450:gt ['-40', '0', '-20', '0', '40']:pred [37.316044  0.       16.519049  0.       40.      ]
sedan2door_-20_40_0_0_40_160_40_450:gt ['-20', '40', '0', '0', '40']:pred [20.       35.93523   0.        0.       38.251724]
hatchback_-20_0_-40_20_20_240_60_450:gt ['-20', '0', '-40', '20', '20']:pred [20.237768   1.2540575 42.816402  17.578075   8.2824335]
sedan4door_0_0_-20_20_0_0_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.65618795  1.6312412  27.454357   20.          0.66806984]
hatchback_0_20_-20_40_20_160_20_400:gt ['0', '20', '-20', '40', '20']:pred [ 0.       17.440296 20.       48.05978  20.      ]
sedan4door_-20_40_-40_20_0_240_60_400:gt ['-20', '40', '-40', '20', '0']:pred [23.117928  39.03136   40.319225  23.876204   1.1069013]
sedan2door_-20_40_0_0_20_0_80_400:gt ['-20', '40', '0', '0', '20']:pred [19.254944 35.234615  0.        0.       22.976059]
sedan4door_-40_40_0_20_20_240_40_400:gt ['-40', '40', '0', '20', '20']:pred [40.       38.43206   0.       21.484121 12.991492]
suv_-20_0_0_20_20_160_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.        9.296093  0.       11.05016  20.      ]
sedan2door_-20_0_-20_40_40_240_60_450:gt ['-20', '0', '-20', '40', '40']:pred [25.874847   1.6252111 20.        40.        21.098982 ]
suv_-20_40_-20_20_40_0_80_400:gt ['-20', '40', '-20', '20', '40']:pred [12.324688 38.89813  23.936071 16.139643 44.2514  ]
hatchback_-40_20_-40_0_20_320_60_450:gt ['-40', '20', '-40', '0', '20']:pred [40.776184 17.076534 39.195084  0.       16.094856]
sedan2door_-20_40_0_20_40_320_80_450:gt ['-20', '40', '0', '20', '40']:pred [18.347944 41.267628  0.       20.       35.94839 ]
sedan4door_-20_0_-40_40_0_320_80_400:gt ['-20', '0', '-40', '40', '0']:pred [19.408047   4.2734723 36.137814  41.769382   1.638263 ]
sedan2door_0_0_-40_20_40_160_80_400:gt ['0', '0', '-40', '20', '40']:pred [ 0.65995187  1.282398   40.         20.         40.871983  ]
sedan4door_-20_0_0_20_40_240_80_400:gt ['-20', '0', '0', '20', '40']:pred [10.601387   2.2032545  7.297429  17.43      31.482378 ]
suv_-20_40_-40_0_0_160_40_400:gt ['-20', '40', '-40', '0', '0']:pred [20.        33.962708  40.         1.2476553  2.675489 ]
suv_0_20_-20_40_20_240_80_400:gt ['0', '20', '-20', '40', '20']:pred [ 6.0938644 23.296236  30.75784   40.829628  17.938232 ]
sedan2door_-20_20_0_40_20_160_80_450:gt ['-20', '20', '0', '40', '20']:pred [13.115507 14.052442  0.       40.       12.560153]
sedan4door_0_0_-40_20_20_240_80_450:gt ['0', '0', '-40', '20', '20']:pred [ 0.8811506  1.9797843 45.588676  15.416434  26.071226 ]
hybrid_0_0_0_20_20_160_40_400:gt ['0', '0', '0', '20', '20']:pred [ 0.        0.523102  0.       20.       17.72098 ]
suv_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.981237  0.        0.        0.       20.      ]
hatchback_-20_0_-40_40_0_240_20_450:gt ['-20', '0', '-40', '40', '0']:pred [20.         1.8394837 40.        30.724222   2.4746594]
hybrid_-40_0_-20_0_0_240_40_400:gt ['-40', '0', '-20', '0', '0']:pred [40.         2.1670506 20.         0.         1.2605811]
sedan4door_-40_0_-40_0_40_240_80_450:gt ['-40', '0', '-40', '0', '40']:pred [43.167484   2.1865876 38.144585   8.005541  33.493164 ]
sedan2door_-40_40_-20_0_20_240_60_400:gt ['-40', '40', '-20', '0', '20']:pred [42.90986  44.48183  20.        0.       25.794239]
sedan4door_-40_20_-20_0_20_320_20_400:gt ['-40', '20', '-20', '0', '20']:pred [36.283165 20.       30.757689  0.       11.27261 ]
sedan2door_0_0_-20_20_40_0_80_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.09948339  0.4526875  20.         20.         33.986786  ]
suv_0_0_-40_40_0_240_40_400:gt ['0', '0', '-40', '40', '0']:pred [ 0.         7.747787  40.        44.04597    2.4344354]
sedan2door_0_40_-20_40_40_240_40_450:gt ['0', '40', '-20', '40', '40']:pred [ 0.      38.9195  20.      40.      39.14076]
sedan2door_0_40_0_40_20_160_80_450:gt ['0', '40', '0', '40', '20']:pred [ 1.3441294 46.926334   0.        40.        31.570179 ]
hybrid_0_20_0_40_20_320_40_400:gt ['0', '20', '0', '40', '20']:pred [ 0.51743555 20.          0.         40.         23.301975  ]
sedan2door_-40_20_0_40_0_240_40_450:gt ['-40', '20', '0', '40', '0']:pred [40.        18.291077   0.        40.         5.4747624]
sedan4door_-20_0_0_20_20_0_20_400:gt ['-20', '0', '0', '20', '20']:pred [16.538557    0.          0.68326294 20.         20.        ]
suv_-40_40_-20_40_20_160_20_400:gt ['-40', '40', '-20', '40', '20']:pred [40.       39.18512  20.       39.038937 20.      ]
sedan4door_-20_0_-20_40_40_240_40_400:gt ['-20', '0', '-20', '40', '40']:pred [20.         3.3677702 20.        40.472202  39.335724 ]
hybrid_0_0_-40_20_20_160_80_450:gt ['0', '0', '-40', '20', '20']:pred [ 5.0778627  1.7490932 40.        20.        15.689508 ]
hybrid_-20_40_-20_20_20_320_60_400:gt ['-20', '40', '-20', '20', '20']:pred [20.940155 40.609848 20.       20.       25.437714]
hatchback_0_0_0_20_40_0_80_400:gt ['0', '0', '0', '20', '40']:pred [ 0.28156993  2.7239254   1.5720109  16.142914   38.759968  ]
hybrid_0_0_-40_20_40_160_40_400:gt ['0', '0', '-40', '20', '40']:pred [ 0.         1.5800269 40.        20.        44.844486 ]
sedan2door_-40_20_-20_0_40_320_40_400:gt ['-40', '20', '-20', '0', '40']:pred [42.337048 20.       20.        0.       33.391594]
sedan2door_0_0_-40_0_0_160_60_450:gt ['0', '0', '-40', '0', '0']:pred [ 3.7987785   0.81637836 40.          0.          2.309549  ]
sedan4door_-40_40_-20_20_0_320_80_400:gt ['-40', '40', '-20', '20', '0']:pred [39.496777 44.526688 19.524563 12.781563 31.898159]
hatchback_-20_20_-40_20_20_320_60_400:gt ['-20', '20', '-40', '20', '20']:pred [19.106981 21.084042 36.697998 17.763561 18.587257]
sedan2door_-20_20_-20_40_0_240_80_450:gt ['-20', '20', '-20', '40', '0']:pred [21.575502  22.979816  20.        40.         7.0041833]
sedan4door_-40_0_-40_40_20_160_80_400:gt ['-40', '0', '-40', '40', '20']:pred [34.03911    1.8205222 42.60238   34.5604    29.467752 ]
sedan2door_0_20_-40_20_20_0_40_400:gt ['0', '20', '-40', '20', '20']:pred [ 0.44426283 20.         40.         20.         22.861126  ]
hatchback_0_0_-40_0_40_80_20_400:gt ['0', '0', '-40', '0', '40']:pred [ 3.6423147  0.        44.04711    0.        40.       ]
