hybrid_0_0_-20_20_40_240_40_450:gt ['0', '0', '-20', '20', '40']:pred [ 8.109364  0.       11.737897 13.848763 40.      ]
hatchback_-20_20_-20_40_0_0_80_400:gt ['-20', '20', '-20', '40', '0']:pred [20. 20. 20. 40.  0.]
sedan4door_-20_0_-20_40_0_320_20_400:gt ['-20', '0', '-20', '40', '0']:pred [20.        9.13285  20.        4.738213  0.      ]
hybrid_0_0_-20_40_20_320_20_450:gt ['0', '0', '-20', '40', '20']:pred [ 0.        9.457402 19.02704   9.959602 20.      ]
hybrid_-20_20_-40_20_40_200_60_450:gt ['-20', '20', '-40', '20', '40']:pred [20.       20.       11.403101 13.566102 40.      ]
hybrid_0_0_-20_20_40_40_80_450:gt ['0', '0', '-20', '20', '40']:pred [ 0.        0.       23.567736 26.879683 40.      ]
sedan4door_-40_40_0_20_0_0_80_400:gt ['-40', '40', '0', '20', '0']:pred [40. 40.  0. 20.  0.]
sedan2door_-40_40_0_20_40_120_40_450:gt ['-40', '40', '0', '20', '40']:pred [32.012257  40.        43.82015   35.61276   14.8047285]
suv_0_40_-40_40_40_0_20_400:gt ['0', '40', '-40', '40', '40']:pred [ 0.        19.992064  40.         3.1974177 33.29648  ]
hybrid_0_0_-40_0_40_280_60_400:gt ['0', '0', '-40', '0', '40']:pred [ 0.        0.       29.043112 12.900711 40.      ]
hatchback_-20_40_-20_20_40_120_60_450:gt ['-20', '40', '-20', '20', '40']:pred [20.      40.      35.68544 20.      40.     ]
suv_-20_20_-40_40_40_280_20_450:gt ['-20', '20', '-40', '40', '40']:pred [20.       28.918816 40.       31.387367 40.      ]
sedan4door_-20_0_-40_20_0_200_80_400:gt ['-20', '0', '-40', '20', '0']:pred [20.  0. 40. 20.  0.]
suv_-40_20_-40_0_0_280_80_450:gt ['-40', '20', '-40', '0', '0']:pred [40. 20. 40.  0.  0.]
hatchback_0_0_-20_40_0_0_40_450:gt ['0', '0', '-20', '40', '0']:pred [ 0.        7.993874 20.        6.736451  0.      ]
hybrid_0_0_-20_0_20_0_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.         7.5389214  8.825585   5.758592  13.0375595]
sedan4door_-20_40_-40_0_40_40_40_450:gt ['-20', '40', '-40', '0', '40']:pred [20.       33.24542  40.       23.516607 40.      ]
sedan4door_0_40_0_40_0_240_60_400:gt ['0', '40', '0', '40', '0']:pred [ 0.        40.         8.7492285 40.         0.       ]
hatchback_0_20_-20_40_20_320_40_450:gt ['0', '20', '-20', '40', '20']:pred [ 0.       23.380247 20.       21.751236 20.      ]
sedan2door_-40_40_0_40_0_80_40_450:gt ['-40', '40', '0', '40', '0']:pred [40.       40.       19.697697 16.302063  3.708845]
hybrid_-20_0_-40_0_0_200_20_400:gt ['-20', '0', '-40', '0', '0']:pred [17.859558   0.        16.606953   1.4251409  0.       ]
hatchback_-40_40_0_0_20_40_20_400:gt ['-40', '40', '0', '0', '20']:pred [40.       26.380281  0.       13.014006 14.380451]
hybrid_0_20_-40_0_40_280_20_450:gt ['0', '20', '-40', '0', '40']:pred [ 9.369809  9.935473 11.536652 11.451765 40.      ]
sedan4door_-40_0_-20_0_0_200_40_450:gt ['-40', '0', '-20', '0', '0']:pred [20.512728  0.       16.240973  0.        0.      ]
suv_0_0_-40_40_40_0_20_400:gt ['0', '0', '-40', '40', '40']:pred [ 0.        14.435308  40.         3.0874944 32.316708 ]
sedan4door_0_40_0_20_40_200_20_400:gt ['0', '40', '0', '20', '40']:pred [ 9.497681 40.       45.638287 20.       40.      ]
sedan4door_-40_40_0_20_20_360_80_400:gt ['-40', '40', '0', '20', '20']:pred [40. 40.  0. 20. 20.]
sedan2door_0_0_-20_0_40_240_80_400:gt ['0', '0', '-20', '0', '40']:pred [ 0.        0.       22.858862  3.735836 40.      ]
suv_-20_0_-40_20_0_360_80_450:gt ['-20', '0', '-40', '20', '0']:pred [20.  0. 40. 20.  0.]
suv_0_0_-40_40_0_320_60_400:gt ['0', '0', '-40', '40', '0']:pred [ 0.        4.808181 40.       40.        0.      ]
sedan4door_-20_0_-20_20_0_240_40_450:gt ['-20', '0', '-20', '20', '0']:pred [ 2.5999298  0.        34.903442  20.         0.       ]
sedan2door_0_20_-40_20_40_80_20_450:gt ['0', '20', '-40', '20', '40']:pred [ 0.        21.591866  14.273418   6.6456485 19.335026 ]
sedan2door_0_40_0_20_20_240_40_450:gt ['0', '40', '0', '20', '20']:pred [10.778253 40.       12.585713 16.856636 20.      ]
suv_0_40_-20_0_0_360_60_400:gt ['0', '40', '-20', '0', '0']:pred [ 0.         40.         20.          0.79176044  0.        ]
hatchback_-20_0_-20_0_0_120_60_450:gt ['-20', '0', '-20', '0', '0']:pred [20.       0.      42.10689  0.       0.     ]
suv_-40_20_-20_40_40_120_20_400:gt ['-40', '20', '-20', '40', '40']:pred [18.402645  20.        34.445374  40.         3.0114758]
hybrid_0_40_-40_40_40_0_40_450:gt ['0', '40', '-40', '40', '40']:pred [ 0.        37.7343    18.454397   1.9859167 40.       ]
sedan4door_-20_0_-20_0_40_240_20_450:gt ['-20', '0', '-20', '0', '40']:pred [16.123573  0.       27.608269  0.       40.      ]
hatchback_0_0_0_20_40_280_80_400:gt ['0', '0', '0', '20', '40']:pred [ 0.  0.  0. 20. 40.]
suv_-40_40_-40_20_40_80_60_450:gt ['-40', '40', '-40', '20', '40']:pred [40. 40. 40. 20. 40.]
sedan4door_0_0_-40_0_0_240_40_400:gt ['0', '0', '-40', '0', '0']:pred [ 3.3784971  0.        35.990055   0.         0.       ]
sedan4door_-40_40_-20_20_40_160_20_400:gt ['-40', '40', '-20', '20', '40']:pred [18.89187  40.       11.824029 20.       33.951664]
sedan2door_0_0_-20_20_20_360_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.        0.       19.810911  7.263754 20.      ]
sedan2door_0_40_0_0_20_320_80_400:gt ['0', '40', '0', '0', '20']:pred [ 0.       40.       25.294058 20.309582 20.      ]
sedan2door_-40_40_-40_0_20_160_60_400:gt ['-40', '40', '-40', '0', '20']:pred [40.       40.       20.089767 14.269058 20.      ]
hybrid_-40_20_-20_40_20_160_20_450:gt ['-40', '20', '-20', '40', '20']:pred [25.983618  20.         9.201325   4.6079226 26.33038  ]
hatchback_0_40_0_0_20_120_20_400:gt ['0', '40', '0', '0', '20']:pred [19.937487  40.        31.557276   0.         5.6377225]
hybrid_-20_0_0_0_20_240_20_400:gt ['-20', '0', '0', '0', '20']:pred [35.856827  0.        9.515434 14.320126 20.      ]
sedan2door_-20_0_0_20_20_160_80_450:gt ['-20', '0', '0', '20', '20']:pred [20.        0.       26.32363  19.299717 20.      ]
hatchback_0_40_-20_40_20_160_60_400:gt ['0', '40', '-20', '40', '20']:pred [ 0.       40.       25.180862 40.       20.      ]
hatchback_-40_40_0_0_0_240_40_450:gt ['-40', '40', '0', '0', '0']:pred [30.192862 40.        6.671106  0.        0.      ]
hatchback_-20_40_-40_0_0_120_20_450:gt ['-20', '40', '-40', '0', '0']:pred [27.984589 40.       27.907043  0.       10.836292]
sedan2door_-20_0_-40_40_0_120_40_450:gt ['-20', '0', '-40', '40', '0']:pred [15.074031    0.         29.89781    19.168253    0.88356984]
sedan2door_-20_20_0_0_0_240_40_450:gt ['-20', '20', '0', '0', '0']:pred [25.153751 20.       21.523703 19.718693  0.      ]
sedan2door_-20_20_0_40_40_360_20_400:gt ['-20', '20', '0', '40', '40']:pred [20.         6.484823  19.972174   2.1260662 42.516754 ]
hybrid_-20_20_0_40_20_40_20_450:gt ['-20', '20', '0', '40', '20']:pred [20.       30.844824 15.860281 16.322247  1.773453]
hybrid_-20_40_-20_20_0_240_80_400:gt ['-20', '40', '-20', '20', '0']:pred [20.       40.       32.79279  32.875175  0.      ]
suv_-40_40_0_40_0_200_60_400:gt ['-40', '40', '0', '40', '0']:pred [40.       40.       36.692295 40.        0.      ]
hybrid_-40_40_-40_20_20_120_60_450:gt ['-40', '40', '-40', '20', '20']:pred [40.       40.       17.141407 34.891777 20.      ]
sedan2door_-40_0_0_0_0_320_20_400:gt ['-40', '0', '0', '0', '0']:pred [40.       13.750317 28.981272  2.878536  0.      ]
sedan2door_-20_0_0_20_0_160_20_400:gt ['-20', '0', '0', '20', '0']:pred [16.244322   0.        20.238089   4.0105104  1.8200622]
suv_-40_20_-20_40_40_160_40_450:gt ['-40', '20', '-20', '40', '40']:pred [19.251568 20.       24.447725 40.       40.      ]
sedan4door_-20_0_-40_0_0_200_20_400:gt ['-20', '0', '-40', '0', '0']:pred [11.065907  0.       21.855768  0.        0.      ]
hatchback_-40_0_-20_40_0_80_20_450:gt ['-40', '0', '-20', '40', '0']:pred [40.        15.856281  20.        39.856308   1.6198572]
hatchback_-40_40_-40_40_20_200_60_400:gt ['-40', '40', '-40', '40', '20']:pred [40.      40.      40.73745 40.      20.     ]
