7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [13.406195 21.326334 20.       20.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [23.504002   3.7854602 20.        20.        40.       ]
c61ec8875746ab78227375499b768057_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [20.926897    0.64810705 40.         20.         22.254139  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [23.347437 31.611385 20.       20.       20.      ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [16.812336 37.067028 20.       40.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [10.761735   4.2610865 20.        20.        40.       ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         3.5000477 20.        20.        12.658592 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [14.598524 23.352571 40.       40.        8.573646]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [10.166338  5.904309 20.       40.       37.40692 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [29.608425  29.098686  15.4250765 40.        40.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       32.318844 40.       20.       40.      ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [28.873657 20.939342 20.       20.       20.      ]
923007b377bb1cab473f10e6caaeca56_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [16.355196 33.131943 40.       40.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       21.258644 20.       40.       20.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.         0.7214477 40.        20.        20.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       13.326198 40.       20.       40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [20.513117 28.304348 40.       40.       40.      ]
1790131f5f74b1ed973aff268eb6b00c_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [10.093016 12.138544 20.       21.850477 20.      ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       35.396072 40.       20.       12.229079]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       31.492731 20.       40.       20.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [11.566132 23.056313 30.014294 42.635735 22.530167]
