Hybrid_0_20_0_20_0_160_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.       25.299646  0.       20.        0.      ]
Sedan4Door_-20_0_0_0_20_320_20_400:gt ['-20', '0', '0', '0', '20']:pred [14.541656   0.         3.4335384  0.        35.850975 ]
Hybrid_-20_20_-20_0_20_320_60_400:gt ['-20', '20', '-20', '0', '20']:pred [21.177193 48.27259  20.        0.       39.491875]
Hatchback_-20_0_-20_20_20_160_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.       18.154955 20.       29.893545 20.      ]
Hatchback_-20_20_-20_20_20_320_20_450:gt ['-20', '20', '-20', '20', '20']:pred [33.036633 20.       16.982399 20.       31.500263]
Hatchback_-20_20_0_20_20_160_60_400:gt ['-20', '20', '0', '20', '20']:pred [33.324596 20.32019   0.       12.020217 32.62696 ]
Sedan2Door_-20_20_0_0_20_320_20_450:gt ['-20', '20', '0', '0', '20']:pred [21.082453 20.        0.        0.       16.637997]
Hatchback_-20_0_-20_0_0_160_60_450:gt ['-20', '0', '-20', '0', '0']:pred [29.113605   3.0106447 20.         6.754078  26.84866  ]
Sedan4Door_-20_0_-20_0_0_80_20_450:gt ['-20', '0', '-20', '0', '0']:pred [28.300701  0.       17.408401  0.        0.      ]
Hybrid_0_0_0_0_0_160_60_450:gt ['0', '0', '0', '0', '0']:pred [ 0.         2.9760711  0.         0.        32.25399  ]
Sedan2Door_0_20_-20_0_0_320_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 7.849937 51.306503 20.        0.       38.852985]
Sedan4Door_-20_0_0_0_0_320_20_450:gt ['-20', '0', '0', '0', '0']:pred [23.357033   0.         4.6962447  0.         9.298433 ]
Hatchback_0_20_-20_0_20_240_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.       21.836893 20.        1.686199 35.189697]
Hybrid_-20_0_0_20_0_80_60_400:gt ['-20', '0', '0', '20', '0']:pred [28.1874    2.007529  0.       20.       23.607428]
Hatchback_-20_0_-20_20_20_240_60_400:gt ['-20', '0', '-20', '20', '20']:pred [ 5.1726055  4.713548  14.134609   9.471842  48.278347 ]
Hatchback_-20_0_0_0_0_320_60_450:gt ['-20', '0', '0', '0', '0']:pred [32.292454  10.583105   3.2866778  0.        50.12184  ]
Sedan4Door_0_20_0_20_20_160_20_400:gt ['0', '20', '0', '20', '20']:pred [ 0.       27.805752  0.       14.302674 20.      ]
Sedan2Door_0_0_0_20_0_160_20_400:gt ['0', '0', '0', '20', '0']:pred [ 0.         6.8761487  0.        20.         0.       ]
Sedan2Door_-20_0_-20_20_20_160_60_400:gt ['-20', '0', '-20', '20', '20']:pred [13.614324   1.3721275 20.        20.        58.08706  ]
Sedan2Door_-20_0_-20_0_20_0_60_400:gt ['-20', '0', '-20', '0', '20']:pred [31.18359  36.434143 20.        0.       48.647827]
Suv_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [ 1.6699228  8.073545  15.497499   0.        17.97182  ]
Sedan2Door_0_0_0_0_20_240_60_450:gt ['0', '0', '0', '0', '20']:pred [10.078688   2.6699746  0.         0.        47.84713  ]
Hybrid_0_0_-20_20_0_320_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 2.3237717  0.        20.        20.         5.864759 ]
Hybrid_-20_0_-20_20_20_320_20_400:gt ['-20', '0', '-20', '20', '20']:pred [12.028456  0.       20.       20.       37.234997]
Suv_-20_20_0_20_0_240_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.       17.595148  0.       31.112734 14.422492]
Sedan4Door_-20_0_0_0_20_320_60_450:gt ['-20', '0', '0', '0', '20']:pred [20.239048   6.5403543  4.0398774  0.        47.939243 ]
Sedan4Door_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [41.408348   4.4074616  1.1800172 25.166895  45.54862  ]
Sedan4Door_-20_20_0_20_0_0_20_450:gt ['-20', '20', '0', '20', '0']:pred [14.112916  20.         2.7005033 20.         0.       ]
Suv_-20_20_-20_20_20_80_60_450:gt ['-20', '20', '-20', '20', '20']:pred [20.587145  23.02948    3.7256293 14.741483  40.055096 ]
Hatchback_-20_0_-20_20_0_80_60_400:gt ['-20', '0', '-20', '20', '0']:pred [26.461002   1.4945076 10.01457    2.7093034  7.47433  ]
Sedan4Door_0_20_-20_0_20_80_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 5.2086315 20.         6.817037   0.        20.       ]
Hatchback_0_0_-20_20_20_240_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.        9.459963 20.        7.891571 38.2542  ]
Hybrid_-20_0_0_0_20_0_60_400:gt ['-20', '0', '0', '0', '20']:pred [24.399109  0.        0.        0.       47.091454]
Suv_-20_0_-20_20_0_80_20_450:gt ['-20', '0', '-20', '20', '0']:pred [23.091486  0.       20.920895 20.        0.      ]
Suv_0_20_0_0_20_240_60_450:gt ['0', '20', '0', '0', '20']:pred [17.80891   11.804302   0.         3.0812755 59.175663 ]
Sedan2Door_-20_20_0_20_20_240_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.      13.25551  0.      20.      46.39008]
Hatchback_0_0_0_0_0_0_20_450:gt ['0', '0', '0', '0', '0']:pred [2.1545353 0.        3.6220527 0.        0.       ]
Hatchback_-20_0_0_20_0_80_20_400:gt ['-20', '0', '0', '20', '0']:pred [21.098269  0.        0.       20.        0.      ]
Hatchback_-20_20_0_20_20_320_60_400:gt ['-20', '20', '0', '20', '20']:pred [34.519146 49.651604  5.168927 17.461742 31.16945 ]
Hatchback_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [ 1.5564884  1.7775506 18.604137   1.0583605  9.042869 ]
Suv_0_0_-20_20_20_160_60_450:gt ['0', '0', '-20', '20', '20']:pred [15.016243 28.603527 20.       10.606907 42.85329 ]
Hybrid_-20_20_0_0_0_80_20_400:gt ['-20', '20', '0', '0', '0']:pred [23.536627 20.        0.        0.        0.      ]
Sedan4Door_-20_20_-20_20_0_160_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.        6.915594 20.       31.05879   0.      ]
Sedan2Door_0_20_0_0_0_0_60_400:gt ['0', '20', '0', '0', '0']:pred [ 0.9587234 11.917518   0.         0.        12.96301  ]
Sedan2Door_-20_20_0_0_20_160_60_400:gt ['-20', '20', '0', '0', '20']:pred [25.777916 10.839583  0.        0.       44.26037 ]
Sedan2Door_0_0_0_0_20_80_60_450:gt ['0', '0', '0', '0', '20']:pred [ 2.2388644 14.907211   0.         0.        29.348604 ]
Suv_-20_20_0_0_0_0_60_400:gt ['-20', '20', '0', '0', '0']:pred [18.833008 59.289356  8.446197  0.       11.721835]
Hybrid_0_20_-20_20_0_160_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.        5.427416 20.       20.       51.330715]
Hybrid_0_20_0_20_20_80_20_450:gt ['0', '20', '0', '20', '20']:pred [ 2.955973 20.        0.       20.       20.      ]
Hybrid_0_20_0_20_0_0_60_450:gt ['0', '20', '0', '20', '0']:pred [ 4.0301194 26.576418   0.        20.        30.693777 ]
Suv_0_0_0_20_20_0_60_400:gt ['0', '0', '0', '20', '20']:pred [ 1.4601562  0.         1.7272938 20.        22.630026 ]
Sedan2Door_-20_20_0_20_20_0_20_400:gt ['-20', '20', '0', '20', '20']:pred [14.8904705 20.         0.        20.        20.       ]
Sedan2Door_0_20_0_0_20_160_60_400:gt ['0', '20', '0', '0', '20']:pred [12.55412   3.21654   0.        0.       59.079475]
Sedan4Door_0_20_-20_20_0_240_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 0.        12.2002325 20.        13.7650585 54.17646  ]
Suv_-20_20_-20_0_20_240_20_450:gt ['-20', '20', '-20', '0', '20']:pred [20.       44.09036  20.        8.656216 27.098162]
Sedan4Door_-20_0_-20_0_20_80_60_450:gt ['-20', '0', '-20', '0', '20']:pred [29.705032   9.997269   5.210051   4.5178127 31.927944 ]
Hatchback_0_20_0_20_0_0_60_450:gt ['0', '20', '0', '20', '0']:pred [ 2.9537199 47.8617    12.139809  20.        46.235188 ]
Hatchback_-20_20_0_20_20_80_60_400:gt ['-20', '20', '0', '20', '20']:pred [22.07648   26.534863   2.7730782  7.641446  51.071754 ]
Hybrid_-20_20_0_0_20_0_60_450:gt ['-20', '20', '0', '0', '20']:pred [26.337227 34.006214  0.        0.       28.529911]
Hybrid_0_0_-20_20_0_80_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 4.456622  0.       20.       20.        0.      ]
Sedan4Door_-20_0_0_20_20_0_20_400:gt ['-20', '0', '0', '20', '20']:pred [ 6.8985157  0.         2.3710113 20.        20.       ]
Hybrid_-20_0_-20_0_20_160_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.       2.54893 20.       0.      20.     ]
Sedan4Door_0_0_0_0_0_80_60_450:gt ['0', '0', '0', '0', '0']:pred [2.278947  5.1892056 2.1015158 6.650103  0.       ]
Sedan2Door_0_20_0_20_20_80_20_450:gt ['0', '20', '0', '20', '20']:pred [ 3.9663882 20.         0.        20.        20.       ]
Hybrid_-20_0_0_0_20_0_60_450:gt ['-20', '0', '0', '0', '20']:pred [25.656849  0.        0.        0.       45.206123]
Hatchback_0_0_-20_0_0_240_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         3.735478  20.         2.1775768 26.98087  ]
Hatchback_-20_0_-20_0_20_240_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.        14.696966  20.         3.4686427 23.570004 ]
Sedan4Door_-20_0_0_0_0_80_20_400:gt ['-20', '0', '0', '0', '0']:pred [17.609413   0.         3.2675805  0.         0.       ]
Hybrid_-20_20_-20_0_0_320_20_450:gt ['-20', '20', '-20', '0', '0']:pred [18.030895 20.       20.        0.       25.928997]
Sedan4Door_0_20_0_20_0_240_60_450:gt ['0', '20', '0', '20', '0']:pred [10.652392 15.122611  0.        9.282905 48.87053 ]
Hybrid_-20_0_0_0_0_160_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.        4.782603  0.        0.        0.      ]
Hatchback_-20_0_0_0_20_0_20_400:gt ['-20', '0', '0', '0', '20']:pred [12.848132   0.         3.1381574  0.        20.       ]
Hybrid_0_0_0_20_0_320_20_450:gt ['0', '0', '0', '20', '0']:pred [ 3.7262034  0.         0.        20.        10.324522 ]
Sedan4Door_0_0_0_20_20_240_60_400:gt ['0', '0', '0', '20', '20']:pred [ 8.491535   4.0839458  0.         4.2199817 52.3094   ]
Hybrid_0_20_0_0_0_320_20_450:gt ['0', '20', '0', '0', '0']:pred [ 2.871104  20.         0.         0.         5.5120864]
Hybrid_0_20_-20_0_0_0_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 2.546993 20.       20.        0.        0.      ]
Hybrid_0_20_0_0_20_240_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.       38.644962  0.        0.       25.649591]
Hybrid_0_0_0_0_20_320_60_450:gt ['0', '0', '0', '0', '20']:pred [ 9.808171  0.        0.        0.       57.073242]
Sedan4Door_0_0_-20_0_0_0_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 1.1315066  0.        36.954586   0.         0.       ]
Hybrid_-20_20_0_0_20_160_20_400:gt ['-20', '20', '0', '0', '20']:pred [20.       22.218344  0.        0.       20.      ]
