70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [33.386055   7.6558614 40.        40.        14.459921 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [14.446655   1.0415435 20.        40.        40.       ]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [19.497982  9.43154  20.       40.       40.      ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [40.         4.5623083 20.        20.         3.690595 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        20.618303  40.         3.7302523 20.       ]
9d2b7938d426633b28044fe9244db50a_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [20. 40. 40. 40. 40.]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [20. 20. 20. 40. 20.]
c61ec8875746ab78227375499b768057_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [26.487776 17.586586 20.       40.       22.72555 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       17.529144 20.       20.       44.118965]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.      27.62878 40.      40.      29.45814]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [26.533728 20.254429 20.       20.       40.      ]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       15.131746 40.       40.       38.580063]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [34.177605 38.012737 20.       40.       33.36514 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [24.907385 22.120066 40.       40.       31.539803]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [ 9.589346   4.747907   6.989581   0.8924078 36.34443  ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [23.950352  24.360273  14.835246   6.734343  11.6617365]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 6.013623 11.308176 20.       40.       20.44214 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [20.185999  16.813433  15.708884   2.4917808 20.       ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       22.286537 20.       20.       49.050922]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        25.825674  20.         6.8543425 45.45966  ]
a387407d49e209fdeea60824a43a0b_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       18.859861 20.       20.        5.380623]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [21.21633    7.7623897 40.        20.        40.       ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [26.767197 32.703823 40.       40.       40.      ]
6265f0745d3f40546bcd32c43682e841_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.        5.018054 20.       40.       40.      ]
c61ec8875746ab78227375499b768057_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [22.979855 29.436937 40.       40.       20.      ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [ 2.4241805 17.033688  40.        40.        40.       ]
d72ffa185738bccd10b75223b5be6dbb_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [22.340755   3.1063142 20.        40.        40.       ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [25.138594  8.995528 40.       20.       40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [12.15163    1.4253571 20.        40.        20.       ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.         3.1298254 20.        20.         0.8389031]
6265f0745d3f40546bcd32c43682e841_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.        5.283271 40.       20.       40.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       15.153998 40.       40.       38.381226]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [ 3.7349823 12.583777  20.        20.        22.45604  ]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.         9.281403  20.        12.748957   5.0473566]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [15.420751  16.02084   13.525808   3.6617312  6.713246 ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [24.438496 21.927753 40.       40.       40.      ]
a387407d49e209fdeea60824a43a0b_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [20.       20.881802 20.        6.594347 28.73013 ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [ 2.0721872 17.498436  20.        40.        20.       ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.        2.664879 40.       20.        4.509349]
825fb860d71c78a477c771b4b7eed82c_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [26.35407  28.652529 20.       40.       20.      ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.      29.18751 40.      20.      20.     ]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.89862 11.85013 40.      20.      40.     ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [36.29648  38.981422 38.948223 40.       20.      ]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [ 1.8324214 19.43693   40.        40.        20.       ]
c61ec8875746ab78227375499b768057_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       10.386182 20.       20.        7.271737]
6265f0745d3f40546bcd32c43682e841_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [24.497698 21.708422 40.       20.       20.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [21.594841 33.315224 40.       20.       20.      ]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [28.138296   1.1147994 20.        40.        28.472033 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 2.9151776  8.05533   40.        20.        16.146118 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [20.10448  23.124304 25.255299 15.101772 40.      ]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.        8.002071 40.       20.       40.      ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40. 20. 40. 20. 20.]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.        19.51717   20.        20.         1.6245749]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [33.75249  39.445885 18.764408 19.197895 40.64489 ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [33.656677 37.742558 40.       40.       40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20. 40. 40. 40. 20.]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [26.01211  23.004408 40.       40.       13.554679]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       15.805347 20.       40.       31.590643]
