72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.350142 13.29652  41.6518   27.796968 45.43686 ]
6265f0745d3f40546bcd32c43682e841_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.095818   3.7288053 24.010527  22.621145  47.07125  ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [16.338598 12.642899  4.41524  11.173975 31.287106]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [13.189943 12.18934  40.36135  27.453985 10.886174]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 7.012204  5.158509  9.380103 13.903638 15.597004]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [25.618654 18.396612 26.197702 31.868494 43.265118]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [33.707355    0.89911073  3.6062126   6.727194    1.1146543 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [23.587555  13.125444   3.4721572 15.590615  24.271423 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [30.2446     4.9276624  5.664538  32.174267  21.83719  ]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [ 6.6760626 14.368326  18.642756  13.242773  50.740086 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [21.978302  12.12563   13.647252   7.8677435 28.477406 ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [20.61673  26.498837 18.533453 22.37805  43.24241 ]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 9.444483 11.148581 20.565413 12.402378 43.00836 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [36.564194 14.559878 37.387466 17.824188 21.034834]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [14.881397   5.2043114 13.995395  39.049618  10.887608 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [23.110212 32.343887 21.682926 30.054792 43.674583]
cde88b5900e8dfba725a7749daae1afa_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [12.413468   7.4165006  1.0940099  8.255266  42.687798 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [24.421259  17.4768    38.38575    7.4213324 23.75404  ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [20.5954   26.61677  18.384863 22.539177 43.212578]
923007b377bb1cab473f10e6caaeca56_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [10.403008  10.473217   6.4243193  0.8615582  5.534597 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [14.470682  19.105799   7.6161404 24.111437  32.94878  ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [13.763575   7.7707777 15.221809  19.070738   8.278984 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [25.597427 11.248536 29.378069 47.533783 31.59773 ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [16.075985 15.149782 14.632969 25.518879 44.576138]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [13.829506 22.76276  35.490673 25.08232  51.3589  ]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [18.892576  7.454443 12.791446 41.419037 26.777416]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [16.352592   6.3431473 33.175148  31.851776  35.47034  ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [23.9617    25.139944  27.277128  12.479036   5.9585433]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [12.993002   2.2431846  6.171499   7.021176  43.460434 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [17.412329 20.690504 33.25192  21.710876 48.426426]
4458ed2a746e61a3b11647ffa4306609_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [ 8.422247  27.462372   2.5389073  3.8026183  8.2102995]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [ 4.8624215  6.7019033 18.402264  13.505459  17.30031  ]
6265f0745d3f40546bcd32c43682e841_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 5.733623 13.838303  5.750458  6.790454 29.997082]
6265f0745d3f40546bcd32c43682e841_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [11.581635   3.9800687  5.76931   15.5975895 27.910223 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [37.570095 13.871643 27.095016 12.899177 16.528515]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [ 7.704303 31.194036 12.921292 28.3727   34.35734 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [19.222599 12.157863 25.233343 25.083439 33.235325]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [17.32192  21.23362  19.847359 10.895791 10.384784]
825fb860d71c78a477c771b4b7eed82c_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [21.228712   3.7402728  6.4763494  5.486258  24.268019 ]
4ac021653126a29e98618a1ba17f086b_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [27.00959    3.6890538 37.55247   28.155966  27.4426   ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [17.14191   17.853012  26.029686   4.2661815 16.886662 ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [14.679626  3.986608 18.35163  31.126516 10.456317]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [25.526138 16.20854   8.453809 38.98521  41.189938]
6265f0745d3f40546bcd32c43682e841_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [ 8.168355 18.038847 24.412636 41.72036  40.53663 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [17.44947    3.6765037 12.712373  21.821922   8.266263 ]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [17.511162  14.329148  11.043447   5.6357102  8.060285 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [27.230179   5.0602736 38.60743   19.099882  47.279438 ]
c61ec8875746ab78227375499b768057_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [16.549305  15.488912   6.0278406 34.35405   33.229267 ]
c61ec8875746ab78227375499b768057_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [15.364799   6.0904794 28.212627  24.000458  28.343185 ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [15.397147 15.354348 10.854289 18.36481  11.957162]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [19.207144  16.497257  19.669146  12.505022   3.2094486]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [32.47348  18.377785 15.755633 16.049616 31.95266 ]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [43.547302  15.242706   0.6781778 15.4231415 41.272976 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [24.720179  12.4333315 20.315771  15.866577  15.173014 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [11.85332  11.608418 11.082098 12.454544 46.05041 ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [12.775468 15.303683  9.793659 29.51307  42.066917]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [36.20199  10.091072  9.571335 34.174915 49.846542]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [14.446681  5.307853 13.884389 39.79277  10.272095]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [ 8.023135 11.371904 19.854599 13.427182 44.49996 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [18.066692 24.513403 13.185396 28.73847  20.79559 ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [29.067343  12.360826  11.205708   5.0710073 17.863726 ]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [24.117096   1.3064754 31.763395  25.684628   7.761275 ]
1a64bf1e658652ddb11647ffa4306609_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [ 5.485788 14.96429  19.478184 37.875793 32.161766]
5ec3322293a39816ad7e7cea4034d226_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [ 8.830063 21.84461  27.097595 13.742694 46.18518 ]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [25.948988 18.969719 24.50873  19.312346 29.55014 ]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [17.851404 12.727458 21.65155   4.24523  20.103344]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [24.734562  9.535158 28.5382   30.156939 40.327316]
c61ec8875746ab78227375499b768057_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [13.925097 16.84889   9.841167 31.784866 31.95439 ]
923007b377bb1cab473f10e6caaeca56_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [25.05156    5.877181   2.9658117 17.749     23.391565 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [25.575142 15.85894  11.442969 39.474224 39.88903 ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [22.643547 12.3275   23.948034  5.569229 11.878053]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_40_20_240_40_400:gt ['20', '20', '20', '40', '20']:pred [12.546609   5.2817054 14.9490185 30.381676   1.0768001]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [ 7.27043  13.927661 21.019342 15.237109 48.631466]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [19.697414  21.649288  13.647534   4.4599338 28.965048 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [29.070913  20.43745    2.0849276 21.634525  53.97034  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [25.27558    5.1534185 10.155055  15.955279  32.58124  ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [25.075497 24.56471  28.401608 13.682084  5.700954]
