name: hatchback_0_40_-40_0_0_240_80_400---gt: [ True, 0, 95, 72]---predictions: [1.00, 6, 93, 72]
name: hatchback_-20_0_0_0_0_120_20_450---gt: [ False, 20, 138, 72]---predictions: [0.00, 20, 138, 72]
name: suv_-20_0_-40_0_20_40_80_400---gt: [ True, 20, 128, 154]---predictions: [0.99, 17, 119, 155]
name: sedan4door_-20_0_0_20_20_120_60_400---gt: [ True, 20, 146, 76]---predictions: [0.99, 18, 158, 77]
name: hybrid_-40_40_-40_40_0_80_40_400---gt: [ True, 40, 149, 91]---predictions: [1.00, 42, 145, 92]
name: suv_-20_20_-20_40_40_160_60_450---gt: [ True, 20, 129, 57]---predictions: [0.99, 21, 140, 58]
name: hatchback_-20_0_-20_20_20_80_40_450---gt: [ True, 20, 137, 94]---predictions: [0.97, 15, 136, 95]
name: suv_-40_20_-40_40_0_360_40_450---gt: [ True, 40, 97, 118]---predictions: [0.99, 40, 108, 119]
name: sedan2door_0_40_-40_20_20_360_40_400---gt: [ True, 0, 105, 104]---predictions: [1.00, 3, 100, 105]
name: hatchback_0_20_-20_0_20_320_20_450---gt: [ True, 0, 91, 88]---predictions: [1.00, 2, 88, 88]
name: sedan2door_-40_40_-40_20_40_40_20_400---gt: [ True, 40, 137, 91]---predictions: [1.00, 47, 149, 92]
name: suv_-40_20_0_0_20_200_20_400---gt: [ False, 40, 120, 71]---predictions: [0.00, 40, 120, 71]
name: sedan4door_-20_20_-20_20_40_280_80_450---gt: [ True, 20, 81, 101]---predictions: [0.99, 24, 83, 102]
name: sedan2door_-40_40_0_40_40_320_40_400---gt: [ True, 40, 70, 113]---predictions: [0.99, 39, 81, 113]
name: hybrid_0_40_-40_40_0_280_60_450---gt: [ True, 0, 90, 90]---predictions: [0.99, 4, 80, 90]
name: hybrid_-20_40_-20_40_0_40_40_450---gt: [ True, 20, 126, 103]---predictions: [1.00, 19, 127, 104]
name: hybrid_-20_0_-20_40_0_0_80_450---gt: [ True, 20, 107, 144]---predictions: [1.00, 17, 107, 144]
name: hatchback_0_20_0_40_40_120_60_450---gt: [ True, 0, 137, 85]---predictions: [0.98, 3, 139, 85]
name: suv_-40_40_-40_40_20_360_60_400---gt: [ True, 40, 95, 147]---predictions: [0.99, 38, 95, 147]
name: suv_-20_40_-20_20_40_120_40_450---gt: [ False, 20, 142, 67]---predictions: [0.01, 20, 142, 68]
name: suv_-20_20_-40_20_40_200_80_400---gt: [ True, 20, 109, 50]---predictions: [1.00, 20, 120, 51]
name: hatchback_-20_20_0_20_40_160_80_400---gt: [ True, 20, 134, 67]---predictions: [1.00, 20, 124, 67]
name: suv_-40_40_-20_0_0_280_80_400---gt: [ True, 40, 63, 92]---predictions: [0.99, 41, 54, 93]
name: hatchback_0_20_0_0_0_80_60_400---gt: [ True, 0, 140, 103]---predictions: [1.00, 3, 146, 104]
name: hatchback_-40_20_-40_40_20_240_80_400---gt: [ True, 40, 84, 62]---predictions: [0.99, 43, 86, 62]
name: suv_-40_40_-40_40_20_320_80_450---gt: [ True, 40, 72, 133]---predictions: [0.98, 41, 61, 133]
name: sedan4door_-20_40_-40_20_0_0_20_450---gt: [ True, 20, 103, 93]---predictions: [1.00, 22, 100, 93]
name: sedan2door_-20_20_0_0_0_0_40_400---gt: [ True, 20, 107, 116]---predictions: [1.00, 19, 109, 116]
name: suv_-40_20_-40_20_40_0_40_450---gt: [ True, 40, 97, 118]---predictions: [0.99, 42, 98, 119]
name: sedan4door_-40_0_-20_0_20_280_80_450---gt: [ True, 40, 74, 100]---predictions: [1.00, 39, 67, 100]
name: hatchback_0_0_0_40_40_320_80_450---gt: [ True, 0, 88, 119]---predictions: [1.00, 5, 89, 119]
name: suv_-20_40_-20_20_20_160_20_400---gt: [ False, 20, 0, 0]---predictions: [0.01, 20, 0, 0]
name: sedan4door_-20_0_-20_20_20_280_80_450---gt: [ True, 20, 81, 101]---predictions: [1.00, 21, 85, 102]
name: hybrid_0_40_0_0_40_160_60_450---gt: [ True, 0, 0, 0]---predictions: [0.99, 2, 82, 0]
name: sedan2door_-40_20_-40_40_40_120_20_450---gt: [ False, 40, 144, 78]---predictions: [0.01, 40, 144, 78]
name: sedan4door_-40_40_-40_40_20_200_40_450---gt: [ False, 40, 108, 68]---predictions: [0.06, 40, 108, 68]
name: sedan4door_-40_20_-40_40_0_320_60_450---gt: [ True, 40, 74, 123]---predictions: [0.99, 40, 73, 124]
name: suv_-40_0_-40_20_40_80_20_400---gt: [ True, 40, 151, 79]---predictions: [0.99, 43, 155, 79]
name: hatchback_0_40_-20_20_20_40_60_400---gt: [ True, 0, 119, 118]---predictions: [0.99, 4, 126, 119]
name: hatchback_-20_40_-20_20_20_240_20_400---gt: [ False, 20, 0, 0]---predictions: [0.01, 20, 0, 0]
name: sedan2door_-20_0_-40_0_0_200_40_450---gt: [ False, 20, 0, 0]---predictions: [0.02, 20, 0, 0]
name: suv_0_20_-20_40_40_80_60_400---gt: [ True, 0, 144, 102]---predictions: [1.00, 5, 144, 103]
name: hybrid_0_40_-20_40_20_0_80_450---gt: [ True, 0, 106, 133]---predictions: [0.99, 3, 105, 133]
name: hybrid_-20_40_0_40_40_40_60_400---gt: [ True, 20, 129, 120]---predictions: [1.00, 21, 126, 121]
name: sedan2door_-20_20_-40_0_40_0_80_450---gt: [ True, 20, 108, 150]---predictions: [0.99, 18, 111, 151]
name: sedan4door_0_40_0_20_20_360_60_400---gt: [ True, 0, 101, 120]---predictions: [1.00, 4, 85, 120]
name: hatchback_-20_20_-20_40_40_80_80_400---gt: [ True, 20, 142, 125]---predictions: [0.99, 20, 141, 125]
name: hybrid_-20_0_-20_0_0_40_60_450---gt: [ True, 20, 127, 120]---predictions: [0.99, 21, 132, 120]
