name: hatchback_-40_20_0_20_40_0_40_400---gt: [ True, -40, 94, 119]---predictions: [0.99, -41, 93, 119]
name: suv_-40_40_-40_0_40_160_20_450---gt: [ False, -40, 131, 72]---predictions: [0.00, -40, 131, 72]
name: hatchback_0_0_-20_40_20_320_60_450---gt: [ True, 0, 89, 109]---predictions: [1.00, 0, 77, 109]
name: hybrid_-40_40_-20_20_20_360_60_450---gt: [ True, -40, 105, 136]---predictions: [0.99, -40, 105, 137]
name: sedan4door_0_40_-20_40_0_0_80_450---gt: [ True, 0, 103, 137]---predictions: [1.00, 0, 104, 137]
name: hatchback_-40_0_-40_0_20_40_60_450---gt: [ True, -40, 126, 132]---predictions: [0.99, -40, 132, 132]
name: sedan2door_-40_0_-40_0_40_160_80_400---gt: [ True, -40, 133, 53]---predictions: [0.99, -41, 136, 53]
name: sedan4door_-40_40_-40_40_0_360_20_400---gt: [ True, -40, 99, 94]---predictions: [1.00, -40, 103, 95]
name: sedan2door_-20_0_0_40_0_360_80_450---gt: [ True, -20, 108, 150]---predictions: [0.99, -20, 107, 151]
name: suv_0_0_-40_0_0_40_40_450---gt: [ True, 0, 119, 102]---predictions: [0.99, -1, 109, 102]
name: sedan4door_-20_0_-40_40_0_120_80_400---gt: [ True, -20, 148, 89]---predictions: [1.00, -20, 154, 90]
name: sedan2door_-40_40_-40_40_20_80_60_400---gt: [ True, -40, 155, 107]---predictions: [0.99, -40, 155, 108]
name: suv_0_40_0_40_0_240_20_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: hatchback_-40_0_0_0_0_360_20_450---gt: [ True, -40, 98, 95]---predictions: [0.99, -40, 96, 95]
name: suv_-20_40_-20_20_20_160_60_450---gt: [ True, -20, 129, 57]---predictions: [1.00, -19, 131, 58]
name: suv_0_0_-40_0_40_360_60_450---gt: [ True, 0, 100, 119]---predictions: [1.00, -1, 94, 119]
name: hybrid_-40_40_-20_20_0_200_60_400---gt: [ True, -40, 106, 46]---predictions: [1.00, -40, 106, 46]
name: suv_0_40_0_20_0_240_40_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: hybrid_-40_20_-20_40_20_80_80_450---gt: [ True, -40, 145, 119]---predictions: [0.99, -42, 148, 120]
name: hybrid_-40_20_-20_40_20_320_60_400---gt: [ True, -40, 75, 119]---predictions: [0.99, -41, 76, 120]
name: hatchback_0_0_-40_0_0_360_60_450---gt: [ True, 0, 101, 116]---predictions: [1.00, 0, 99, 117]
name: sedan4door_-20_40_-20_0_0_240_80_400---gt: [ True, -20, 85, 72]---predictions: [1.00, -21, 87, 73]
name: suv_0_20_-40_20_20_80_40_400---gt: [ True, 0, 143, 83]---predictions: [1.00, -1, 145, 84]
name: hybrid_-20_0_0_40_20_280_20_400---gt: [ True, -20, 81, 79]---predictions: [1.00, -21, 79, 79]
name: suv_-20_0_-20_40_0_160_60_450---gt: [ True, -20, 129, 57]---predictions: [0.99, -21, 131, 58]
name: hybrid_0_0_0_0_40_40_40_400---gt: [ True, 0, 123, 98]---predictions: [1.00, -1, 118, 98]
name: hybrid_-40_0_0_40_20_240_80_450---gt: [ True, -40, 85, 75]---predictions: [1.00, -43, 80, 75]
name: sedan2door_0_40_0_0_0_40_80_400---gt: [ True, 0, 126, 135]---predictions: [1.00, -1, 131, 136]
name: suv_-20_20_0_40_0_120_60_400---gt: [ True, -20, 151, 73]---predictions: [1.00, -21, 154, 73]
name: hybrid_-20_0_0_40_20_40_80_400---gt: [ True, -20, 129, 140]---predictions: [0.99, -20, 126, 141]
name: suv_0_0_0_20_40_80_20_450---gt: [ True, 0, 136, 74]---predictions: [1.00, -1, 143, 75]
name: hybrid_-40_0_0_40_40_240_60_400---gt: [ True, -40, 83, 67]---predictions: [1.00, -42, 83, 68]
name: hatchback_-40_20_0_40_20_360_20_450---gt: [ True, -40, 98, 95]---predictions: [0.99, -40, 96, 95]
name: sedan2door_-40_20_-40_0_20_80_40_400---gt: [ True, -40, 154, 96]---predictions: [0.99, -41, 156, 97]
name: suv_-20_40_-20_0_40_200_60_450---gt: [ True, -20, 108, 53]---predictions: [1.00, -19, 118, 53]
name: sedan2door_0_20_-20_40_20_360_20_450---gt: [ True, 0, 106, 91]---predictions: [1.00, 0, 98, 92]
name: sedan2door_-40_20_0_40_40_280_80_400---gt: [ True, -40, 66, 105]---predictions: [0.99, -40, 62, 105]
name: hybrid_-20_0_-20_20_40_160_40_400---gt: [ False, -20, 123, 53]---predictions: [0.00, -20, 124, 53]
name: suv_0_20_0_20_20_120_60_450---gt: [ True, 0, 148, 95]---predictions: [1.00, 0, 143, 95]
name: hatchback_0_20_0_40_0_120_80_450---gt: [ True, 0, 137, 99]---predictions: [1.00, -1, 140, 100]
name: suv_-40_20_0_40_20_240_20_400---gt: [ False, -40, 87, 54]---predictions: [0.00, -40, 88, 55]
name: hybrid_-20_0_-40_0_0_120_60_400---gt: [ True, -20, 141, 70]---predictions: [1.00, -20, 138, 71]
name: hybrid_-40_20_0_20_40_120_40_450---gt: [ False, -40, 141, 70]---predictions: [0.00, -40, 141, 70]
name: hatchback_-20_0_-40_40_20_280_80_400---gt: [ True, -20, 78, 95]---predictions: [1.00, -18, 74, 96]
name: sedan2door_-40_40_-20_20_40_280_80_400---gt: [ True, -40, 66, 105]---predictions: [0.99, -41, 62, 105]
name: sedan2door_-40_0_0_40_20_360_60_400---gt: [ True, -40, 105, 154]---predictions: [0.98, -40, 108, 154]
name: sedan4door_0_20_-40_0_20_240_80_450---gt: [ True, 0, 95, 81]---predictions: [1.00, -1, 101, 82]
name: sedan2door_0_0_-20_40_20_240_60_400---gt: [ True, 0, 95, 58]---predictions: [1.00, -1, 97, 58]
name: hatchback_-40_20_-20_20_20_40_80_400---gt: [ True, -40, 129, 163]---predictions: [0.99, -42, 133, 163]
name: suv_-20_0_-40_20_20_360_20_400---gt: [ True, -20, 98, 80]---predictions: [1.00, -20, 94, 81]
name: hybrid_-20_20_-40_0_40_160_60_400---gt: [ True, -20, 126, 54]---predictions: [1.00, -19, 133, 55]
name: hybrid_0_20_0_20_20_160_40_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: sedan2door_-40_40_0_20_20_40_20_400---gt: [ True, -40, 137, 91]---predictions: [1.00, -41, 139, 92]
name: sedan2door_-40_40_-20_20_20_280_20_400---gt: [ True, -40, 70, 87]---predictions: [1.00, -42, 66, 88]
name: suv_-20_40_-40_40_40_240_20_450---gt: [ False, -20, 85, 69]---predictions: [0.00, -20, 85, 70]
name: hybrid_-20_0_-40_0_40_0_80_400---gt: [ True, -20, 106, 150]---predictions: [1.00, -20, 108, 150]
name: hatchback_0_0_0_0_40_360_40_400---gt: [ True, 0, 99, 98]---predictions: [1.00, 0, 91, 99]
name: hybrid_-20_40_-40_40_40_160_60_450---gt: [ True, -20, 124, 62]---predictions: [1.00, -19, 122, 62]
name: hatchback_-40_20_-40_0_40_320_40_450---gt: [ True, -40, 76, 105]---predictions: [1.00, -41, 74, 105]
name: hatchback_-40_40_0_40_40_360_20_400---gt: [ True, -40, 95, 91]---predictions: [0.99, -42, 96, 91]
name: hatchback_0_20_-40_40_20_200_80_400---gt: [ True, 0, 113, 62]---predictions: [1.00, -1, 119, 62]
name: hybrid_-40_40_0_40_0_280_60_450---gt: [ True, -40, 76, 92]---predictions: [0.99, -41, 79, 93]
name: suv_-20_0_-40_0_20_120_40_450---gt: [ False, -20, 142, 67]---predictions: [0.00, -20, 142, 68]
name: suv_0_20_-20_40_40_240_80_400---gt: [ True, 0, 91, 68]---predictions: [1.00, -1, 96, 69]
name: hybrid_-20_0_-40_20_40_40_80_450---gt: [ True, -20, 126, 136]---predictions: [1.00, -20, 130, 137]
name: suv_0_20_-20_20_40_0_40_450---gt: [ True, 0, 100, 99]---predictions: [1.00, 0, 96, 99]
name: sedan2door_-20_40_-40_0_0_240_60_450---gt: [ True, -20, 88, 77]---predictions: [0.99, -18, 88, 77]
name: hybrid_0_40_-20_40_0_320_20_450---gt: [ True, 0, 95, 86]---predictions: [1.00, 0, 93, 87]
name: sedan2door_-20_0_0_0_40_120_60_450---gt: [ True, -20, 141, 81]---predictions: [0.99, -19, 142, 81]
name: suv_0_40_-20_40_20_360_80_450---gt: [ True, 0, 101, 140]---predictions: [0.99, 0, 105, 140]
name: suv_0_0_-20_20_40_360_20_400---gt: [ True, 0, 98, 78]---predictions: [1.00, 0, 91, 79]
name: suv_0_20_-40_0_20_160_40_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: hybrid_-40_20_-20_20_20_280_40_450---gt: [ True, -40, 78, 88]---predictions: [0.99, -42, 74, 89]
name: sedan4door_-40_20_-20_20_20_0_20_400---gt: [ True, -40, 99, 94]---predictions: [1.00, -41, 100, 95]
name: sedan2door_-40_0_0_0_20_200_80_450---gt: [ True, -40, 107, 59]---predictions: [1.00, -40, 109, 59]
name: sedan2door_-20_20_0_20_40_160_60_450---gt: [ True, -20, 125, 67]---predictions: [1.00, -20, 125, 67]
name: suv_-40_40_-20_0_40_200_20_450---gt: [ False, -40, 119, 75]---predictions: [0.00, -40, 119, 75]
name: sedan4door_-40_20_-40_40_0_240_20_450---gt: [ False, -40, 82, 65]---predictions: [0.00, -40, 82, 66]
name: hybrid_-20_0_0_40_0_80_40_400---gt: [ True, -20, 142, 88]---predictions: [1.00, -19, 145, 89]
name: sedan4door_-20_0_-20_0_40_40_40_400---gt: [ True, -20, 127, 108]---predictions: [1.00, -20, 124, 108]
name: sedan2door_-40_0_-20_40_0_320_80_450---gt: [ True, -40, 77, 141]---predictions: [0.99, -43, 74, 142]
name: sedan4door_-40_0_-20_20_0_120_20_450---gt: [ False, -40, 143, 73]---predictions: [0.00, -40, 144, 73]
name: sedan2door_0_0_-40_0_20_120_20_400---gt: [ False, 0, 144, 73]---predictions: [0.00, 0, 144, 73]
name: suv_-20_0_-40_40_20_0_20_450---gt: [ True, -20, 100, 85]---predictions: [1.00, -18, 102, 86]
name: hybrid_0_40_-40_40_40_0_40_450---gt: [ True, 0, 105, 99]---predictions: [1.00, 0, 103, 100]
name: hatchback_-40_0_-20_20_0_280_80_450---gt: [ True, -40, 77, 94]---predictions: [0.98, -41, 75, 95]
name: hybrid_-20_0_0_40_0_80_80_450---gt: [ True, -20, 139, 115]---predictions: [0.99, -20, 142, 116]
name: sedan2door_-20_20_-20_0_20_80_20_400---gt: [ True, -20, 144, 84]---predictions: [0.99, -24, 145, 85]
name: sedan2door_-20_20_-40_0_0_280_40_450---gt: [ True, -20, 80, 93]---predictions: [1.00, -19, 78, 93]
name: sedan4door_0_0_-20_20_40_40_60_450---gt: [ True, 0, 120, 119]---predictions: [1.00, 0, 122, 119]
name: hatchback_-40_0_0_0_40_120_80_400---gt: [ True, -40, 154, 91]---predictions: [0.99, -40, 160, 91]
name: sedan4door_-20_20_-40_40_0_0_60_450---gt: [ True, -20, 103, 133]---predictions: [1.00, -20, 108, 134]
name: hatchback_-20_40_-20_0_20_80_60_450---gt: [ True, -20, 138, 105]---predictions: [0.99, -19, 137, 106]
name: sedan2door_-20_0_0_0_20_80_60_450---gt: [ True, -20, 143, 103]---predictions: [0.99, -20, 144, 104]
name: hatchback_-40_0_-20_40_40_120_20_400---gt: [ False, -40, 148, 67]---predictions: [0.00, -40, 148, 67]
name: hatchback_-40_20_-20_20_20_40_40_450---gt: [ True, -40, 126, 111]---predictions: [0.99, -41, 129, 112]
name: suv_-40_0_0_20_20_320_60_400---gt: [ True, -40, 64, 119]---predictions: [0.99, -41, 64, 119]
name: suv_-40_20_-40_20_20_0_20_450---gt: [ True, -40, 98, 89]---predictions: [0.99, -40, 102, 89]
name: sedan4door_-20_40_-20_0_20_360_40_450---gt: [ True, -20, 103, 114]---predictions: [1.00, -20, 102, 114]
name: hatchback_0_40_-40_40_0_0_20_400---gt: [ True, 0, 99, 84]---predictions: [1.00, -1, 97, 85]
name: suv_-20_40_0_0_0_0_20_400---gt: [ True, -20, 98, 80]---predictions: [1.00, -19, 97, 81]
name: hatchback_-20_40_0_20_40_240_60_450---gt: [ True, -20, 93, 71]---predictions: [1.00, -18, 89, 72]
name: suv_-20_20_-20_40_0_0_80_400---gt: [ True, -20, 99, 156]---predictions: [0.99, -20, 95, 156]
name: hybrid_0_20_-20_20_0_280_20_400---gt: [ True, 0, 85, 82]---predictions: [1.00, -1, 81, 82]
name: hatchback_0_0_-40_0_20_160_80_450---gt: [ True, 0, 127, 81]---predictions: [1.00, -1, 130, 82]
name: hatchback_0_40_-20_0_20_240_40_450---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: sedan2door_0_20_-20_40_0_120_40_450---gt: [ False, 0, 142, 83]---predictions: [0.00, 0, 142, 83]
name: hybrid_-40_0_0_20_20_0_80_450---gt: [ True, -40, 105, 153]---predictions: [0.99, -42, 106, 153]
name: sedan2door_-40_20_0_20_20_280_40_450---gt: [ True, -40, 74, 91]---predictions: [0.98, -42, 76, 92]
name: sedan4door_-20_20_-40_0_0_240_40_450---gt: [ False, -20, 89, 70]---predictions: [0.00, -20, 90, 70]
name: hybrid_-40_40_-20_0_0_160_40_400---gt: [ False, -40, 127, 51]---predictions: [0.00, -40, 127, 52]
name: sedan2door_-20_0_0_40_40_80_80_450---gt: [ True, -20, 142, 116]---predictions: [0.99, -19, 148, 117]
name: suv_-20_20_-40_40_40_120_60_450---gt: [ True, -20, 145, 78]---predictions: [1.00, -20, 152, 79]
name: hybrid_0_20_-20_40_20_160_20_450---gt: [ False, 0, 117, 72]---predictions: [0.00, 0, 118, 72]
name: hybrid_-20_0_0_20_20_200_20_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: sedan4door_0_20_-20_20_40_240_40_450---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: sedan2door_0_20_0_0_0_160_80_450---gt: [ True, 0, 123, 77]---predictions: [1.00, 0, 122, 77]
name: sedan4door_-20_0_0_40_0_240_40_450---gt: [ False, -20, 89, 70]---predictions: [0.00, -20, 90, 70]
name: sedan2door_-40_20_0_20_20_160_60_400---gt: [ True, -40, 133, 57]---predictions: [1.00, -40, 132, 57]
name: hybrid_0_40_-40_20_40_0_20_450---gt: [ True, 0, 105, 87]---predictions: [1.00, 0, 99, 87]
name: hatchback_0_40_-20_0_40_160_60_450---gt: [ True, 0, 128, 70]---predictions: [1.00, -1, 132, 70]
name: hatchback_-40_20_-40_20_20_360_80_400---gt: [ True, -40, 95, 157]---predictions: [0.98, -40, 92, 158]
name: hatchback_-20_20_-20_20_0_40_40_450---gt: [ True, -20, 122, 106]---predictions: [1.00, -20, 125, 107]
name: sedan2door_-20_0_-20_40_0_40_20_450---gt: [ True, -20, 128, 94]---predictions: [1.00, -20, 126, 94]
name: hybrid_0_20_-20_20_20_320_20_400---gt: [ True, 0, 93, 82]---predictions: [1.00, -1, 90, 82]
name: hatchback_-40_40_-20_40_40_40_20_400---gt: [ True, -40, 127, 88]---predictions: [1.00, -41, 124, 89]
name: sedan2door_-40_0_-20_0_20_240_60_400---gt: [ True, -40, 81, 66]---predictions: [1.00, -40, 81, 66]
name: sedan4door_-20_40_-40_20_20_320_60_450---gt: [ True, -20, 84, 120]---predictions: [0.99, -22, 87, 120]
name: sedan2door_0_20_-20_40_40_80_60_450---gt: [ True, 0, 137, 102]---predictions: [1.00, -1, 140, 103]
name: hybrid_-20_40_0_40_40_40_80_400---gt: [ True, -20, 129, 140]---predictions: [1.00, -20, 133, 141]
name: sedan2door_-40_20_-40_40_40_360_40_400---gt: [ True, -40, 106, 128]---predictions: [0.97, -41, 109, 129]
name: hybrid_0_20_0_20_40_280_80_450---gt: [ True, 0, 89, 102]---predictions: [1.00, -1, 84, 102]
name: hatchback_-40_40_-20_20_40_280_20_400---gt: [ True, -40, 78, 80]---predictions: [0.98, -40, 74, 81]
name: hatchback_0_20_-40_0_40_0_60_450---gt: [ True, 0, 101, 116]---predictions: [1.00, 0, 98, 117]
name: suv_0_20_-40_40_20_0_80_450---gt: [ True, 0, 101, 140]---predictions: [1.00, -1, 108, 140]
name: sedan4door_-20_20_0_20_20_120_20_450---gt: [ False, -20, 137, 72]---predictions: [0.00, -20, 137, 73]
name: hybrid_-20_0_-40_20_40_80_20_450---gt: [ True, -20, 136, 86]---predictions: [1.00, -20, 138, 86]
name: hatchback_-40_0_-40_20_20_40_40_450---gt: [ True, -40, 126, 111]---predictions: [0.99, -41, 128, 112]
name: sedan2door_-40_40_0_0_20_40_60_400---gt: [ True, -40, 140, 139]---predictions: [0.99, -42, 141, 139]
name: sedan4door_0_20_-20_20_20_0_40_400---gt: [ True, 0, 100, 101]---predictions: [1.00, 0, 96, 102]
name: suv_0_0_0_40_0_0_80_400---gt: [ True, 0, 99, 146]---predictions: [1.00, -1, 93, 146]
name: sedan4door_-40_40_-40_0_0_360_40_400---gt: [ True, -40, 99, 126]---predictions: [0.99, -41, 96, 127]
name: suv_-20_20_0_0_0_80_80_450---gt: [ True, -20, 142, 123]---predictions: [1.00, -19, 148, 124]
name: suv_-20_20_0_20_0_160_60_400---gt: [ True, -20, 131, 49]---predictions: [1.00, -18, 130, 49]
name: sedan2door_0_0_-20_0_40_80_20_400---gt: [ True, 0, 138, 79]---predictions: [1.00, -2, 137, 80]
name: sedan2door_-20_20_0_20_40_0_40_400---gt: [ True, -20, 107, 116]---predictions: [0.99, -19, 112, 116]
name: hybrid_-20_0_-40_40_40_160_20_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: sedan2door_0_40_0_40_0_160_80_450---gt: [ True, 0, 123, 77]---predictions: [1.00, 0, 122, 77]
name: sedan4door_-20_40_-40_40_20_160_40_450---gt: [ False, -20, 124, 64]---predictions: [0.00, -20, 125, 64]
name: sedan2door_0_40_0_20_20_200_20_450---gt: [ False, 0, 113, 83]---predictions: [0.00, 0, 113, 83]
name: hatchback_-40_20_-20_0_20_280_60_400---gt: [ True, -40, 72, 86]---predictions: [0.98, -40, 70, 86]
name: hybrid_-20_40_-40_40_0_240_60_400---gt: [ True, -20, 87, 70]---predictions: [0.99, -20, 83, 70]
name: hatchback_-20_0_-40_40_40_0_40_400---gt: [ True, -20, 98, 109]---predictions: [1.00, -18, 95, 110]
name: hybrid_0_20_-40_0_0_200_80_450---gt: [ True, 0, 109, 74]---predictions: [1.00, -1, 108, 75]
name: suv_-20_20_-20_20_0_200_60_450---gt: [ True, -20, 108, 53]---predictions: [1.00, -20, 111, 53]
name: sedan4door_-20_20_0_20_20_0_40_450---gt: [ True, -20, 103, 114]---predictions: [1.00, -20, 106, 114]
name: hybrid_-20_20_0_40_0_360_20_400---gt: [ True, -20, 105, 85]---predictions: [1.00, -19, 106, 85]
name: sedan4door_-20_0_-40_20_20_120_80_450---gt: [ True, -20, 143, 93]---predictions: [1.00, -20, 146, 93]
name: hatchback_-40_40_-20_20_0_320_20_450---gt: [ True, -40, 79, 91]---predictions: [1.00, -42, 76, 91]
name: sedan2door_-40_0_-20_40_0_0_80_400---gt: [ True, -40, 105, 168]---predictions: [0.99, -41, 105, 169]
name: sedan4door_-40_20_-40_20_20_160_20_450---gt: [ False, -40, 127, 70]---predictions: [0.00, -40, 127, 70]
name: sedan2door_-40_40_-40_20_0_0_20_450---gt: [ True, -40, 106, 99]---predictions: [0.99, -40, 99, 100]
name: suv_-40_20_-40_40_0_360_60_450---gt: [ True, -40, 98, 141]---predictions: [0.99, -41, 100, 142]
name: hybrid_0_40_0_20_40_160_20_450---gt: [ False, 0, 117, 76]---predictions: [0.00, 0, 118, 77]
name: sedan2door_-40_40_-20_40_0_80_60_400---gt: [ True, -40, 155, 107]---predictions: [0.99, -40, 156, 108]
name: hybrid_0_0_0_20_0_320_80_450---gt: [ True, 0, 93, 122]---predictions: [1.00, 0, 88, 123]
name: hatchback_-40_0_-20_20_40_120_80_400---gt: [ True, -40, 154, 91]---predictions: [0.99, -40, 164, 91]
name: sedan2door_0_40_0_0_20_240_80_400---gt: [ True, 0, 89, 81]---predictions: [1.00, 0, 84, 82]
name: sedan4door_-20_20_0_40_40_0_20_400---gt: [ True, -20, 101, 90]---predictions: [1.00, -19, 100, 90]
name: suv_-40_0_-20_40_0_0_20_450---gt: [ True, -40, 98, 89]---predictions: [1.00, -40, 100, 89]
name: sedan2door_0_40_-20_40_0_360_40_450---gt: [ True, 0, 106, 105]---predictions: [1.00, 0, 104, 105]
name: sedan2door_0_40_-40_20_0_120_80_450---gt: [ True, 0, 134, 94]---predictions: [1.00, 0, 135, 94]
name: sedan4door_-40_40_0_0_40_120_40_450---gt: [ False, -40, 146, 74]---predictions: [0.00, -40, 147, 75]
name: sedan2door_-20_0_0_40_40_120_40_400---gt: [ False, -20, 143, 73]---predictions: [0.00, -20, 144, 74]
name: sedan2door_-40_20_-20_20_20_0_20_450---gt: [ True, -40, 106, 99]---predictions: [0.99, -41, 101, 100]
name: sedan2door_-40_40_0_40_20_200_20_400---gt: [ False, -40, 113, 79]---predictions: [0.00, -40, 113, 79]
name: sedan4door_-20_0_-40_20_20_120_20_450---gt: [ False, -20, 137, 72]---predictions: [0.00, -20, 137, 73]
name: hybrid_-40_20_-40_40_40_320_40_450---gt: [ True, -40, 80, 106]---predictions: [1.00, -42, 79, 106]
name: sedan2door_0_0_-40_20_40_40_20_450---gt: [ True, 0, 123, 93]---predictions: [1.00, -1, 119, 94]
name: suv_0_20_0_20_20_40_40_400---gt: [ True, 0, 120, 100]---predictions: [1.00, 0, 122, 101]
name: hybrid_0_40_-40_20_20_160_40_400---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: suv_0_40_-40_20_0_240_80_450---gt: [ True, 0, 94, 74]---predictions: [0.99, -1, 88, 75]
name: hybrid_-40_40_-40_20_20_200_20_450---gt: [ False, -40, 114, 77]---predictions: [0.00, -40, 114, 78]
name: hybrid_-20_20_0_20_0_160_60_400---gt: [ True, -20, 126, 54]---predictions: [1.00, -19, 131, 55]
name: sedan2door_-20_20_0_20_20_120_80_450---gt: [ True, -20, 142, 88]---predictions: [1.00, -19, 151, 89]
name: suv_-40_40_0_0_40_40_60_400---gt: [ True, -40, 134, 140]---predictions: [0.99, -43, 137, 141]
