name: sedan4door_0_40_-40_20_20_230_30_420---gt: [ False, 28, 82, 149]---predictions: [0.27, 33, 53, 149]
name: hatchback_-20_40_0_20_40_50_30_420---gt: [ True, 34, 97, 149]---predictions: [0.93, 33, 63, 149]
name: hybrid_0_0_-40_40_20_50_70_420---gt: [ False, 34, 119, 0]---predictions: [0.41, 38, 92, 0]
name: hatchback_-40_0_-40_0_0_230_30_420---gt: [ True, 24, 58, 0]---predictions: [0.30, 32, 34, 0]
name: hatchback_-20_0_-20_20_20_20_30_420---gt: [ True, 30, 97, 0]---predictions: [0.93, 28, 79, 0]
name: sedan4door_-40_0_-40_0_0_50_30_420---gt: [ True, 36, 101, 0]---predictions: [0.67, 37, 101, 0]
name: suv_-20_20_-20_20_0_230_70_420---gt: [ True, 24, 60, 74]---predictions: [0.37, 29, 40, 75]
name: hybrid_-20_40_-20_40_20_50_70_420---gt: [ True, 35, 125, 149]---predictions: [0.74, 37, 97, 149]
name: sedan4door_-20_20_-40_0_0_140_30_420---gt: [ True, 35, 66, 74]---predictions: [0.33, 36, 66, 75]
name: hatchback_-20_0_0_40_0_140_30_420---gt: [ True, 36, 65, 0]---predictions: [0.67, 33, 45, 0]
name: hatchback_0_40_-20_0_0_230_70_420---gt: [ False, 27, 62, 149]---predictions: [0.25, 29, 41, 149]
name: hatchback_-40_40_-40_20_0_20_70_420---gt: [ True, 30, 151, 149]---predictions: [0.83, 31, 93, 149]
name: sedan2door_-40_0_0_20_20_140_30_420---gt: [ True, 36, 65, 0]---predictions: [0.84, 32, 72, 0]
name: sedan2door_-40_40_0_20_20_140_70_420---gt: [ True, 38, 66, 149]---predictions: [0.88, 42, 42, 149]
name: sedan2door_-20_40_-20_40_0_230_30_420---gt: [ True, 22, 64, 149]---predictions: [0.23, 33, 62, 149]
name: hatchback_0_0_-40_20_20_20_70_420---gt: [ False, 29, 130, 0]---predictions: [0.47, 32, 77, 0]
name: hatchback_0_0_-20_0_40_140_70_420---gt: [ False, 36, 79, 0]---predictions: [0.31, 34, 51, 0]
