name: hatchback_0_20_-20_40_40_40_20_400---gt: [ True, 0, 118, 88]---predictions: [1.00, 3, 120, 88]
name: sedan4door_0_20_-20_0_20_120_40_400---gt: [ False, 0, 148, 80]---predictions: [0.01, 0, 148, 81]
name: sedan4door_-20_40_-40_40_40_120_80_400---gt: [ True, 20, 148, 89]---predictions: [1.00, 18, 153, 90]
name: sedan4door_-40_0_-20_20_0_80_40_450---gt: [ True, 40, 145, 99]---predictions: [0.99, 46, 149, 100]
name: sedan4door_0_0_-40_40_0_120_60_400---gt: [ True, 0, 138, 77]---predictions: [0.99, 3, 152, 77]
name: suv_0_40_0_0_0_280_40_450---gt: [ True, 0, 86, 76]---predictions: [1.00, 3, 84, 77]
name: hybrid_-20_0_-20_40_20_320_20_400---gt: [ True, 20, 88, 83]---predictions: [0.99, 22, 87, 84]
name: hybrid_0_0_0_40_0_360_80_400---gt: [ True, 0, 105, 136]---predictions: [1.00, 3, 118, 137]
name: sedan2door_0_0_0_20_0_160_80_400---gt: [ True, 0, 126, 72]---predictions: [1.00, 2, 127, 73]
name: hatchback_0_40_-20_0_20_40_60_400---gt: [ True, 0, 119, 118]---predictions: [1.00, 6, 117, 119]
name: hatchback_0_40_0_20_20_120_60_450---gt: [ True, 0, 137, 85]---predictions: [0.97, 3, 137, 85]
name: suv_0_20_-40_40_20_0_20_400---gt: [ True, 0, 98, 78]---predictions: [0.99, 3, 95, 79]
name: sedan4door_0_40_-40_0_40_80_80_400---gt: [ True, 0, 140, 120]---predictions: [0.98, 7, 144, 121]
name: sedan4door_-40_40_-40_0_20_240_40_450---gt: [ False, 40, 87, 69]---predictions: [0.02, 40, 87, 70]
name: sedan2door_-20_20_0_20_40_160_40_450---gt: [ False, 20, 0, 0]---predictions: [0.01, 20, 0, 0]
name: hatchback_-40_20_0_20_0_280_60_400---gt: [ True, 40, 72, 86]---predictions: [0.99, 46, 84, 86]
name: suv_-40_40_0_0_20_40_60_400---gt: [ True, 40, 134, 140]---predictions: [1.00, 42, 131, 141]
name: sedan2door_-40_20_0_20_40_120_20_450---gt: [ False, 40, 144, 78]---predictions: [0.00, 40, 144, 78]
name: hatchback_0_40_0_0_20_200_80_450---gt: [ True, 0, 113, 69]---predictions: [1.00, 3, 107, 69]
name: sedan2door_-40_0_0_0_40_40_60_450---gt: [ True, 40, 135, 135]---predictions: [1.00, 44, 123, 135]
name: hybrid_-40_20_-40_40_0_320_20_400---gt: [ True, 40, 77, 84]---predictions: [1.00, 47, 85, 85]
name: sedan4door_-20_40_-20_0_20_280_40_450---gt: [ True, 20, 82, 92]---predictions: [0.99, 18, 81, 92]
name: hybrid_-40_40_-40_0_0_40_20_400---gt: [ True, 40, 131, 85]---predictions: [1.00, 45, 134, 86]
name: hatchback_-20_20_0_0_20_360_40_450---gt: [ True, 20, 100, 110]---predictions: [1.00, 20, 109, 110]
name: sedan2door_-20_0_-20_20_0_320_60_450---gt: [ True, 20, 86, 122]---predictions: [1.00, 19, 78, 123]
name: suv_0_20_0_20_40_320_60_450---gt: [ True, 0, 87, 110]---predictions: [0.99, 3, 84, 110]
name: hatchback_-20_40_-20_0_20_40_40_400---gt: [ True, 20, 124, 105]---predictions: [1.00, 22, 131, 106]
name: sedan2door_-20_20_-40_40_20_360_80_450---gt: [ True, 20, 108, 150]---predictions: [0.98, 24, 109, 151]
name: hybrid_-40_20_0_0_20_120_80_450---gt: [ True, 40, 144, 88]---predictions: [1.00, 46, 145, 88]
name: suv_-40_20_0_40_20_160_60_400---gt: [ True, 40, 137, 45]---predictions: [0.92, 48, 132, 45]
name: hybrid_-20_40_-20_0_0_80_20_450---gt: [ True, 20, 136, 86]---predictions: [1.00, 24, 143, 86]
name: sedan2door_-20_20_-20_20_20_320_80_450---gt: [ True, 20, 87, 135]---predictions: [0.99, 24, 74, 135]
name: sedan2door_-40_20_-20_0_20_120_20_450---gt: [ False, 40, 144, 78]---predictions: [0.00, 40, 144, 78]
name: suv_-20_20_-20_20_0_40_80_400---gt: [ True, 20, 128, 154]---predictions: [1.00, 18, 123, 155]
name: suv_-40_20_-40_40_20_360_60_400---gt: [ True, 40, 95, 147]---predictions: [1.00, 43, 91, 147]
name: sedan2door_-20_20_-20_40_40_160_60_450---gt: [ True, 20, 125, 67]---predictions: [0.97, 18, 131, 67]
name: hatchback_-20_40_-40_20_20_160_20_400---gt: [ False, 20, 0, 0]---predictions: [0.00, 20, 0, 0]
name: hybrid_-20_20_-20_20_20_240_60_400---gt: [ True, 20, 87, 70]---predictions: [1.00, 20, 65, 70]
name: sedan4door_-20_40_-40_40_0_280_20_450---gt: [ True, 20, 84, 79]---predictions: [0.99, 18, 86, 79]
name: hybrid_-20_0_0_20_0_160_20_450---gt: [ False, 20, 0, 0]---predictions: [0.00, 20, 0, 0]
name: sedan2door_-20_0_-40_0_0_360_80_400---gt: [ True, 20, 108, 157]---predictions: [1.00, 22, 114, 157]
name: hybrid_-20_0_-20_20_20_240_80_400---gt: [ True, 20, 85, 75]---predictions: [0.99, 19, 75, 76]
name: sedan4door_-20_20_-40_0_20_40_20_450---gt: [ True, 20, 123, 92]---predictions: [0.99, 25, 128, 93]
name: hybrid_-40_20_-40_0_20_280_40_450---gt: [ True, 40, 78, 88]---predictions: [0.97, 42, 75, 89]
name: suv_0_0_-40_20_0_160_20_400---gt: [ False, 0, 0, 0]---predictions: [0.01, 0, 0, 0]
name: suv_0_20_-20_40_0_360_80_400---gt: [ True, 0, 99, 146]---predictions: [0.97, 3, 100, 146]
name: sedan2door_0_20_0_40_40_40_40_400---gt: [ True, 0, 125, 105]---predictions: [1.00, 3, 116, 105]
