name: sedan4door_0_15_-8_35_20_230_60_420---gt: [ True, 0, 97, 64]---predictions: [1.00, -1, 102, 65]
name: sedan4door_0_23_-8_35_20_80_30_420---gt: [ True, 0, 136, 83]---predictions: [1.00, -4, 126, 84]
name: sedan2door_-20_15_-8_35_15_20_60_420---gt: [ True, -20, 121, 132]---predictions: [1.00, -28, 124, 133]
name: sedan4door_0_15_-8_35_20_140_60_420---gt: [ True, 0, 131, 70]---predictions: [0.98, -7, 121, 71]
name: suv_-40_15_-30_10_20_80_60_420---gt: [ True, -40, 154, 110]---predictions: [0.99, -37, 154, 110]
name: hybrid_-20_15_-8_35_15_140_30_420---gt: [ False, -20, 129, 60]---predictions: [0.00, -20, 129, 60]
name: hatchback_0_23_-30_10_20_230_60_420---gt: [ True, 0, 100, 62]---predictions: [0.99, -6, 100, 62]
name: sedan4door_-20_23_-30_10_20_80_60_420---gt: [ True, -20, 143, 106]---predictions: [0.99, -23, 145, 106]
name: suv_0_45_-8_10_20_80_30_420---gt: [ True, 0, 140, 77]---predictions: [1.00, -4, 141, 77]
name: sedan2door_-40_23_-8_35_15_230_60_420---gt: [ True, -40, 88, 64]---predictions: [1.00, -38, 93, 64]
name: sedan4door_0_23_-30_35_20_230_30_420---gt: [ False, 0, 106, 82]---predictions: [0.00, 0, 107, 82]
name: hybrid_-20_15_-30_35_15_140_60_420---gt: [ True, -20, 133, 64]---predictions: [0.97, -20, 134, 64]
name: hybrid_-40_23_-30_35_20_20_60_420---gt: [ True, -40, 119, 140]---predictions: [0.99, -32, 121, 140]
name: sedan4door_0_45_-30_35_20_20_30_420---gt: [ True, 0, 109, 97]---predictions: [1.00, -1, 117, 97]
name: sedan4door_-20_23_-30_10_15_80_60_420---gt: [ True, -20, 143, 106]---predictions: [0.99, -22, 145, 106]
name: sedan2door_-40_15_-8_35_20_20_30_420---gt: [ True, -40, 122, 111]---predictions: [0.99, -26, 126, 111]
name: hybrid_0_45_-30_35_20_140_30_420---gt: [ False, 0, 0, 0]---predictions: [0.01, 0, 0, 0]
name: hatchback_0_15_-8_35_20_140_30_420---gt: [ False, 0, 144, 73]---predictions: [0.00, 0, 145, 73]
name: sedan2door_-20_23_-30_10_15_20_30_420---gt: [ True, -20, 119, 101]---predictions: [0.99, -25, 129, 102]
name: hybrid_-40_45_-8_10_20_20_30_420---gt: [ True, -40, 118, 102]---predictions: [0.99, -29, 123, 102]
name: hybrid_-40_15_-30_10_20_230_30_420---gt: [ False, -40, 88, 70]---predictions: [0.00, -40, 88, 70]
name: hybrid_0_15_-8_35_15_80_30_420---gt: [ True, 0, 133, 77]---predictions: [1.00, -1, 127, 77]
name: sedan2door_-40_45_-30_10_20_20_60_420---gt: [ True, -40, 123, 149]---predictions: [1.00, -36, 117, 149]
name: sedan4door_-40_23_-8_35_20_140_60_420---gt: [ True, -40, 144, 65]---predictions: [0.96, -38, 139, 66]
name: hatchback_0_23_-8_10_15_80_30_420---gt: [ True, 0, 136, 81]---predictions: [1.00, -3, 127, 82]
name: sedan2door_-40_15_-30_10_15_230_30_420---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: suv_0_15_-30_10_15_140_60_420---gt: [ True, 0, 148, 75]---predictions: [0.96, -9, 127, 75]
name: hybrid_-20_23_-30_10_15_20_30_420---gt: [ True, -20, 116, 94]---predictions: [0.99, -21, 130, 95]
name: suv_0_15_-8_10_20_230_30_420---gt: [ False, 0, 107, 74]---predictions: [0.00, 0, 108, 74]
name: suv_-40_23_-8_10_15_140_30_420---gt: [ False, -40, 142, 59]---predictions: [0.00, -40, 142, 59]
name: suv_-40_23_-30_35_20_230_60_420---gt: [ True, -40, 88, 54]---predictions: [1.00, -29, 95, 55]
name: suv_0_45_-30_35_20_140_30_420---gt: [ False, 0, 144, 64]---predictions: [0.00, 0, 144, 65]
name: suv_-20_45_-8_35_20_80_30_420---gt: [ True, -20, 144, 84]---predictions: [0.99, -23, 150, 84]
name: hybrid_-40_23_-30_10_15_20_60_420---gt: [ True, -40, 119, 140]---predictions: [0.99, -32, 120, 140]
name: suv_0_45_-8_10_15_140_30_420---gt: [ False, 0, 144, 64]---predictions: [0.00, 0, 144, 65]
name: sedan2door_0_45_-8_35_20_230_30_420---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: sedan4door_0_23_-8_35_15_80_60_420---gt: [ True, 0, 138, 104]---predictions: [1.00, -1, 149, 104]
name: hybrid_-20_15_-8_10_15_80_60_420---gt: [ True, -20, 142, 99]---predictions: [1.00, -16, 138, 99]
name: sedan2door_-20_23_-30_35_15_230_60_420---gt: [ True, -20, 89, 69]---predictions: [1.00, -7, 104, 69]
name: suv_-40_45_-8_35_20_140_30_420---gt: [ False, -40, 142, 59]---predictions: [0.00, -40, 142, 59]
name: suv_-20_45_-30_35_20_80_60_420---gt: [ True, -20, 145, 104]---predictions: [0.99, -15, 147, 105]
name: hybrid_-40_45_-30_10_20_20_60_420---gt: [ True, -40, 119, 140]---predictions: [1.00, -36, 122, 140]
name: sedan2door_-20_45_-8_10_15_140_30_420---gt: [ False, -20, 141, 72]---predictions: [0.00, -20, 142, 72]
name: hybrid_-20_23_-30_35_20_230_60_420---gt: [ True, -20, 93, 67]---predictions: [0.97, -13, 101, 68]
name: suv_-40_15_-30_10_15_80_30_420---gt: [ True, -40, 150, 86]---predictions: [0.99, -31, 152, 87]
name: sedan4door_-40_15_-8_10_20_140_30_420---gt: [ False, -40, 139, 65]---predictions: [0.00, -40, 139, 65]
name: hybrid_-40_45_-30_10_15_20_60_420---gt: [ True, -40, 119, 140]---predictions: [1.00, -35, 123, 140]
name: suv_-40_15_-8_10_20_230_60_420---gt: [ True, -40, 88, 55]---predictions: [1.00, -23, 91, 55]
name: hybrid_0_15_-30_35_15_140_30_420---gt: [ False, 0, 0, 0]---predictions: [0.01, 0, 0, 0]
name: hatchback_-20_15_-8_35_15_20_60_420---gt: [ True, -20, 113, 127]---predictions: [1.00, -21, 114, 128]
name: hybrid_0_45_-30_10_15_20_60_420---gt: [ True, 0, 114, 116]---predictions: [1.00, 0, 106, 117]
name: sedan4door_-20_23_-30_35_20_80_30_420---gt: [ True, -20, 142, 89]---predictions: [0.99, -22, 131, 90]
name: sedan2door_0_15_-8_35_15_230_30_420---gt: [ False, 0, 0, 0]---predictions: [0.00, 0, 0, 0]
name: hybrid_-40_23_-8_35_20_80_60_420---gt: [ True, -40, 148, 105]---predictions: [1.00, -37, 153, 105]
name: sedan4door_-20_45_-8_10_15_80_60_420---gt: [ True, -20, 143, 106]---predictions: [0.99, -17, 143, 106]
name: sedan2door_-20_15_-30_10_15_140_30_420---gt: [ False, -20, 141, 72]---predictions: [0.00, -20, 142, 72]
name: sedan2door_-20_45_-30_35_20_20_30_420---gt: [ True, -20, 119, 101]---predictions: [0.99, -16, 126, 102]
name: sedan2door_-20_23_-8_35_20_20_60_420---gt: [ True, -20, 121, 132]---predictions: [1.00, -25, 124, 133]
name: hatchback_-40_23_-30_35_20_20_30_420---gt: [ True, -40, 112, 105]---predictions: [0.99, -31, 109, 105]
name: sedan2door_-20_23_-8_10_20_80_60_420---gt: [ True, -20, 145, 102]---predictions: [0.98, -16, 144, 103]
name: sedan2door_-20_15_-30_35_15_140_60_420---gt: [ True, -20, 136, 72]---predictions: [0.89, -20, 126, 73]
name: hatchback_-20_23_-30_35_20_20_30_420---gt: [ True, -20, 112, 97]---predictions: [0.99, -24, 111, 98]
name: hybrid_-40_23_-8_35_20_140_60_420---gt: [ True, -40, 138, 61]---predictions: [0.99, -31, 141, 62]
name: hybrid_0_23_-30_10_15_230_60_420---gt: [ True, 0, 96, 64]---predictions: [0.96, -1, 107, 65]
name: hybrid_-20_45_-8_10_20_230_60_420---gt: [ True, -20, 93, 67]---predictions: [0.98, -10, 103, 68]
name: suv_-40_45_-30_35_20_140_60_420---gt: [ True, -40, 148, 60]---predictions: [0.98, -34, 137, 60]
name: suv_-20_45_-30_35_15_230_30_420---gt: [ False, -20, 107, 74]---predictions: [0.00, -20, 108, 74]
name: suv_-20_23_-8_35_20_140_60_420---gt: [ True, -20, 141, 61]---predictions: [0.95, -28, 128, 62]
name: suv_-40_45_-30_35_20_230_60_420---gt: [ True, -40, 88, 54]---predictions: [1.00, -30, 93, 55]
name: hatchback_-40_45_-30_35_15_140_30_420---gt: [ False, -40, 141, 65]---predictions: [0.00, -40, 141, 66]
name: sedan4door_0_45_-8_10_20_140_30_420---gt: [ False, 0, 141, 74]---predictions: [0.00, 0, 141, 74]
name: hybrid_-40_15_-30_10_15_20_30_420---gt: [ True, -40, 118, 102]---predictions: [0.99, -29, 122, 102]
name: sedan4door_-40_23_-30_35_15_230_30_420---gt: [ False, -40, 94, 71]---predictions: [0.00, -40, 94, 71]
name: hybrid_-40_15_-30_10_20_80_60_420---gt: [ True, -40, 148, 105]---predictions: [0.99, -37, 149, 105]
name: suv_-20_45_-8_10_20_80_60_420---gt: [ True, -20, 145, 104]---predictions: [0.99, -18, 151, 105]
name: suv_-20_15_-8_10_20_140_30_420---gt: [ False, -20, 136, 58]---predictions: [0.00, -20, 136, 59]
name: sedan2door_-40_15_-30_35_15_140_60_420---gt: [ True, -40, 143, 70]---predictions: [0.96, -37, 136, 70]
name: hybrid_-40_23_-8_10_15_80_60_420---gt: [ True, -40, 148, 105]---predictions: [1.00, -38, 150, 105]
name: suv_-40_23_-8_10_15_20_60_420---gt: [ True, -40, 115, 148]---predictions: [1.00, -33, 116, 149]
name: sedan2door_-20_45_-8_35_15_80_60_420---gt: [ True, -20, 145, 102]---predictions: [0.98, -16, 142, 103]
name: hatchback_0_45_-8_35_20_140_60_420---gt: [ True, 0, 135, 74]---predictions: [0.98, -11, 122, 74]
name: suv_-40_15_-30_35_20_80_60_420---gt: [ True, -40, 154, 110]---predictions: [0.99, -37, 152, 110]
name: hybrid_0_15_-8_35_15_80_60_420---gt: [ True, 0, 135, 97]---predictions: [1.00, -1, 142, 98]
name: suv_-20_45_-30_10_15_140_30_420---gt: [ False, -20, 136, 58]---predictions: [0.00, -20, 136, 59]
name: hybrid_-20_45_-30_35_15_80_60_420---gt: [ True, -20, 142, 99]---predictions: [1.00, -19, 142, 99]
name: hatchback_-40_45_-30_35_20_20_60_420---gt: [ True, -40, 113, 141]---predictions: [1.00, -30, 116, 142]
name: hatchback_0_15_-30_35_20_140_30_420---gt: [ False, 0, 144, 73]---predictions: [0.00, 0, 145, 73]
name: hatchback_-40_15_-30_10_20_20_60_420---gt: [ True, -40, 113, 141]---predictions: [1.00, -27, 114, 142]
name: sedan2door_-20_23_-30_10_20_20_60_420---gt: [ True, -20, 121, 132]---predictions: [1.00, -25, 124, 133]
name: suv_-40_45_-30_10_15_230_60_420---gt: [ True, -40, 88, 54]---predictions: [1.00, -29, 94, 55]
