name: hatchback_-20_40_-20_20_20_240_80_400---gt: [ True, 23, 69, 149]---predictions: [0.30, 24, 68, 149]
name: sedan4door_0_0_-40_40_20_120_80_400---gt: [ False, 37, 94, 0]---predictions: [0.04, 41, 98, 0]
name: hybrid_-20_20_-40_0_40_120_20_450---gt: [ True, 0, 0, 74]---predictions: [0.39, 0, 0, 75]
name: suv_0_40_0_0_0_40_80_400---gt: [ False, 32, 142, 149]---predictions: [0.06, 31, 140, 149]
name: sedan4door_-40_20_-20_40_0_360_60_400---gt: [ True, 26, 150, 74]---predictions: [0.74, 27, 142, 75]
name: suv_0_40_-20_0_0_120_40_400---gt: [ False, 40, 72, 149]---predictions: [0.07, 44, 74, 149]
name: hatchback_0_20_-40_0_20_160_40_450---gt: [ False, 0, 0, 74]---predictions: [0.26, 0, 0, 75]
name: sedan4door_0_40_0_40_20_240_60_400---gt: [ False, 24, 65, 149]---predictions: [0.05, 26, 64, 149]
name: sedan2door_-20_20_-40_40_0_360_60_400---gt: [ True, 28, 139, 74]---predictions: [0.31, 28, 133, 75]
name: hatchback_0_40_-20_20_20_160_60_450---gt: [ False, 34, 70, 149]---predictions: [0.06, 36, 70, 149]
name: sedan4door_0_20_-40_20_0_80_20_400---gt: [ False, 36, 74, 74]---predictions: [0.14, 29, 71, 75]
name: hybrid_-20_40_-20_40_40_160_20_450---gt: [ True, 0, 0, 149]---predictions: [0.63, 0, 0, 149]
name: suv_-40_40_0_40_0_240_40_400---gt: [ True, 0, 0, 149]---predictions: [0.48, 0, 0, 149]
name: sedan2door_-40_40_-40_40_0_0_20_400---gt: [ True, 28, 97, 149]---predictions: [0.81, 32, 115, 149]
name: hatchback_-40_0_-20_40_40_280_80_400---gt: [ True, 19, 92, 0]---predictions: [0.70, 18, 93, 0]
name: suv_-40_20_0_40_40_120_20_450---gt: [ True, 39, 66, 74]---predictions: [0.77, 37, 69, 75]
name: hatchback_-20_0_-40_0_40_40_20_450---gt: [ True, 32, 91, 0]---predictions: [0.17, 36, 93, 0]
name: sedan4door_-40_20_-40_0_20_360_20_450---gt: [ True, 27, 97, 74]---predictions: [0.79, 27, 88, 75]
name: sedan4door_-20_20_-20_40_20_160_60_400---gt: [ True, 34, 57, 74]---predictions: [0.39, 34, 58, 75]
name: sedan2door_-20_20_0_0_40_280_60_400---gt: [ True, 20, 97, 74]---predictions: [0.33, 18, 94, 75]
name: hybrid_-20_20_0_20_0_320_20_400---gt: [ True, 23, 83, 74]---predictions: [0.37, 22, 88, 75]
name: sedan4door_-40_20_0_40_40_80_20_400---gt: [ True, 40, 86, 74]---predictions: [0.38, 31, 76, 75]
name: hybrid_-20_40_0_0_0_320_20_400---gt: [ True, 23, 83, 149]---predictions: [0.37, 21, 91, 149]
name: sedan2door_-20_20_0_20_0_160_20_450---gt: [ True, 32, 81, 74]---predictions: [0.23, 34, 93, 75]
name: hybrid_-20_20_0_0_20_120_80_450---gt: [ True, 37, 90, 74]---predictions: [0.28, 39, 95, 75]
name: sedan4door_0_20_-20_20_0_320_40_450---gt: [ False, 24, 101, 74]---predictions: [0.05, 21, 98, 75]
name: hybrid_0_40_-40_20_20_240_40_400---gt: [ False, 0, 0, 149]---predictions: [0.35, 0, 0, 149]
name: suv_0_0_-40_20_0_40_80_400---gt: [ False, 32, 142, 0]---predictions: [0.10, 30, 150, 0]
name: hybrid_0_20_-40_0_0_200_40_450---gt: [ False, 30, 81, 74]---predictions: [0.08, 29, 62, 75]
name: hatchback_0_0_-20_20_40_0_20_450---gt: [ False, 27, 89, 0]---predictions: [0.06, 26, 95, 0]
name: suv_-20_20_-20_0_40_280_60_450---gt: [ True, 21, 90, 74]---predictions: [0.23, 20, 92, 75]
name: hybrid_-40_40_-20_20_20_360_80_400---gt: [ True, 27, 160, 149]---predictions: [0.72, 29, 165, 149]
name: hatchback_-20_0_0_20_40_280_20_450---gt: [ True, 23, 85, 0]---predictions: [0.26, 19, 78, 0]
name: hatchback_0_20_-40_40_20_40_60_450---gt: [ False, 31, 118, 74]---predictions: [0.10, 31, 120, 75]
name: sedan4door_-40_20_0_40_0_280_60_400---gt: [ True, 18, 91, 74]---predictions: [0.66, 20, 99, 75]
name: suv_-20_20_-20_20_40_280_60_450---gt: [ True, 21, 90, 74]---predictions: [0.32, 21, 94, 75]
name: sedan4door_-40_40_-20_20_40_40_20_400---gt: [ True, 35, 90, 149]---predictions: [0.57, 28, 91, 149]
name: hatchback_-40_20_-40_0_0_200_20_450---gt: [ True, 31, 80, 74]---predictions: [0.55, 33, 71, 75]
name: suv_-20_20_-20_0_40_80_40_400---gt: [ True, 39, 89, 74]---predictions: [0.19, 37, 103, 75]
name: hatchback_-20_20_0_20_20_240_40_400---gt: [ True, 23, 61, 74]---predictions: [0.44, 25, 64, 75]
name: sedan2door_0_0_0_40_0_120_80_400---gt: [ False, 37, 91, 0]---predictions: [0.03, 39, 96, 0]
name: suv_-20_40_-20_40_20_160_80_450---gt: [ True, 35, 67, 149]---predictions: [0.31, 34, 65, 149]
name: hatchback_-40_0_0_0_40_0_60_450---gt: [ True, 26, 136, 0]---predictions: [0.64, 27, 127, 0]
name: sedan4door_-20_0_0_0_40_240_40_400---gt: [ True, 22, 63, 0]---predictions: [0.47, 27, 76, 0]
name: hybrid_0_20_-40_40_0_0_40_450---gt: [ False, 28, 99, 74]---predictions: [0.04, 29, 105, 75]
name: sedan4door_-20_20_-20_40_0_320_80_450---gt: [ True, 22, 129, 74]---predictions: [0.39, 23, 131, 75]
name: hatchback_0_0_-20_20_20_200_20_400---gt: [ False, 0, 0, 0]---predictions: [0.07, 0, 0, 0]
name: hybrid_-40_0_-40_0_20_160_20_450---gt: [ True, 0, 0, 0]---predictions: [0.41, 0, 0, 0]
name: hatchback_-20_20_-20_40_40_360_20_400---gt: [ True, 26, 88, 74]---predictions: [0.41, 28, 83, 75]
name: hybrid_0_40_0_20_20_0_60_450---gt: [ False, 28, 116, 149]---predictions: [0.04, 28, 130, 149]
name: hatchback_-20_0_0_0_20_80_40_400---gt: [ True, 38, 91, 0]---predictions: [0.21, 39, 87, 0]
name: sedan4door_-40_0_0_0_0_200_80_450---gt: [ True, 29, 58, 0]---predictions: [0.69, 29, 69, 0]
name: sedan2door_-20_0_-20_40_40_80_60_450---gt: [ True, 38, 103, 0]---predictions: [0.34, 36, 110, 0]
name: suv_0_20_0_20_40_40_20_450---gt: [ False, 31, 86, 74]---predictions: [0.16, 31, 87, 75]
name: hatchback_0_20_-20_0_20_240_20_400---gt: [ False, 0, 0, 74]---predictions: [0.23, 0, 0, 75]
name: sedan4door_-40_40_0_40_0_80_20_450---gt: [ True, 38, 90, 149]---predictions: [0.55, 29, 75, 149]
name: suv_-40_20_0_40_40_120_80_450---gt: [ True, 40, 91, 74]---predictions: [0.70, 40, 79, 75]
name: suv_-20_0_0_40_40_160_40_400---gt: [ True, 34, 49, 0]---predictions: [0.29, 37, 44, 0]
name: sedan2door_0_40_-40_40_40_320_60_450---gt: [ False, 25, 115, 149]---predictions: [0.09, 23, 111, 149]
name: sedan2door_0_20_0_20_20_280_60_400---gt: [ False, 22, 94, 74]---predictions: [0.05, 24, 89, 75]
name: sedan2door_0_0_0_20_40_360_80_400---gt: [ False, 28, 143, 0]---predictions: [0.06, 30, 140, 0]
name: suv_0_20_0_0_20_80_40_400---gt: [ False, 38, 83, 74]---predictions: [0.04, 36, 88, 75]
name: suv_-20_20_-20_0_0_120_60_450---gt: [ True, 38, 78, 74]---predictions: [0.28, 37, 70, 75]
name: sedan2door_-40_40_-40_40_20_40_60_400---gt: [ True, 37, 139, 149]---predictions: [0.67, 38, 139, 149]
name: hybrid_-40_20_0_40_20_0_40_450---gt: [ True, 28, 117, 74]---predictions: [0.74, 28, 123, 75]
name: hybrid_0_20_-20_20_0_160_60_450---gt: [ False, 0, 0, 74]---predictions: [0.09, 0, 0, 75]
name: hatchback_0_0_0_20_0_360_40_400---gt: [ False, 26, 98, 0]---predictions: [0.04, 24, 98, 0]
name: suv_-20_40_0_0_40_200_60_450---gt: [ True, 28, 53, 149]---predictions: [0.35, 29, 50, 149]
name: suv_-20_20_0_0_0_80_80_400---gt: [ True, 39, 125, 74]---predictions: [0.33, 39, 121, 75]
name: hatchback_-40_40_0_20_20_240_40_400---gt: [ True, 23, 60, 149]---predictions: [0.73, 24, 71, 149]
name: sedan2door_-40_0_-20_20_20_200_20_450---gt: [ True, 0, 0, 0]---predictions: [0.20, 0, 0, 0]
name: hatchback_-20_0_-20_0_40_240_20_450---gt: [ True, 0, 0, 0]---predictions: [0.16, 0, 0, 0]
name: sedan2door_-20_20_-40_0_20_360_60_450---gt: [ True, 29, 135, 74]---predictions: [0.28, 30, 138, 75]
name: hybrid_-40_0_0_20_40_280_80_400---gt: [ True, 18, 100, 0]---predictions: [0.76, 18, 98, 0]
name: hybrid_-40_40_0_20_0_200_60_400---gt: [ True, 28, 46, 149]---predictions: [0.71, 28, 47, 149]
name: hybrid_-40_0_0_0_20_320_80_450---gt: [ True, 22, 133, 0]---predictions: [0.75, 20, 140, 0]
name: hatchback_0_40_0_0_20_240_40_450---gt: [ False, 0, 0, 149]---predictions: [0.33, 0, 0, 149]
name: sedan2door_-20_20_-20_40_20_280_20_400---gt: [ True, 20, 88, 74]---predictions: [0.34, 18, 69, 75]
name: suv_0_0_0_40_0_40_40_400---gt: [ False, 32, 100, 0]---predictions: [0.04, 33, 93, 0]
name: suv_0_40_-20_40_0_160_80_450---gt: [ False, 35, 77, 149]---predictions: [0.03, 34, 79, 149]
name: hatchback_-20_20_-20_40_20_40_80_450---gt: [ True, 33, 144, 74]---predictions: [0.34, 33, 148, 75]
name: hybrid_-20_0_-20_0_20_240_40_400---gt: [ True, 23, 60, 0]---predictions: [0.44, 23, 80, 0]
name: sedan4door_-20_20_-40_0_20_120_60_450---gt: [ True, 37, 81, 74]---predictions: [0.31, 36, 77, 75]
name: suv_-40_40_-20_20_40_240_20_400---gt: [ True, 22, 58, 149]---predictions: [0.68, 26, 63, 149]
name: hatchback_-40_0_0_0_20_0_20_450---gt: [ True, 26, 95, 0]---predictions: [0.85, 27, 103, 0]
name: sedan2door_-40_40_-20_40_20_160_20_400---gt: [ True, 34, 77, 149]---predictions: [0.43, 39, 74, 149]
name: sedan4door_0_0_-40_0_0_240_40_450---gt: [ False, 0, 0, 0]---predictions: [0.36, 0, 0, 0]
name: suv_-20_40_-20_40_40_80_40_450---gt: [ True, 38, 92, 149]---predictions: [0.30, 36, 91, 149]
name: sedan2door_-20_20_-20_40_40_120_20_400---gt: [ True, 38, 73, 74]---predictions: [0.60, 41, 79, 75]
name: sedan4door_0_0_-20_40_0_280_80_450---gt: [ False, 23, 100, 0]---predictions: [0.08, 23, 107, 0]
name: hatchback_-40_20_-40_0_0_0_20_400---gt: [ True, 25, 91, 74]---predictions: [0.80, 28, 101, 75]
name: hatchback_-40_0_0_0_40_160_20_400---gt: [ True, 0, 0, 0]---predictions: [0.67, 0, 0, 0]
name: suv_-20_20_-40_20_0_0_20_450---gt: [ True, 26, 85, 74]---predictions: [0.30, 28, 93, 75]
name: hatchback_-20_40_0_40_0_80_40_450---gt: [ True, 36, 94, 149]---predictions: [0.36, 33, 91, 149]
name: suv_-40_40_0_20_40_0_60_450---gt: [ True, 26, 141, 149]---predictions: [0.62, 27, 142, 149]
name: sedan4door_-40_20_-40_0_20_320_40_450---gt: [ True, 20, 111, 74]---predictions: [0.78, 18, 90, 75]
name: sedan4door_-20_20_-40_0_20_280_60_450---gt: [ True, 21, 97, 74]---predictions: [0.30, 20, 90, 75]
name: hatchback_-20_0_0_20_40_360_20_450---gt: [ True, 27, 91, 0]---predictions: [0.30, 24, 92, 0]
name: sedan2door_-40_0_-20_40_40_280_60_450---gt: [ True, 19, 96, 0]---predictions: [0.74, 20, 93, 0]
name: suv_-20_40_0_40_20_0_40_400---gt: [ True, 26, 108, 149]---predictions: [0.40, 28, 106, 149]
name: hybrid_-40_0_0_20_0_0_80_450---gt: [ True, 28, 153, 0]---predictions: [0.76, 27, 165, 0]
name: sedan2door_-20_0_-40_20_20_280_40_450---gt: [ True, 21, 93, 0]---predictions: [0.36, 21, 92, 0]
name: hybrid_0_0_-40_0_0_40_80_400---gt: [ False, 33, 132, 0]---predictions: [0.03, 30, 128, 0]
name: sedan4door_0_40_-20_0_20_120_80_400---gt: [ False, 37, 94, 149]---predictions: [0.06, 38, 88, 149]
name: suv_-20_20_0_0_40_200_20_450---gt: [ True, 31, 74, 74]---predictions: [0.17, 30, 75, 75]
name: hybrid_0_0_0_0_40_80_40_450---gt: [ False, 35, 85, 0]---predictions: [0.14, 38, 91, 0]
name: hatchback_0_20_-20_20_20_240_40_450---gt: [ False, 0, 0, 74]---predictions: [0.28, 0, 0, 75]
name: sedan2door_-20_40_0_20_20_280_60_400---gt: [ True, 20, 97, 149]---predictions: [0.37, 21, 95, 149]
name: sedan2door_-40_20_-40_20_40_160_20_400---gt: [ True, 34, 77, 74]---predictions: [0.52, 35, 72, 75]
name: hybrid_0_20_-20_20_40_200_20_400---gt: [ False, 29, 68, 74]---predictions: [0.26, 28, 67, 75]
name: hatchback_-40_40_0_20_40_360_80_450---gt: [ True, 26, 150, 149]---predictions: [0.71, 27, 148, 149]
name: hatchback_0_40_-20_40_40_80_20_450---gt: [ False, 35, 79, 149]---predictions: [0.08, 36, 94, 149]
name: sedan4door_0_0_-40_40_0_360_60_400---gt: [ False, 27, 120, 0]---predictions: [0.07, 27, 129, 0]
name: hybrid_-40_40_-20_20_40_160_60_450---gt: [ True, 34, 58, 149]---predictions: [0.72, 34, 54, 149]
name: hybrid_-20_40_-20_40_20_280_80_450---gt: [ True, 22, 103, 149]---predictions: [0.35, 20, 103, 149]
name: suv_0_40_0_20_40_160_20_450---gt: [ False, 0, 0, 149]---predictions: [0.13, 0, 0, 149]
name: sedan2door_-20_40_-40_20_40_240_40_450---gt: [ True, 23, 75, 149]---predictions: [0.41, 24, 83, 149]
name: sedan4door_-20_20_-20_0_20_320_40_450---gt: [ True, 22, 107, 74]---predictions: [0.30, 21, 99, 75]
name: hatchback_0_20_-20_20_20_0_40_450---gt: [ False, 27, 101, 74]---predictions: [0.05, 27, 97, 75]
name: sedan4door_-20_20_-40_20_0_120_80_450---gt: [ True, 38, 93, 74]---predictions: [0.34, 36, 101, 75]
name: hatchback_-40_0_-40_40_0_0_60_450---gt: [ True, 26, 136, 0]---predictions: [0.74, 25, 133, 0]
name: suv_0_0_0_40_0_40_80_400---gt: [ False, 32, 142, 0]---predictions: [0.06, 31, 144, 0]
name: sedan4door_-40_20_0_40_0_280_20_450---gt: [ True, 21, 85, 74]---predictions: [0.63, 20, 85, 75]
name: suv_0_0_-20_20_40_160_40_450---gt: [ False, 0, 0, 0]---predictions: [0.19, 0, 0, 0]
name: sedan4door_0_0_0_40_0_360_80_450---gt: [ False, 27, 137, 0]---predictions: [0.10, 27, 143, 0]
name: hatchback_0_40_0_20_20_40_80_400---gt: [ False, 31, 140, 149]---predictions: [0.04, 33, 137, 149]
