name: sedan2door_-40_20_-20_0_0_200_60_450---gt: [ True, 28, 60, 74]---predictions: [0.13, 30, 104, 75]
name: sedan2door_-20_20_-40_20_0_280_40_400---gt: [ True, 20, 91, 74]---predictions: [0.19, 29, 110, 75]
name: hybrid_0_20_-40_40_20_320_20_450---gt: [ False, 25, 86, 74]---predictions: [0.58, 30, 93, 75]
name: sedan2door_-40_40_-40_0_0_360_20_400---gt: [ True, 28, 97, 149]---predictions: [0.54, 29, 87, 149]
name: suv_-40_40_0_0_40_280_20_400---gt: [ True, 18, 73, 149]---predictions: [0.56, 33, 89, 149]
name: sedan2door_0_0_-40_40_20_160_60_400---gt: [ False, 37, 65, 0]---predictions: [0.11, 29, 90, 0]
name: sedan2door_-40_40_0_0_20_240_40_400---gt: [ True, 21, 69, 149]---predictions: [0.17, 28, 87, 149]
name: sedan4door_-20_0_0_0_0_80_60_450---gt: [ True, 37, 107, 0]---predictions: [0.43, 29, 100, 0]
name: sedan2door_0_20_-20_40_20_320_80_400---gt: [ False, 24, 130, 74]---predictions: [0.26, 29, 110, 75]
name: hatchback_-40_40_-40_0_40_160_40_400---gt: [ True, 35, 56, 149]---predictions: [0.37, 32, 102, 149]
name: hatchback_0_0_-20_20_0_120_60_400---gt: [ False, 38, 81, 0]---predictions: [0.16, 29, 109, 0]
name: sedan4door_0_40_-40_40_20_120_20_400---gt: [ False, 0, 0, 149]---predictions: [0.25, 0, 0, 149]
name: suv_0_0_0_40_0_80_80_450---gt: [ False, 36, 122, 0]---predictions: [0.33, 31, 105, 0]
name: sedan2door_0_20_-40_0_20_0_20_400---gt: [ False, 28, 88, 74]---predictions: [0.56, 29, 89, 75]
name: hybrid_0_20_0_40_40_80_80_400---gt: [ False, 36, 114, 74]---predictions: [0.46, 32, 110, 75]
name: suv_0_0_0_40_40_320_20_400---gt: [ False, 23, 77, 0]---predictions: [0.33, 28, 87, 0]
name: sedan2door_-40_40_-40_0_20_160_60_400---gt: [ True, 35, 57, 149]---predictions: [0.42, 30, 98, 149]
name: hybrid_-20_0_0_40_20_360_60_400---gt: [ True, 28, 131, 0]---predictions: [0.32, 28, 103, 0]
name: hatchback_-20_40_-20_40_0_160_80_450---gt: [ True, 35, 74, 149]---predictions: [0.13, 30, 107, 149]
name: hatchback_-20_40_-40_0_0_40_40_400---gt: [ True, 33, 105, 149]---predictions: [0.18, 28, 99, 149]
name: suv_0_40_-20_0_0_360_80_400---gt: [ False, 26, 146, 149]---predictions: [0.51, 30, 105, 149]
name: suv_0_40_0_40_0_0_40_400---gt: [ False, 26, 96, 149]---predictions: [0.39, 28, 98, 149]
name: suv_-20_20_-20_40_0_200_20_400---gt: [ True, 31, 69, 74]---predictions: [0.30, 31, 83, 75]
name: sedan2door_-20_0_-20_0_20_240_20_400---gt: [ True, 0, 0, 0]---predictions: [0.44, 0, 0, 0]
name: suv_-20_40_-20_0_40_40_80_400---gt: [ True, 34, 154, 149]---predictions: [0.26, 30, 108, 149]
name: hybrid_-20_40_0_40_0_240_20_400---gt: [ True, 0, 0, 149]---predictions: [0.64, 0, 0, 149]
name: suv_0_0_-40_0_40_80_80_400---gt: [ False, 38, 123, 0]---predictions: [0.41, 30, 98, 0]
name: sedan4door_0_20_0_20_20_240_60_450---gt: [ False, 25, 70, 74]---predictions: [0.16, 26, 96, 75]
name: suv_-20_20_-20_0_0_360_20_400---gt: [ True, 26, 80, 74]---predictions: [0.50, 29, 73, 75]
name: sedan4door_-40_20_-20_20_20_160_80_400---gt: [ True, 36, 56, 74]---predictions: [0.32, 31, 97, 75]
name: sedan4door_0_40_-40_0_40_0_40_400---gt: [ False, 26, 101, 149]---predictions: [0.36, 29, 97, 149]
name: hatchback_-20_20_-40_0_40_120_80_450---gt: [ True, 38, 95, 74]---predictions: [0.38, 29, 105, 75]
name: suv_-40_40_-40_20_20_320_20_450---gt: [ True, 20, 84, 149]---predictions: [0.69, 31, 87, 149]
name: hatchback_0_40_-40_0_40_360_40_400---gt: [ False, 26, 98, 149]---predictions: [0.47, 29, 102, 149]
name: suv_-20_0_-40_20_20_0_20_400---gt: [ True, 26, 80, 0]---predictions: [0.40, 29, 75, 0]
name: sedan2door_0_20_-20_0_20_160_80_400---gt: [ False, 33, 72, 74]---predictions: [0.03, 31, 96, 75]
name: sedan2door_0_20_0_40_0_160_20_450---gt: [ False, 32, 83, 74]---predictions: [0.40, 33, 81, 75]
name: hatchback_-20_20_0_40_20_80_80_450---gt: [ True, 36, 122, 74]---predictions: [0.29, 31, 114, 75]
name: hybrid_-40_20_-40_0_40_40_80_400---gt: [ True, 35, 154, 74]---predictions: [0.37, 29, 106, 75]
name: sedan2door_-40_20_-20_20_0_40_20_400---gt: [ True, 36, 91, 74]---predictions: [0.31, 30, 85, 75]
name: sedan4door_-40_0_-40_40_20_120_40_400---gt: [ True, 40, 69, 0]---predictions: [0.31, 31, 97, 0]
name: sedan4door_-40_40_0_40_20_120_20_450---gt: [ True, 38, 73, 149]---predictions: [0.05, 32, 86, 149]
name: sedan2door_0_20_0_20_0_280_40_400---gt: [ False, 22, 84, 74]---predictions: [0.15, 28, 114, 75]
name: suv_-20_0_-20_0_20_200_40_450---gt: [ True, 0, 0, 0]---predictions: [0.46, 0, 0, 0]
name: sedan2door_-20_0_-20_0_20_40_80_450---gt: [ True, 34, 140, 0]---predictions: [0.14, 29, 106, 0]
name: hybrid_-40_20_-40_0_20_40_20_450---gt: [ True, 34, 89, 74]---predictions: [0.22, 28, 97, 75]
name: sedan4door_-20_0_-20_40_40_360_80_400---gt: [ True, 27, 153, 0]---predictions: [0.32, 30, 94, 0]
name: suv_-20_40_0_20_0_240_20_400---gt: [ True, 0, 0, 149]---predictions: [0.45, 0, 0, 149]
name: sedan2door_0_0_-40_40_0_360_60_400---gt: [ False, 28, 122, 0]---predictions: [0.58, 28, 95, 0]
name: hybrid_-20_40_-20_40_0_0_80_400---gt: [ True, 28, 150, 149]---predictions: [0.65, 29, 109, 149]
name: hybrid_-40_0_-20_0_20_320_80_400---gt: [ True, 20, 137, 0]---predictions: [0.26, 27, 103, 0]
name: sedan4door_0_0_-20_40_20_280_20_450---gt: [ False, 24, 76, 0]---predictions: [0.21, 31, 93, 0]
name: suv_-40_40_-40_20_0_0_40_450---gt: [ True, 26, 118, 149]---predictions: [0.36, 29, 103, 149]
name: sedan4door_-20_0_-40_0_40_160_40_450---gt: [ True, 33, 64, 0]---predictions: [0.50, 30, 94, 0]
name: suv_-20_40_-40_20_0_120_80_450---gt: [ True, 39, 92, 149]---predictions: [0.38, 30, 113, 149]
name: sedan2door_-20_0_0_0_20_40_60_450---gt: [ True, 34, 125, 0]---predictions: [0.13, 29, 111, 0]
name: sedan2door_-40_40_-40_40_0_0_80_450---gt: [ True, 28, 161, 149]---predictions: [0.30, 28, 106, 149]
name: sedan4door_-40_0_-20_20_20_280_80_450---gt: [ True, 19, 100, 0]---predictions: [0.41, 27, 105, 0]
name: sedan2door_-20_40_-40_20_0_360_20_450---gt: [ True, 28, 95, 149]---predictions: [0.29, 31, 85, 149]
name: sedan2door_-20_40_0_40_0_120_80_400---gt: [ True, 39, 84, 149]---predictions: [0.29, 29, 111, 149]
name: suv_-40_0_0_0_20_280_20_400---gt: [ True, 19, 73, 0]---predictions: [0.59, 34, 85, 0]
name: sedan2door_0_40_-20_40_0_280_20_450---gt: [ False, 24, 79, 149]---predictions: [0.15, 31, 94, 149]
name: sedan2door_0_40_0_20_0_80_40_400---gt: [ False, 37, 87, 149]---predictions: [0.20, 29, 105, 149]
name: hatchback_-20_20_-40_0_0_320_60_450---gt: [ True, 22, 113, 74]---predictions: [0.13, 29, 106, 75]
name: hatchback_-20_20_-40_0_0_40_80_400---gt: [ True, 33, 151, 74]---predictions: [0.22, 27, 101, 75]
name: sedan2door_-40_20_0_20_20_160_60_400---gt: [ True, 35, 57, 74]---predictions: [0.56, 30, 102, 75]
name: hatchback_0_0_0_0_40_160_60_450---gt: [ False, 34, 70, 0]---predictions: [0.05, 31, 102, 0]
name: sedan2door_-40_0_0_0_0_320_60_400---gt: [ True, 18, 130, 0]---predictions: [0.39, 30, 109, 0]
name: suv_0_40_-20_40_40_280_80_450---gt: [ False, 21, 96, 149]---predictions: [0.31, 25, 101, 149]
