filename,fl,fr,bl,br,trunk,az,el,dist,overlap,l1 angle error
suv_-20_45_-30_10_15_20_30_420.png,-20,45,-30,10,15,20,30,420,0.7202970679259935,6.0
suv_-40_15_-30_35_15_230_60_420.png,-40,15,-30,35,15,230,60,420,0.9509402983836382,0.0
hatchback_-40_23_-30_35_20_80_60_420.png,-40,23,-30,35,20,80,60,420,0.7631203977801116,3.0
sedan4door_-40_45_-8_10_20_80_30_420.png,-40,45,-8,10,20,80,30,420,0.3370918578730227,2.0
hybrid_-20_45_-8_35_15_80_30_420.png,-20,45,-8,35,15,80,30,420,0.35031820792663193,3.0
hybrid_0_23_-30_35_20_20_60_420.png,0,23,-30,35,20,20,60,420,0.09205780579142069,0.0
suv_-40_23_-8_10_15_20_30_420.png,-40,23,-8,10,15,20,30,420,0.7619129165076564,6.0
sedan2door_-20_15_-30_10_20_20_30_420.png,-20,15,-30,10,20,20,30,420,0.8454842590079285,6.0
sedan4door_-40_23_-8_35_15_230_60_420.png,-40,23,-8,35,15,230,60,420,0.8857018566231483,4.0
sedan2door_0_23_-30_35_20_140_60_420.png,0,23,-30,35,20,140,60,420,0.2106893334834221,0.0
suv_-20_15_-30_10_20_230_60_420.png,-20,15,-30,10,20,230,60,420,0.6196196955417443,0.0
hatchback_0_23_-8_10_20_230_60_420.png,0,23,-8,10,20,230,60,420,0.2594942964423964,0.0
hybrid_-40_23_-8_35_20_230_60_420.png,-40,23,-8,35,20,230,60,420,0.9134191373906421,1.0
hybrid_0_15_-30_35_20_80_60_420.png,0,15,-30,35,20,80,60,420,0.24204976502123024,0.0
suv_-20_23_-8_35_15_20_60_420.png,-20,23,-8,35,15,20,60,420,0.2737663120150482,7.0
hatchback_-20_45_-30_35_20_80_60_420.png,-20,45,-30,35,20,80,60,420,0.276831448160495,2.0
hatchback_-20_15_-8_35_15_20_60_420.png,-20,15,-8,35,15,20,60,420,0.31108778169927154,4.0
suv_-40_23_-30_35_20_140_60_420.png,-40,23,-30,35,20,140,60,420,0.788431257762758,4.0
sedan4door_-40_15_-30_35_20_230_60_420.png,-40,15,-30,35,20,230,60,420,0.929974879591032,1.0
hatchback_0_23_-30_35_15_140_60_420.png,0,23,-30,35,15,140,60,420,0.39792137386188825,0.0
sedan2door_-40_15_-8_10_20_140_60_420.png,-40,15,-8,10,20,140,60,420,0.6614883541186334,6.0
sedan4door_0_23_-30_10_15_140_60_420.png,0,23,-30,10,15,140,60,420,0.32801007060398435,0.0
sedan2door_-40_23_-30_35_20_80_60_420.png,-40,23,-30,35,20,80,60,420,0.7597459555321175,6.0
sedan4door_0_15_-30_10_20_230_60_420.png,0,15,-30,10,20,230,60,420,0.41706282174287956,1.0
suv_-40_15_-8_35_20_20_30_420.png,-40,15,-8,35,20,20,30,420,0.7921400950484186,5.0
hybrid_0_45_-30_35_15_140_60_420.png,0,45,-30,35,15,140,60,420,0.29970947338852544,1.0
hatchback_-20_45_-30_35_20_20_30_420.png,-20,45,-30,35,20,20,30,420,0.7062578246312112,9.0
