 ,0,10,20,30,40,50,60,70,80,90
0,True,True,True,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True,True,True,True
20,True,True,True,True,True,True,True,True,True,True
30,True,True,True,True,True,True,True,True,True,True
40,True,True,True,True,True,True,True,True,True,True
50,True,True,True,True,True,True,True,True,True,True
60,True,True,True,True,True,True,True,True,True,True
70,True,True,True,True,True,True,True,True,True,True
80,False,True,True,True,True,True,True,True,True,True
90,False,False,False,False,True,True,True,True,True,True
100,False,False,False,False,False,False,True,True,True,True
110,False,False,False,False,False,False,False,True,True,True
120,False,False,False,False,False,False,False,False,True,True
130,False,False,False,False,False,False,False,False,True,True
140,False,False,False,False,False,False,False,False,True,True
150,False,False,False,False,False,False,False,False,True,True
160,False,False,False,False,False,False,False,False,True,True
170,False,False,False,False,False,False,False,False,True,True
180,False,False,False,False,False,False,False,False,True,True
190,False,False,False,False,False,False,False,False,True,True
200,False,False,False,False,False,False,False,True,True,True
210,False,False,False,False,False,False,True,True,True,True
220,False,False,False,False,False,False,True,True,True,True
230,False,False,False,False,False,True,True,True,True,True
240,False,False,False,False,False,True,True,True,True,True
250,False,False,False,False,True,True,True,True,True,True
260,False,False,False,True,True,True,True,True,True,True
270,False,True,True,True,True,True,True,True,True,True
280,True,True,True,True,True,True,True,True,True,True
290,True,True,True,True,True,True,True,True,True,True
300,True,True,True,True,True,True,True,True,True,True
310,True,True,True,True,True,True,True,True,True,True
320,True,True,True,True,True,True,True,True,True,True
330,True,True,True,True,True,True,True,True,True,True
340,True,True,True,True,True,True,True,True,True,True
350,True,True,True,True,True,True,True,True,True,True
360,True,True,True,True,True,True,True,True,True,True
