 ,0,10,20,30,40,50,60,70,80,90
0,True,True,True,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True,True,True,True
20,True,True,True,True,True,True,True,True,True,True
30,True,True,True,True,True,True,True,True,True,True
40,True,True,True,True,True,True,True,True,True,True
50,True,True,True,True,True,True,True,True,True,True
60,True,True,True,True,True,True,True,True,True,True
70,True,True,True,True,True,True,True,True,True,True
80,True,True,True,True,True,True,True,True,True,True
90,True,True,True,True,True,True,True,True,True,True
100,True,True,True,True,True,True,True,True,True,True
110,True,True,True,True,True,True,True,True,True,True
120,True,True,True,True,True,True,True,True,True,True
130,True,True,True,True,True,True,True,True,True,True
140,True,True,True,True,True,True,True,True,True,True
150,True,True,True,True,True,True,True,True,True,True
160,True,True,True,True,True,True,True,True,True,True
170,True,True,True,True,True,True,True,True,True,True
180,True,True,True,True,True,True,True,True,True,True
190,True,True,True,True,True,True,True,True,True,True
200,True,True,True,True,True,True,True,True,True,True
210,True,True,True,True,True,True,True,True,True,True
220,True,True,True,True,True,True,True,True,True,True
230,True,True,True,True,True,True,True,True,True,True
240,True,True,True,True,True,True,True,True,True,True
250,True,True,True,True,True,True,True,True,True,True
260,True,True,True,True,True,True,True,True,True,True
270,True,True,True,True,True,True,True,True,True,True
280,True,True,True,True,True,True,True,True,True,True
290,True,True,True,True,True,True,True,True,True,True
300,True,True,True,True,True,True,True,True,True,True
310,True,True,True,True,True,True,True,True,True,True
320,True,True,True,True,True,True,True,True,True,True
330,True,True,True,True,True,True,True,True,True,True
340,True,True,True,True,True,True,True,True,True,True
350,True,True,True,True,True,True,True,True,True,True
360,True,True,True,True,True,True,True,True,True,True
