 ,0,10,20,30,40,50,60,70,80,90
0,False,False,False,False,False,False,True,True,True,True
10,False,False,False,False,False,False,True,True,True,True
20,False,False,False,False,False,False,True,True,True,True
30,False,False,False,False,False,False,True,True,True,True
40,False,False,False,False,False,False,True,True,True,True
50,False,False,False,False,False,False,True,True,True,True
60,False,False,False,False,False,False,True,True,True,True
70,False,False,False,False,False,True,True,True,True,True
80,False,False,False,False,True,True,True,True,True,True
90,False,False,True,True,True,True,True,True,True,True
100,True,True,True,True,True,True,True,True,True,True
110,True,True,True,True,True,True,True,True,True,True
120,True,True,True,True,True,True,True,True,True,True
130,True,True,True,True,True,True,True,True,True,True
140,True,True,True,True,True,True,True,True,True,True
150,True,True,True,True,True,True,True,True,True,True
160,True,True,True,True,True,True,True,True,True,True
170,True,True,True,True,True,True,True,True,True,True
180,True,True,True,True,True,True,True,True,True,True
190,True,True,True,True,True,True,True,True,True,True
200,True,True,True,True,True,True,True,True,True,True
210,True,True,True,True,True,True,True,True,True,True
220,True,True,True,True,True,True,True,True,True,True
230,True,True,True,True,True,True,True,True,True,True
240,True,True,True,True,True,True,True,True,True,True
250,True,True,True,True,True,True,True,True,True,True
260,True,True,True,True,True,True,True,True,True,True
270,False,False,False,True,True,True,True,True,True,True
280,False,False,False,False,True,True,True,True,True,True
290,False,False,False,False,False,True,True,True,True,True
300,False,False,False,False,False,True,True,True,True,True
310,False,False,False,False,False,True,True,True,True,True
320,False,False,False,False,False,False,True,True,True,True
330,False,False,False,False,False,False,True,True,True,True
340,False,False,False,False,False,False,True,True,True,True
350,False,False,False,False,False,False,True,True,True,True
360,False,False,False,False,False,False,True,True,True,True
