 ,0,10,20,30,40,50,60,70,80,90
0,False,False,False,True,True,True,True,True,True,True
10,False,False,False,True,True,True,True,True,True,True
20,False,False,False,True,True,True,True,True,True,True
30,False,False,False,False,True,True,True,True,True,True
40,False,False,False,False,True,True,True,True,True,True
50,False,False,False,False,False,True,True,True,True,True
60,False,False,False,False,False,True,True,True,True,True
70,False,False,False,False,False,True,True,True,True,True
80,False,False,False,False,False,False,True,True,False,True
90,False,False,False,False,False,False,True,True,False,True
100,False,False,False,False,False,False,True,True,False,True
110,False,False,False,False,False,True,True,True,True,True
120,False,False,False,False,False,True,True,True,True,True
130,False,False,False,False,False,True,True,True,True,True
140,False,False,False,False,True,True,True,True,True,True
150,False,False,False,False,True,True,True,True,True,True
160,False,False,False,True,True,True,True,True,True,True
170,False,False,False,True,True,True,True,True,True,True
180,False,False,False,True,True,True,True,True,True,True
190,False,False,True,True,True,True,True,True,True,True
200,False,False,True,True,True,True,True,True,True,True
210,True,True,True,True,True,True,True,True,True,True
220,True,True,True,True,True,True,True,True,True,True
230,True,True,True,True,True,True,True,True,True,True
240,True,True,True,True,True,True,True,True,True,True
250,True,True,True,True,True,True,True,True,True,True
260,True,True,True,True,True,True,True,True,True,True
270,True,True,True,True,True,True,True,True,True,True
280,True,True,True,True,True,True,True,True,True,True
290,True,True,True,True,True,True,True,True,True,True
300,True,True,True,True,True,True,True,True,True,True
310,True,True,True,True,True,True,True,True,True,True
320,True,True,True,True,True,True,True,True,True,True
330,True,True,True,True,True,True,True,True,True,True
340,False,False,True,True,True,True,True,True,True,True
350,False,False,True,True,True,True,True,True,True,True
360,False,False,False,True,True,True,True,True,True,True
